,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for restaurants nearby. Between Sizzlers and Tortería San Cosme, I should go to ->",Tortería San Cosme,Sizzlers,"{'or': 0.13222520653959044, 'Tor': 0.8587436241875589, 'TOR': 0.0010734151331376824, 'nearby': 0.005717341810783399, 'tor': 0.0008066074010124239}",Tor,True
1,"I'm looking for restaurants nearby. Between Helena's Magic Kitchen and Dinah's Cupboard, I should go to ->",Dinah's Cupboard,Helena's Magic Kitchen,"{'Nik': 0.0025293809246483643, 'Din': 0.3263242043250994, 'Helena': 0.6660493380696252, 'Lena': 0.0002317720992314711, 'nearby': 0.0028981258776061406}",Helena,False
2,"I'm looking for restaurants nearby. Between Bagel Nash and Tik Talk Cafe, I should go to ->",Tik Talk Cafe,Bagel Nash,"{'Nik': 0.00047290265217933753, 'Bag': 0.9922344899826113, 'ag': 0.00113636296303685, 'Tik': 0.00541776993124454, 'bag': 0.000407163269255541}",Bag,False
3,"I'm looking for restaurants nearby. Between Freshii and Villa Madina, I should go to ->",Villa Madina,Freshii,"{'Fresh': 0.9992918249344107, 'resh': 4.0162332664187856e-05, 'Friendly': 2.0783399310261442e-05, 'nearby': 2.436835971847689e-05}",Fresh,False
4,"I'm looking for restaurants nearby. Between Eggspectation and Amaya Express, I should go to ->",Amaya Express,Eggspectation,"{'Egg': 0.7368254893303252, 'Am': 0.22888918519369658, 'AM': 0.0007224533554446282, 'm': 0.029658328476899993, 'egg': 0.002001877077148283}",Egg,False
5,"I'm looking for restaurants nearby. Between Dangerous Dan's Diner and Druxy's Famous Deli, I should go to ->",Dangerous Dan's Diner,Druxy's Famous Deli,"{'Dru': 0.9998271935527544, 'Dangerous': 1.9683851090326586e-05, '': 6.022295855509616e-06, 'dru': 0.00013373223546000486, 'nearby': 7.519657246230407e-06}",Dru,False
6,"I'm looking for restaurants nearby. Between Eggspectation and Mamma's Pizza, I should go to ->",Mamma's Pizza,Eggspectation,"{'Egg': 0.0018647915529277682, 'nearest': 4.6044096550292434e-05, 'Mam': 0.9973454856705664, '': 0.00043817170669128226, 'nearby': 0.00010445199187649188}",Mam,True
7,"I'm looking for restaurants nearby. Between Tortería San Cosme and New Bilan Restaurant, I should go to ->",Tortería San Cosme,New Bilan Restaurant,"{'or': 0.0769010998678498, 'Tor': 0.9199278094563983, 'TOR': 0.0004073094671101482, 'nearby': 0.001149767420619965}",Tor,True
8,"I'm looking for restaurants nearby. Between Warung Indonesia D'Eglinton and Falafel House, I should go to ->",Warung Indonesia D'Eglinton,Falafel House,"{'WAR': 0.0003680565364271322, 'ar': 0.004818030713833501, 'War': 0.9940514143152579, 'nearby': 0.00017553378964514443, 'Fal': 0.00016267357051325706}",War,True
9,"I'm looking for restaurants nearby. Between Solero Mediterranean Bakery and Roncy's Bean, I should go to ->",Solero Mediterranean Bakery,Roncy's Bean,"{'': 0.0006859439082368709, 'on': 0.01584754627169238, 'ol': 0.007117515223011269, 'Sol': 0.02702538147291411, 'Ron': 0.9475072597970263}",Ron,False
10,"I'm looking for restaurants nearby. Between To-ne Sushi and Supermodel Pizza, I should go to ->",Supermodel Pizza,To-ne Sushi,"{'uper': 0.019937583706514876, '': 0.0077960116732466115, 'To': 0.006774331423256643, 'Super': 0.9540435964434107, 'Model': 0.0015003118387209304}",Super,True
11,"I'm looking for restaurants nearby. Between Topham Corner and FreshCo, I should go to ->",FreshCo,Topham Corner,"{'Sweet': 7.806700980701585e-05, 'Fresh': 0.8448275544716186, 'T': 0.15301400895252754, 'resh': 0.000735591515075146, 'nearby': 0.0006989956772089609}",Fresh,True
12,"I'm looking for restaurants nearby. Between Marcello’s pizzeria and El Fogón, I should go to ->",El Fogón,Marcello’s pizzeria,"{'el': 0.0002830115071047929, '': 4.125430858882459e-05, 'EL': 0.0001690865236153291, 'El': 0.9591491035786277, 'l': 0.04023527019438412}",El,True
13,"I'm looking for restaurants nearby. Between Grappa Ristorante and McDonald's, I should go to ->",McDonald's,Grappa Ristorante,"{'McDonald': 0.9916672514234347, 'MacDonald': 0.0003872723367080799, 'ra': 0.0007686410288350981, 'Gra': 0.0017960418636353242, 'c': 0.005107972625340254}",McDonald,True
14,"I'm looking for restaurants nearby. Between Falafel House and Basha Middle Eastern Grill, I should go to ->",Basha Middle Eastern Grill,Falafel House,"{'b': 8.324276422963571e-12, '': 1.7981273171169558e-08, 'B': 1.0, 'Bib': 3.1090929351751614e-11, 'nearby': 2.5969171317115173e-11}",B,True
15,"I'm looking for restaurants nearby. Between Mamma's Pizza and Pho 88, I should go to ->",Mamma's Pizza,Pho 88,"{'': 0.00025943768994749877, 'mom': 5.872453181206455e-05, 'Mam': 0.9994023314750287, 'Mama': 5.122837398627928e-05}",Mam,True
16,"I'm looking for restaurants nearby. Between Tian An Cuisine and Taste of Greek Cuisine, I should go to ->",Tian An Cuisine,Taste of Greek Cuisine,"{'Nik': 0.00016316003973189855, '': 0.00010041268641239886, 'Tian': 0.9991399531524802, 'Taste': 4.149386387887938e-05, 'nearby': 0.00012560267580213262}",Tian,True
17,"I'm looking for restaurants nearby. Between Taste of Greek Cuisine and Fit For Life, I should go to ->",Fit For Life,Taste of Greek Cuisine,"{'it': 0.006662376674869694, 'Fit': 0.9565018078841084, 'Taste': 0.03162714209497037, 'fit': 0.003746348300392418}",Fit,True
