,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Monterrey and Florianópolis, the city with a larger population is ->",Monterrey,Florianópolis,"{'Madrid': 5.5935517718038937e-05, 'Gu': 0.00032756894695264876, 'Monte': 7.76481370722451e-05, 'Mon': 0.9984034166973529, 'Bel': 0.0008545979786634578}",Mon,True
1,"Between Saint Petersburg and Kathmandu, the city with a larger population is ->",Saint Petersburg,Kathmandu,"{'Tokyo': 0.017234081037294586, 'Istanbul': 0.021704267039530763, 'S': 0.15672413830043827, 'St': 0.7588421987404103, 'Saint': 0.025346609637491687}",St,True
2,"Between Phoenix and Mandalay, the city with a larger population is ->",Phoenix,Mandalay,"{'S': 0.0006875009820418903, 'hoenix': 0.019307943257421932, 'Seattle': 0.0066959795490743, 'Detroit': 0.020217166676709957, 'Phoenix': 0.949474051212524}",Phoenix,True
3,"Between Sydney and Antofagasta, the city with a larger population is ->",Sydney,Antofagasta,"{'Tokyo': 0.05316663186512569, 'Sydney': 0.9114223069268378, 'S': 0.020385430998718337, 'Australia': 0.0026888034458429316, 'Kuala': 0.00447558280491527}",Sydney,True
4,"Between Buenos Aires and Port-Gentil, the city with a larger population is ->",Buenos Aires,Port-Gentil,"{'Tokyo': 0.0058565065795140635, 'Rio': 0.003854399715173986, 'S': 0.00855725344109613, 'Bel': 0.009579677992865788, 'Buenos': 0.9644467722920513}",Buenos,True
5,"Between Ürümqi and Cotonou, the city with a larger population is ->",Ürümqi,Cotonou,"{'Tehran': 0.12320552291894027, 'Istanbul': 0.15274124476304696, 'ytes: \\xc4': 0.44046678473573764, 'Chong': 0.07542860494384568, 'Ü': 0.19691941398509563}",ytes: \xc4,True
6,"Between Tampa and Makurdi, the city with a larger population is ->",Tampa,Makurdi,"{'Tampa': 0.9833316521458787, 'city': 0.0011592685883665456, 'Fort': 0.001502763248370027, 'Seattle': 0.0015762769078971266, 'Detroit': 0.009680046248185028}",Tampa,True
7,"Between Phoenix and Podgorica, the city with a larger population is ->",Phoenix,Podgorica,"{'S': 0.0014136998559316604, 'hoenix': 0.014348211194244334, 'Seattle': 0.005319435980244517, 'Detroit': 0.013004179151366414, 'Phoenix': 0.9612312598086733}",Phoenix,True
8,"Between Guangzhou and Mahajanga, the city with a larger population is ->",Guangzhou,Mahajanga,"{'Singapore': 0.0010455596360752124, 'Gu': 0.38476543119418805, 'Guang': 0.3875288427715081, 'Chong': 0.2231699031689632, 'Kuala': 0.0007464424776616597}",Guang,True
9,"Between Medellín and Neuquén, the city with a larger population is ->",Medellín,Neuquén,"{'Barcelona': 3.969390505953808e-06, 'Rio': 3.553178510492119e-06, 'Gu': 3.0421075795770807e-06, 'Med': 0.9999640449263991, 'Bel': 1.4483478093828995e-05}",Med,True
10,"Between Surabaya and Erbil, the city with a larger population is ->",Surabaya,Erbil,"{'Tokyo': 0.10183952387192031, 'Tehran': 0.09021378829635993, 'Istanbul': 0.0905181858359644, 'Sur': 0.3977501240042461, 'Kuala': 0.09158552901205332}",Sur,True
11,"Between Denver and Juba, the city with a larger population is ->",Denver,Juba,"{'Denver': 0.7287006079589633, 'Chong': 0.0016306602252612117, 'enver': 0.012358165009360742, 'Seattle': 0.052898870074303606, 'Detroit': 0.20122171885237206}",Denver,True
12,"Between Lagos and Yakutsk, the city with a larger population is ->",Lagos,Yakutsk,"{'Tokyo': 0.002468190470162918, 'city': 0.0026166162593085456, 'Lag': 0.9472504793876474, 'Istanbul': 0.030227009499794236, 'Bel': 0.0028310319136249508}",Lag,True
13,"Between Jakarta and Palermo, the city with a larger population is ->",Jakarta,Palermo,"{'Tokyo': 0.006312947473512161, 'Indonesia': 0.007685652499504135, 'Istanbul': 0.002905287285814775, 'Kuala': 0.004227765821684204, 'Jakarta': 0.9729923812414647}",Jakarta,True
14,"Between Karachi and Minneapolis, the city with a larger population is ->",Karachi,Minneapolis,"{'city': 0.0007791149203967221, 'Dh': 0.0018080792228936137, 'Tehran': 0.010255146518926356, 'Karachi': 0.9853784149235519, 'Kh': 0.0008070825520053583}",Karachi,True
