,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like cheap restaurants. Between The Duke of Devon and Mamma's Pizza, this person should go to ->",The Duke of Devon,Mamma's Pizza,"{'the': 7.539560090979538e-09, 'THE': 2.558348491849398e-10, 'Conv': 2.0558944792102318e-11, 'The': 1.0, 'he': 1.0334014540789612e-08}",The,True
1,"Someone doesn't like cheap restaurants. Between Mövenpick Café and Mamma's Pizza, this person should go to ->",Mövenpick Café,Mamma's Pizza,"{'Mam': 0.8036476195656946, 'M': 0.1960506960265318, 'Mamm': 9.457855357421134e-07, 'Mama': 8.213052450030251e-07, '': 0.0002976530534179667}",Mam,False
2,"Someone doesn't like cheap restaurants. Between Paradise Farms Prime Beef Bistro and Thompson Rooftop, this person should go to ->",Thompson Rooftop,Paradise Farms Prime Beef Bistro,"{'Thompson': 0.9960752430699338, 'Paradise': 0.0011171114362440828, 'Thomson': 1.422476639828359e-05, 'Conv': 1.0432194514528037e-06, 'hompson': 0.0027892199780440497}",Thompson,True
3,"Someone doesn't like cheap restaurants. Between Piper's Pub And Grill and Hapa Toronto, this person should go to ->",Hapa Toronto,Piper's Pub And Grill,"{'Shell': 2.152486225431414e-06, 'Gor': 9.240348958004894e-07, 'Piper': 0.9978533816875914, 'P': 5.321325704951248e-05, 'H': 0.0020848895474056195}",Piper,False
4,"Someone doesn't like cheap restaurants. Between Thompson Rooftop and Kim PO Vietnamese, this person should go to ->",Thompson Rooftop,Kim PO Vietnamese,"{'Thompson': 0.9977635578716132, 'Shell': 1.3069243573710945e-06, 'Thomson': 6.375608037771595e-05, 'hompson': 0.0019721075218961104, 'Kim': 0.0001933390837499549}",Thompson,True
5,"Someone doesn't like cheap restaurants. Between Nutella Cafe by Pusateri's and Tortería San Cosme, this person should go to ->",Nutella Cafe by Pusateri's,Tortería San Cosme,"{'Nut': 0.0038826242534083376, 'or': 0.00014436871645860246, 'Gor': 0.00011384689938921985, 'Conv': 7.291210327531255e-06, 'Tor': 0.9958417117231824}",Tor,False
6,"Someone doesn't like cheap restaurants. Between Modo Mio Italian Bistro and Hapa Toronto, this person should go to ->",Hapa Toronto,Modo Mio Italian Bistro,"{'MOD': 1.4069334319558188e-05, 'Mod': 0.9517311428971241, 'H': 0.0479866419266392, 'Mods': 1.9933217434807823e-05, 'od': 0.00020512151465925367}",Mod,False
7,"Someone doesn't like cheap restaurants. Between Anatolia Restaurant and Verona Restaurant, this person should go to ->",Verona Restaurant,Anatolia Restaurant,"{'er': 0.0001451356116298905, 'anat': 5.247089096210321e-05, 'Anat': 0.9191214783478298, 'Conv': 0.0007575924362293646, 'Ver': 0.07982492339847334}",Anat,False
8,"Someone doesn't like cheap restaurants. Between The Duke of Devon and Shawarma Twist, this person should go to ->",The Duke of Devon,Shawarma Twist,"{'Shaw': 2.571014473949364e-06, 'the': 2.2913261252518453e-08, 'THE': 7.247995369977476e-10, 'The': 0.999997425535114, 'he': 2.6791370434366092e-08}",The,True
9,"Someone doesn't like cheap restaurants. Between To-ne Sushi and Mysteriously Yours Dinner Theatre, this person should go to ->",Mysteriously Yours Dinner Theatre,To-ne Sushi,"{'Myster': 0.028451664897471834, 'To': 0.9714565566228258, 'o': 6.473043922087587e-05, 'Conv': 1.0021512756503435e-05, 'myster': 3.0803109755126054e-06}",To,False
