,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a city with cold weather. Between Managua and Amsterdam, you should visit ->",Amsterdam,Managua,"{'Holland': 0.0009213026181995608, 'Man': 0.00952877605794417, 'Amsterdam': 0.9782084623243674, 'colder': 0.0016841429156288616, 'O': 0.0011207008841276297}",Amsterdam,True
1,"You are looking for a city with cold weather. Between Bujumbura and London, you should visit ->",London,Bujumbura,"{'City': 0.002089996265184659, 'Edinburgh': 0.0019187314776833485, 'London': 0.9694182235058805, 'colder': 0.003556859095849173, '0': 0.0019766219048464374}",London,True
2,"You are looking for a city with cold weather. Between Nairobi and Minneapolis, you should visit ->",Minneapolis,Nairobi,"{'Minneapolis': 0.2684387795918811, 'Winnipeg': 0.0024471125511827097, 'M': 0.002458811932416728, 'N': 0.7238895163266678, 'Minnesota': 0.000982425543293408}",N,False
3,"You are looking for a city with cold weather. Between Karachi and Viedma, you should visit ->",Viedma,Karachi,"{'Edmonton': 0.3394252272436853, 'Adelaide': 0.044255022993191166, 'Warsaw': 0.1550112010244477, 'Helsinki': 0.04602523711510516, 'V': 0.06590785162721746}",Edmonton,True
4,"You are looking for a city with cold weather. Between Managua and Suwałki, you should visit ->",Suwałki,Managua,"{'Su': 0.03647277453020536, 'Man': 0.9350605242222119, 'S': 0.0011753547054064871, 'Warsaw': 0.023098721714965936, 'Vil': 0.0012396556990213502}",Man,False
5,"You are looking for a city with cold weather. Between Bangui and Viedma, you should visit ->",Viedma,Bangui,"{'Vancouver': 0.0004983836978473488, 'Winnipeg': 0.0002668106038893231, 'S': 0.00026151497770002165, 'B': 0.9948852856241927, 'V': 0.0018180065143180845}",B,False
6,"You are looking for a city with cold weather. Between Bujumbura and Ulaanbaatar, you should visit ->",Ulaanbaatar,Bujumbura,"{'T': 0.00408713926444545, 'B': 0.007566550467491426, 'O': 0.020127122407417878, 'U': 0.9207197756407284, 'Bu': 0.00902074819409561}",U,True
7,"You are looking for a city with cold weather. Between Lisbon and Ushuaia, you should visit ->",Ushuaia,Lisbon,"{'Madrid': 0.06884592790507017, 'Lisbon': 0.059386093273419524, 'O': 0.09673019218216332, 'U': 0.6266439891547825, 'Helsinki': 0.02991578534308077}",U,True
8,"You are looking for a city with cold weather. Between Abéché and Milan, you should visit ->",Milan,Abéché,"{'Milan': 0.9855289173489664, 'Ab': 0.0023011920677200527, 'Mon': 0.000593683920855194, 'Stockholm': 0.0011660317051998203, 'Helsinki': 0.0024266084405703}",Milan,True
9,"You are looking for a city with cold weather. Between Piura and Reykjavík, you should visit ->",Reykjavík,Piura,"{'Iceland': 0.004701789961011123, 'Winnipeg': 0.0010405675432640388, 'Rey': 0.9795027089065379, 'R': 0.0036360890927883676, 'Ark': 0.001953528606226429}",Rey,True
