,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for an affordable restaurant. Between Nook and Thompson Rooftop, you should go to ->",Nook,Thompson Rooftop,"{'Thompson': 0.027223396771398147, 'n': 6.51554424267266e-08, 'N': 0.9725954190768985, '': 3.0343327783818285e-06, 'hompson': 0.00017801335186638965}",N,True
1,"You are looking for an affordable restaurant. Between Mirage Grill & Lounge and Sheriff Broaster Chicken, you should go to ->",Sheriff Broaster Chicken,Mirage Grill & Lounge,"{'Sheriff': 0.9875798526826831, 'sher': 6.680236993380709e-05, 'sheriff': 0.0018001749938498272, 'her': 0.009992694529676096, 'Sher': 0.0004682714541331899}",Sheriff,True
2,"You are looking for an affordable restaurant. Between Buk Chang Dong Soon Tofu and LCBO, you should go to ->",Buk Chang Dong Soon Tofu,LCBO,"{'Soon': 6.593969142266823e-05, 'LC': 6.778450018459834e-05, 'Poor': 4.348467416474768e-05, 'Buk': 0.9995017532661492, 'Bib': 0.00014960830189695914}",Buk,True
3,"You are looking for an affordable restaurant. Between Cake Opera and Juice & Java Cafe, you should go to ->",Juice & Java Cafe,Cake Opera,"{'juice': 5.7925723351401406e-05, 'Cafe': 1.0097962299405456e-06, 'u': 7.154314190028877e-06, 'Juice': 0.999930788375235, 'juices': 1.0144793832164002e-06}",Juice,True
4,"You are looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and Hina Sushi, you should go to ->",Hina Sushi,Mysteriously Yours Dinner Theatre,"{'h': 2.5858848314411964e-08, 'S': 1.9330653804008232e-11, 'H': 1.0, '': 2.3349879813924966e-08, 'HH': 3.211930065403515e-11}",H,True
5,"You are looking for an affordable restaurant. Between The Coffee Pocket and Sichuan Landscape Chinese Restaurant, you should go to ->",The Coffee Pocket,Sichuan Landscape Chinese Restaurant,"{'Coffee': 0.0002715305233629264, 'Starbucks': 6.827492425606464e-05, 'Cafe': 8.566716822344184e-06, 'S': 0.00020739300289185312, 'The': 0.9994366051165323}",The,True
6,"You are looking for an affordable restaurant. Between LCBO and Queen Pita, you should go to ->",Queen Pita,LCBO,"{'queen': 0.001677487736041009, 'ueen': 0.03198234650909348, 'P': 0.022078901714533115, 'Peter': 0.00031366406545452956, 'Queen': 0.9431458710779168}",Queen,True
7,"You are looking for an affordable restaurant. Between Lebanese Bakery and Supermodel Pizza, you should go to ->",Supermodel Pizza,Lebanese Bakery,"{'uper': 0.016673227327964554, 'super': 0.0012593124267738635, 'Lebanese': 0.02364214156053854, 'Super': 0.9544164265091418, 'Cy': 0.0013680342822110227}",Super,True
8,"You are looking for an affordable restaurant. Between New Bilan Restaurant and Joe Badali's Ristorante Italiano & Bar, you should go to ->",New Bilan Restaurant,Joe Badali's Ristorante Italiano & Bar,"{'oe': 3.309802318077239e-05, 'Bil': 7.976355141736917e-06, 'ew': 6.4123739793729295e-06, 'Joe': 0.0010038721564835653, 'New': 0.9989377136260685}",New,True
9,"You are looking for an affordable restaurant. Between Chipotle Mexican Grill and Madras Pantry, you should go to ->",Madras Pantry,Chipotle Mexican Grill,"{'Chip': 1.187047895636053e-05, 'ad': 0.0002053912214880964, 'MAD': 9.61827137674492e-06, 'Mad': 0.999467121790052, 'mad': 0.00029828683525062315}",Mad,True
10,"You are looking for an affordable restaurant. Between FreshCo and Helena's Magic Kitchen, you should go to ->",Helena's Magic Kitchen,FreshCo,"{'el': 0.0002331930282376029, 'Fresh': 0.024732322192931415, 'Poor': 4.925734817267375e-05, 'resh': 3.2576366059748494e-05, 'Helena': 0.9748319537181688}",Helena,True
11,"You are looking for an affordable restaurant. Between Piper's Pub And Grill and Dinah's Cupboard, you should go to ->",Piper's Pub And Grill,Dinah's Cupboard,"{'din': 0.000741209831010732, 'Din': 0.4554043651904484, 'in': 2.368359366407841e-05, 'Piper': 0.5437155254828763, 'Peter': 5.050516245884259e-05}",Piper,True
12,"You are looking for an affordable restaurant. Between Top Sushi and Maurya East Indian Roti, you should go to ->",Top Sushi,Maurya East Indian Roti,"{'ma': 0.0120459472911632, 'a': 0.006126004720523158, 'bottom': 0.00032007762930914705, 'Top': 0.0017025649004358758, 'Ma': 0.9792642907266704}",Ma,False
13,"You are looking for an affordable restaurant. Between La Pupusa Loka and KFC, you should go to ->",KFC,La Pupusa Loka,"{'Le': 0.00013271866113828744, 'P': 0.00012348239038976433, 'La': 0.01993261189314937, 'k': 0.0001166990685827119, 'K': 0.9795846065926272}",K,True
14,"You are looking for an affordable restaurant. Between Buk Chang Dong Soon Tofu and Hapa Toronto, you should go to ->",Buk Chang Dong Soon Tofu,Hapa Toronto,"{'Soon': 1.6280003213507568e-05, 'Poor': 1.1946753382167861e-05, 'H': 0.9344359815477629, 'Buk': 0.06550405695596619, 'Bib': 8.295254115592183e-06}",H,False
15,"You are looking for an affordable restaurant. Between Milo's Pita and Topham Corner, you should go to ->",Milo's Pita,Topham Corner,"{'p': 0.001846155334331175, 'T': 0.0032718189333207724, 'Milo': 0.060154248939234635, 'P': 0.9338811754427168, 'Peter': 0.0002427780272978175}",P,True
