,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like the cold weather. Between Anchorage and Tampa, I should visit ->",Tampa,Anchorage,"{'Tampa': 0.796562583170451, 'warmer': 0.024528980081262856, 'T': 0.012306225579216703, 'Anchorage': 0.13362751346137305, 'Seattle': 0.013017542605399803}",Tampa,True
1,"I don't like the cold weather. Between Auckland and Bamako, I should visit ->",Bamako,Auckland,"{'Tam': 0.00014445160788941448, 'Bab': 0.00012678827356613602, 'Kum': 0.0001550721601538252, 'B': 0.0026786892230034973, 'Bam': 0.996154397740312}",Bam,True
2,"I don't like the cold weather. Between Luanda and Suwałki, I should visit ->",Luanda,Suwałki,"{'Rio': 0.0018096623465033296, 'Su': 0.0035637675256297266, 'Salvador': 0.0012753282277151343, 'Kh': 0.0015321857013948343, 'Lu': 0.9864793700536666}",Lu,True
3,"I don't like the cold weather. Between Sucre and Pontianak, I should visit ->",Pontianak,Sucre,"{'Coc': 0.005075503739324174, 'Pont': 0.9518148265849806, 'Suc': 0.036812651578369895, 'ont': 0.005341999275060565, 'suc': 0.00026488626838660264}",Pont,True
4,"I don't like the cold weather. Between Bergen and Mahajanga, I should visit ->",Mahajanga,Bergen,"{'Tam': 0.0001544673207778669, 'ah': 0.0038699952474124458, 'mah': 0.0001694570594190014, 'Ber': 0.0027693185496644765, 'Mah': 0.9926111299162623}",Mah,True
5,"I don't like the cold weather. Between Frankfurt and Barranquilla, I should visit ->",Barranquilla,Frankfurt,"{'ar': 0.00017394646126091747, 'Barcelona': 0.00010512967182423732, 'Bar': 0.9995374564562629, 'Georgetown': 4.151461599841632e-05, 'Libre': 4.19341092063938e-05}",Bar,True
6,"I don't like the cold weather. Between Lyon and Pontianak, I should visit ->",Pontianak,Lyon,"{'Pont': 0.9788979626319914, 'Lyon': 0.010604328628941187, 'pont': 0.00011365295580964591, 'Marse': 0.00023429723819343542, 'ont': 0.009904107588131506}",Pont,True
7,"I don't like the cold weather. Between Port Sudan and Vladivostok, I should visit ->",Port Sudan,Vladivostok,"{'Sant': 0.007273572537164331, 'Vlad': 0.9048154850427753, 'Vit': 0.0070908419055084205, 'Salvador': 0.004983972575600424, 'Port': 0.06282592953746112}",Vlad,False
8,"I don't like the cold weather. Between Kansas City and Managua, I should visit ->",Managua,Kansas City,"{'Man': 0.9999926553342722, 'Salvador': 2.1230687337538496e-06, 'Nicaragua': 6.376731429533454e-07, 'an': 6.851431790602638e-07, 'Jay': 9.54337933723912e-07}",Man,True
9,"I don't like the cold weather. Between Managua and Belgrade, I should visit ->",Managua,Belgrade,"{'Man': 0.9668065782773156, 'Salvador': 3.528019121175821e-06, 'Nicaragua': 1.39238145476061e-06, 'Bel': 0.03318372613142184, 'an': 8.112042215846047e-07}",Man,True
10,"I don't like the cold weather. Between Hanoi and Reykjavík, I should visit ->",Hanoi,Reykjavík,"{'Barcelona': 5.978541554191857e-07, 'Rio': 1.2894947370853704e-05, 'warmer': 5.88062266056686e-07, 'Rey': 0.00038123293183583485, 'H': 0.9996002195335153}",H,True
11,"I don't like the cold weather. Between Ushuaia and Maputo, I should visit ->",Maputo,Ushuaia,"{'ap': 0.0019735224247343216, 'Rio': 0.0001556141518753493, 'K': 6.091135179768851e-05, 'Kh': 0.00012365439756640737, 'Map': 0.9973332679639987}",Map,True
12,"I don't like the cold weather. Between Suva and Bogotá, I should visit ->",Suva,Bogotá,"{'Rio': 0.0037663233202599885, 'Col': 0.0036505406466022117, 'Su': 0.18218065032281663, 'Gu': 0.003525362539222556, 'Bog': 0.800611682779625}",Bog,False
13,"I don't like the cold weather. Between Ottawa and Mendoza, I should visit ->",Mendoza,Ottawa,"{'Madrid': 0.013136855526568165, 'Rio': 0.0032140363559027695, 'Mend': 0.9747402799578784, 'warmer': 0.0016127840012440287, 'Salvador': 0.0016867713855224723}",Mend,True
14,"I don't like the cold weather. Between Paris and Ulaanbaatar, I should visit ->",Paris,Ulaanbaatar,"{'Barcelona': 0.008912994597240128, 'aris': 0.03156712335940121, 'Marse': 0.033671940990338656, 'U': 0.1160654062262061, 'Paris': 0.7824502475460586}",Paris,True
15,"I don't like the cold weather. Between Makurdi and London, I should visit ->",Makurdi,London,"{'Tam': 2.2548885719498534e-06, 'Dak': 7.074526800452721e-06, 'Mak': 0.9999597545128713, 'Kum': 2.747305348357624e-06, 'warmer': 4.944182129481727e-06}",Mak,True
16,"I don't like the cold weather. Between Bishkek and Irkutsk, I should visit ->",Bishkek,Irkutsk,"{'Tehran': 1.707362117261153e-06, 'Istanbul': 2.2794804813927677e-06, 'B': 0.999981331587257, 'ytes: \\xc4': 6.713367251434781e-07, 'Ir': 1.1661718542942652e-05}",B,True
17,"I don't like the cold weather. Between Mexico City and Panama City, I should visit ->",Panama City,Mexico City,"{'Gu': 0.00562956389924702, 'Panama': 0.2591017855715388, 'Salvador': 0.007810466389094641, 'exico': 0.021131497057624307, 'Mexico': 0.6926244125120001}",Mexico,False
18,"I don't like the cold weather. Between Port Moresby and Addis Ababa, I should visit ->",Port Moresby,Addis Ababa,"{'ort': 0.0006327768662109239, 'Add': 0.6694998619831983, 'Port': 0.3276252350181322, 'dd': 0.0007820244906051181, 'Acc': 0.0005488223813724368}",Add,False
19,"I don't like the cold weather. Between Djibouti and Harare, I should visit ->",Djibouti,Harare,"{'Rio': 0.00016127678621856765, 'Dj': 0.03311536185107859, 'Dh': 0.005370286607025632, 'Har': 0.9589763706257661, 'Kh': 0.001288847333468807}",Har,False
