,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like small cities. Between Guangzhou and Saskatoon, you should visit -> Guangzhou. You don't like small cities. Between Alexandria and Lviv, you should visit -> Alexandria. You don't like small cities. Between Johannesburg and Thiès, you should visit -> Johannesburg. You don't like small cities. Between Monterrey and Willemstad, you should visit -> Monterrey. You don't like small cities. Between Paris and Manaus, you should visit -> Paris. You don't like small cities. Between Sydney and Pittsburgh, you should visit -> Sydney. You don't like small cities. Between Hanoi and Ürümqi, you should visit -> Hanoi. You don't like small cities. Between Harare and Jakarta, you should visit -> Jakarta. You don't like small cities. Between Vientiane and Nairobi, you should visit ->",Nairobi,Vientiane,"{'': 0.00030879497889527797, 'N': 0.5291035868191798, 'V': 0.4693367739968185}",N,True
1,"You don't like small cities. Between Nairobi and Vientiane, you should visit -> Nairobi. You don't like small cities. Between Lviv and Alexandria, you should visit -> Alexandria. You don't like small cities. Between Johannesburg and Thiès, you should visit -> Johannesburg. You don't like small cities. Between Willemstad and Monterrey, you should visit -> Monterrey. You don't like small cities. Between Manaus and Paris, you should visit -> Paris. You don't like small cities. Between Pittsburgh and Sydney, you should visit -> Sydney. You don't like small cities. Between Hanoi and Ürümqi, you should visit -> Hanoi. You don't like small cities. Between Harare and Jakarta, you should visit -> Jakarta. You don't like small cities. Between Guangzhou and Saskatoon, you should visit ->",Guangzhou,Saskatoon,"{'': 3.205315306094093e-05, 'Sask': 0.19864991988874792, 'Saskatchewan': 2.0180152219097322e-05, 'Guang': 0.8009440376179511, 'u': 9.900977255744471e-05}",Guang,True
2,"You don't like small cities. Between Nairobi and Vientiane, you should visit -> Nairobi. You don't like small cities. Between Guangzhou and Saskatoon, you should visit -> Guangzhou. You don't like small cities. Between Johannesburg and Thiès, you should visit -> Johannesburg. You don't like small cities. Between Monterrey and Willemstad, you should visit -> Monterrey. You don't like small cities. Between Paris and Manaus, you should visit -> Paris. You don't like small cities. Between Pittsburgh and Sydney, you should visit -> Sydney. You don't like small cities. Between Ürümqi and Hanoi, you should visit -> Hanoi. You don't like small cities. Between Jakarta and Harare, you should visit -> Jakarta. You don't like small cities. Between Alexandria and Lviv, you should visit ->",Alexandria,Lviv,"{'lex': 0.00025269407262968837, 'Alexand': 0.0014011703882501874, 'Lv': 0.2810308019992653, 'Alexandria': 0.7132582301597257, 'v': 0.0034831103696534495}",Alexandria,True
3,"You don't like small cities. Between Nairobi and Vientiane, you should visit -> Nairobi. You don't like small cities. Between Saskatoon and Guangzhou, you should visit -> Guangzhou. You don't like small cities. Between Alexandria and Lviv, you should visit -> Alexandria. You don't like small cities. Between Monterrey and Willemstad, you should visit -> Monterrey. You don't like small cities. Between Paris and Manaus, you should visit -> Paris. You don't like small cities. Between Sydney and Pittsburgh, you should visit -> Sydney. You don't like small cities. Between Hanoi and Ürümqi, you should visit -> Hanoi. You don't like small cities. Between Jakarta and Harare, you should visit -> Jakarta. You don't like small cities. Between Thiès and Johannesburg, you should visit ->",Johannesburg,Thiès,"{'Joh': 0.0001815134141187495, 'Johannes': 0.8307003490079716, 'Jo': 0.00020574274094031602, 'Th': 0.16689249773228568, 'h': 0.001182381090938846}",Johannes,True
4,"You don't like small cities. Between Nairobi and Vientiane, you should visit -> Nairobi. You don't like small cities. Between Guangzhou and Saskatoon, you should visit -> Guangzhou. You don't like small cities. Between Alexandria and Lviv, you should visit -> Alexandria. You don't like small cities. Between Thiès and Johannesburg, you should visit -> Johannesburg. You don't like small cities. Between Manaus and Paris, you should visit -> Paris. You don't like small cities. Between Sydney and Pittsburgh, you should visit -> Sydney. You don't like small cities. Between Hanoi and Ürümqi, you should visit -> Hanoi. You don't like small cities. Between Harare and Jakarta, you should visit -> Jakarta. You don't like small cities. Between Monterrey and Willemstad, you should visit ->",Monterrey,Willemstad,"{'': 0.00018138204596793647, 'il': 0.00028950991871529077, 'Mon': 0.9008012625592021, 'Wil': 0.09790726733245302, 'on': 0.00040161987550985215}",Mon,True
5,"You don't like small cities. Between Vientiane and Nairobi, you should visit -> Nairobi. You don't like small cities. Between Saskatoon and Guangzhou, you should visit -> Guangzhou. You don't like small cities. Between Alexandria and Lviv, you should visit -> Alexandria. You don't like small cities. Between Johannesburg and Thiès, you should visit -> Johannesburg. You don't like small cities. Between Monterrey and Willemstad, you should visit -> Monterrey. You don't like small cities. Between Pittsburgh and Sydney, you should visit -> Sydney. You don't like small cities. Between Hanoi and Ürümqi, you should visit -> Hanoi. You don't like small cities. Between Jakarta and Harare, you should visit -> Jakarta. You don't like small cities. Between Paris and Manaus, you should visit ->",Paris,Manaus,"{'Man': 0.3764607450474924, '': 0.0003363046877917021, 'Par': 0.0005927830959457842, 'aris': 0.0014690203924916344, 'Paris': 0.620069363864488}",Paris,True
6,"You don't like small cities. Between Nairobi and Vientiane, you should visit -> Nairobi. You don't like small cities. Between Saskatoon and Guangzhou, you should visit -> Guangzhou. You don't like small cities. Between Lviv and Alexandria, you should visit -> Alexandria. You don't like small cities. Between Thiès and Johannesburg, you should visit -> Johannesburg. You don't like small cities. Between Willemstad and Monterrey, you should visit -> Monterrey. You don't like small cities. Between Paris and Manaus, you should visit -> Paris. You don't like small cities. Between Hanoi and Ürümqi, you should visit -> Hanoi. You don't like small cities. Between Jakarta and Harare, you should visit -> Jakarta. You don't like small cities. Between Pittsburgh and Sydney, you should visit ->",Sydney,Pittsburgh,"{'Pitt': 0.00022009110141184065, 'Sydney': 0.9467773379905136, 'Pittsburgh': 0.04936728110661001, '': 0.000904190942767791, 'Sidney': 0.0018463861181716556}",Sydney,True
7,"You don't like small cities. Between Vientiane and Nairobi, you should visit -> Nairobi. You don't like small cities. Between Saskatoon and Guangzhou, you should visit -> Guangzhou. You don't like small cities. Between Alexandria and Lviv, you should visit -> Alexandria. You don't like small cities. Between Thiès and Johannesburg, you should visit -> Johannesburg. You don't like small cities. Between Monterrey and Willemstad, you should visit -> Monterrey. You don't like small cities. Between Manaus and Paris, you should visit -> Paris. You don't like small cities. Between Pittsburgh and Sydney, you should visit -> Sydney. You don't like small cities. Between Jakarta and Harare, you should visit -> Jakarta. You don't like small cities. Between Ürümqi and Hanoi, you should visit ->",Hanoi,Ürümqi,"{'ytes:\\xc3': 0.00042402446666439203, '': 0.0005686238013819019, 'H': 0.8770691775151378, 'Ü': 0.11862598720753163}",H,True
8,"You don't like small cities. Between Vientiane and Nairobi, you should visit -> Nairobi. You don't like small cities. Between Guangzhou and Saskatoon, you should visit -> Guangzhou. You don't like small cities. Between Lviv and Alexandria, you should visit -> Alexandria. You don't like small cities. Between Thiès and Johannesburg, you should visit -> Johannesburg. You don't like small cities. Between Monterrey and Willemstad, you should visit -> Monterrey. You don't like small cities. Between Paris and Manaus, you should visit -> Paris. You don't like small cities. Between Sydney and Pittsburgh, you should visit -> Sydney. You don't like small cities. Between Hanoi and Ürümqi, you should visit -> Hanoi. You don't like small cities. Between Harare and Jakarta, you should visit ->",Jakarta,Harare,"{'': 0.0002745407105490837, 'Har': 0.026359986012012525, 'Jak': 0.0002681817863831746, 'Johannes': 0.00017604304833879694, 'Jakarta': 0.972486580068668}",Jakarta,True
9,"You don't like small cities. Between Vientiane and Nairobi, you should visit -> Nairobi. You don't like small cities. Between Guangzhou and Saskatoon, you should visit -> Guangzhou. You don't like small cities. Between Lviv and Alexandria, you should visit -> Alexandria. You don't like small cities. Between Thiès and Johannesburg, you should visit -> Johannesburg. You don't like small cities. Between Monterrey and Willemstad, you should visit -> Monterrey. You don't like small cities. Between Paris and Manaus, you should visit -> Paris. You don't like small cities. Between Pittsburgh and Sydney, you should visit -> Sydney. You don't like small cities. Between Hanoi and Ürümqi, you should visit -> Hanoi. You don't like small cities. Between Córdoba and Moscow, you should visit ->",Moscow,Córdoba,"{'Madrid': 4.419194611837969e-05, '': 0.00039433482496271417, 'C': 0.03416114130677546, 'oscow': 0.0014529439071372257, 'Moscow': 0.9637448064660499}",Moscow,True
