,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a big city to visit. Between Rome and San Juan, I should visit ->",Rome,San Juan,"{'Rome': 0.08551224473659143, 'Tokyo': 0.06871357507012371, 'Istanbul': 0.053990304221114414, 'San': 0.06133606334328667, 'R': 0.5182972290649376}",R,True
1,"I'm looking for a big city to visit. Between Manila and Mahajanga, I should visit ->",Manila,Mahajanga,"{'Tokyo': 0.350875612031828, 'Madrid': 0.08626138774155087, 'Man': 0.20320718594510956, 'Manila': 0.11485994068010733, 'Kuala': 0.10692675624355842}",Tokyo,True
2,"I'm looking for a big city to visit. Between Nairobi and Christchurch, I should visit ->",Nairobi,Christchurch,"{'Tokyo': 0.052896611340775744, 'Rio': 0.006002315305129423, 'N': 0.8793924655401115, 'bigger': 0.004684851784366397, 'New': 0.03474550040859307}",N,True
3,"I'm looking for a big city to visit. Between Mumbai and Murmansk, I should visit ->",Mumbai,Murmansk,"{'Tokyo': 0.048052899595823505, 'Dh': 0.020243425597409093, 'Mumbai': 0.45514809020864316, 'M': 0.3529894179418556, 'B': 0.016501697905601544}",Mumbai,True
4,"I'm looking for a big city to visit. Between Ho Chi Minh City and Piura, I should visit ->",Ho Chi Minh City,Piura,"{'Tai': 0.04481596685698411, 'Tokyo': 0.16725745616681453, 'Singapore': 0.30415741472459934, 'S': 0.09778360050498569, 'Chong': 0.07964085213552714}",Singapore,False
5,"I'm looking for a big city to visit. Between Bogotá and Tabora, I should visit ->",Bogotá,Tabora,"{'Barcelona': 0.09315210353095316, 'Rio': 0.06710914870243202, 'Med': 0.12747789525029438, 'T': 0.09935489906772679, 'bigger': 0.0639543392159267}",Med,False
6,"I'm looking for a big city to visit. Between Algiers and Asmara, I should visit ->",Algiers,Asmara,"{'As': 0.5818739357229733, 'Tokyo': 0.04459317761190081, 'Barcelona': 0.059190886097476345, 'Istanbul': 0.04241101342007804, 'New': 0.059029615699985646}",As,False
7,"I'm looking for a big city to visit. Between Jakarta and Tripoli, I should visit ->",Jakarta,Tripoli,"{'Tokyo': 0.21171892700413938, 'Dh': 0.08270199945814134, 'Istanbul': 0.11001917612214625, 'Kuala': 0.2573727128817601, 'Jakarta': 0.09112788767428633}",Kuala,True
8,"I'm looking for a big city to visit. Between Beijing and Port Sudan, I should visit ->",Beijing,Port Sudan,"{'Beijing': 0.13156467804908786, 'Tokyo': 0.10957741425720742, 'Tehran': 0.3011735205805991, 'B': 0.030764815373318603, 'Chong': 0.22167064051937652}",Tehran,True
9,"I'm looking for a big city to visit. Between Hanoi and Kuwait City, I should visit ->",Hanoi,Kuwait City,"{'Tokyo': 0.07142749498062974, 'Istanbul': 0.052432450236863465, 'Kuala': 0.27546279634444193, 'K': 0.0815481202872414, 'Kh': 0.30666393661168134}",Kh,False
10,"I'm looking for a big city to visit. Between Bogotá and Lviv, I should visit ->",Bogotá,Lviv,"{'Madrid': 0.08867748101245052, 'Barcelona': 0.10071145822308407, 'Rio': 0.12815269453227685, 'Med': 0.05833118050711938, 'bigger': 0.07258416455644784}",Rio,False
11,"I'm looking for a big city to visit. Between Toronto and Goiânia, I should visit ->",Toronto,Goiânia,"{'Tokyo': 0.2939275707464047, 'city': 0.05022407427545157, 'T': 0.3806855776797083, 'bigger': 0.04462568004030566, 'Toronto': 0.11118270942922204}",T,True
12,"I'm looking for a big city to visit. Between Santiago and Florianópolis, I should visit ->",Santiago,Florianópolis,"{'Sant': 0.11567982885985884, 'Rio': 0.0337421324982902, 'Salvador': 0.1751921863383131, 'S': 0.4934992696741349, 'Santiago': 0.028561754823456072}",S,True
13,"I'm looking for a big city to visit. Between Melbourne and Sucre, I should visit ->",Melbourne,Sucre,"{'Tokyo': 0.1579697057655307, 'Melbourne': 0.08872906196336726, 'city': 0.06111288813144849, 'Adelaide': 0.20319873270200295, 'bigger': 0.10994321211438877}",Adelaide,True
14,"I'm looking for a big city to visit. Between Douala and Port-Gentil, I should visit ->",Douala,Port-Gentil,"{'Tokyo': 0.09281936373677728, 'Barcelona': 0.10266583349685242, 'Rio': 0.0715022615294406, 'Acc': 0.11158172465682396, 'New': 0.07603344269671004}",Acc,False
15,"I'm looking for a big city to visit. Between Santiago and Dublin, I should visit ->",Santiago,Dublin,"{'Sant': 0.056731237161114646, 'Madrid': 0.10848115583778238, 'Rio': 0.06970937954777894, 'Salvador': 0.10564318948382811, 'S': 0.42441685845446153}",S,True
16,"I'm looking for a big city to visit. Between Hanoi and Bratislava, I should visit ->",Hanoi,Bratislava,"{'Tokyo': 0.08034139391518964, 'Br': 0.6138269812746934, 'Istanbul': 0.03850075220835153, 'ytes: \\xc4': 0.03546812404828342, 'Kuala': 0.04525290101782758}",Br,False
17,"I'm looking for a big city to visit. Between Dar es Salaam and Lusaka, I should visit ->",Dar es Salaam,Lusaka,"{'Tokyo': 0.3809495794554771, 'Dh': 0.06047281825169991, 'Tehran': 0.06599627354428146, 'Istanbul': 0.051635647602938636, 'New': 0.05057079718621307}",Tokyo,False
18,"I'm looking for a big city to visit. Between Cairo and Mahajanga, I should visit ->",Cairo,Mahajanga,"{'Tehran': 0.15708003915570218, 'Cairo': 0.23126778440767035, 'Istanbul': 0.05378826275612517, 'C': 0.2645315376024009, 'Kh': 0.09857774034604791}",C,True
19,"I'm looking for a big city to visit. Between Shanghai and Pretoria, I should visit ->",Shanghai,Pretoria,"{'Tokyo': 0.06296856785692521, 'city': 0.02755361874785162, 'Shanghai': 0.14249909929931057, 'S': 0.41800654027035106, 'Chong': 0.2525063454720788}",S,True
20,"I'm looking for a big city to visit. Between Shanghai and Lisbon, I should visit ->",Shanghai,Lisbon,"{'Tokyo': 0.06067270212165634, 'city': 0.033793672437821616, 'Shanghai': 0.03574152860571399, 'S': 0.4395006424865795, 'Chong': 0.34020394600961673}",S,True
21,"I'm looking for a big city to visit. Between Lagos and Porto Alegre, I should visit ->",Lagos,Porto Alegre,"{'Madrid': 0.056753570971066716, 'Barcelona': 0.04417912882273495, 'Rio': 0.4962677893830366, 'S': 0.0996400387189315, 'bigger': 0.058808598604406466}",Rio,False
22,"I'm looking for a big city to visit. Between Kuwait City and La Paz, I should visit ->",Kuwait City,La Paz,"{'Tokyo': 0.16276502217540728, 'Tehran': 0.08604051405462321, 'Istanbul': 0.06453670159709358, 'Kuala': 0.3433061720808801, 'Kh': 0.10256782417108357}",Kuala,False
23,"I'm looking for a big city to visit. Between Saint Petersburg and Lyon, I should visit ->",Saint Petersburg,Lyon,"{'Tokyo': 0.002982718935442015, 'Tall': 0.0026749927738561573, 'S': 0.02472557860819897, 'Sochi': 0.0035174253206648907, 'St': 0.9490215277133969}",St,True
24,"I'm looking for a big city to visit. Between London and Zagreb, I should visit ->",London,Zagreb,"{'Tokyo': 0.4611263202328752, 'city': 0.0749562401795508, 'S': 0.06309858086130526, 'London': 0.12816476708471006, 'bigger': 0.0824673600239034}",Tokyo,True
25,"I'm looking for a big city to visit. Between Kunming and Asmara, I should visit ->",Kunming,Asmara,"{'As': 0.3890350019911105, 'Tokyo': 0.09208377669891768, 'S': 0.0197499168059666, 'Chong': 0.32952926915043745, 'Kuala': 0.05773711911998359}",As,False
26,"I'm looking for a big city to visit. Between Cairo and Phoenix, I should visit ->",Cairo,Phoenix,"{'Tehran': 0.13026422386151004, 'Cairo': 0.13499183282045799, 'Istanbul': 0.04271140493134629, 'C': 0.43649466325375696, 'Kh': 0.04515385593487366}",C,True
27,"I'm looking for a big city to visit. Between Lahore and Managua, I should visit ->",Lahore,Managua,"{'Tokyo': 0.027050735058292013, 'Man': 0.7092254854053577, 'Dh': 0.04638941364424122, 'Tehran': 0.053496438360348675, 'Kuala': 0.0252375352149981}",Man,False
28,"I'm looking for a big city to visit. Between Chicago and Viedma, I should visit ->",Chicago,Viedma,"{'Tokyo': 0.06013363159671266, 'city': 0.11076522585532643, 'C': 0.10803983254436607, 'Chicago': 0.20330045912263353, 'Detroit': 0.1754231892450914}",Chicago,True
29,"I'm looking for a big city to visit. Between Buenos Aires and Ottawa, I should visit ->",Buenos Aires,Ottawa,"{'Tokyo': 0.07652287218696227, 'Madrid': 0.17849289187212783, 'Barcelona': 0.12102545301634861, 'Rio': 0.08260470820657888, 'B': 0.13152393877709795}",Madrid,True
30,"I'm looking for a big city to visit. Between Medellín and Viedma, I should visit ->",Medellín,Viedma,"{'Madrid': 0.00013669225127546175, 'Barcelona': 0.0002834434289097969, 'Med': 0.9985291238003045, 'S': 0.00018018454180783155, 'Bel': 0.00013113411235648033}",Med,True
31,"I'm looking for a big city to visit. Between Lima and Hobart, I should visit ->",Lima,Hobart,"{'Tokyo': 0.14958789986026327, 'Madrid': 0.08375290686864141, 'Barcelona': 0.0786580187351789, 'Rio': 0.06327532096647538, 'bigger': 0.06780790485840757}",Tokyo,False
32,"I'm looking for a big city to visit. Between Ho Chi Minh City and Tripoli, I should visit ->",Ho Chi Minh City,Tripoli,"{'Tokyo': 0.28074735685326846, 'Singapore': 0.16649616547616836, 'city': 0.042641735445986054, 'S': 0.05205760942927088, 'Chong': 0.14412038813041814}",Tokyo,False
33,"I'm looking for a big city to visit. Between San Diego and Nouadhibou, I should visit ->",San Diego,Nouadhibou,"{'Tokyo': 0.00044495206531203435, 'city': 0.00030501182854320507, 'San': 0.994765659651938, 'S': 0.0017489371822001017, 'bigger': 0.0010875334900797213}",San,True
34,"I'm looking for a big city to visit. Between Jakarta and Tauranga, I should visit ->",Jakarta,Tauranga,"{'Tokyo': 0.12419117087159601, 'Dh': 0.08996091326875202, 'Istanbul': 0.1103812496158283, 'Kuala': 0.2631879140100519, 'Jakarta': 0.23474592968009925}",Kuala,True
35,"I'm looking for a big city to visit. Between Riyadh and Conakry, I should visit ->",Riyadh,Conakry,"{'Tokyo': 0.07594077642808299, 'Dh': 0.17100173095275137, 'Tehran': 0.4591605444652904, 'Riyadh': 0.08562061460528406, 'Kuala': 0.046717731353475025}",Tehran,True
36,"I'm looking for a big city to visit. Between Ankara and Damascus, I should visit ->",Ankara,Damascus,"{'Tokyo': 0.012840278383466701, 'Tehran': 0.0367434977849206, 'Istanbul': 0.9177347109677696, 'ytes: \\xc4': 0.015289182909572676, 'Ant': 0.005437968637903802}",Istanbul,False
37,"I'm looking for a big city to visit. Between Berlin and Milan, I should visit ->",Berlin,Milan,"{'Tokyo': 0.44355226389187075, 'Madrid': 0.1455619368689154, 'Barcelona': 0.05074603967833885, 'Istanbul': 0.06160630252246318, 'B': 0.07206306071709687}",Tokyo,True
38,"I'm looking for a big city to visit. Between Johannesburg and Baltimore, I should visit ->",Johannesburg,Baltimore,"{'Baltimore': 0.07607919817770506, 'Rio': 0.08603425053319498, 'Seattle': 0.08374661726151328, 'Detroit': 0.2333983566666529, 'New': 0.1553477230739639}",Detroit,False
39,"I'm looking for a big city to visit. Between London and Yinchuan, I should visit ->",London,Yinchuan,"{'Tokyo': 0.6576039030255164, 'city': 0.046222776709964795, 'S': 0.04671953002075626, 'London': 0.07479683557826507, 'bigger': 0.030079999395406988}",Tokyo,True
40,"I'm looking for a big city to visit. Between Houston and Lhasa, I should visit ->",Houston,Lhasa,"{'Tokyo': 0.11519532651378449, 'S': 0.054884308005657606, 'Kuala': 0.08479628890963326, 'bigger': 0.05873493408211581, 'New': 0.1451544980521376}",New,False
41,"I'm looking for a big city to visit. Between Phoenix and Dodoma, I should visit ->",Phoenix,Dodoma,"{'bigger': 0.12605415030846642, 'Seattle': 0.0969257943448371, 'Detroit': 0.06474062348053887, 'Phoenix': 0.2791527656157728, 'New': 0.05773282363811497}",Phoenix,True
42,"I'm looking for a big city to visit. Between Shanghai and Manaus, I should visit ->",Shanghai,Manaus,"{'Tokyo': 0.07761083773587099, 'city': 0.05837120358817577, 'Shanghai': 0.09000147679078453, 'S': 0.33066417357021555, 'Chong': 0.31869278393569933}",S,True
43,"I'm looking for a big city to visit. Between Minneapolis and Piura, I should visit ->",Minneapolis,Piura,"{'Tokyo': 0.03551943384619414, 'bigger': 0.03604136400437274, 'Seattle': 0.5720093165844102, 'Detroit': 0.1251988757486283, 'New': 0.04578885765966779}",Seattle,False
44,"I'm looking for a big city to visit. Between Baku and Reykjavík, I should visit ->",Baku,Reykjavík,"{'Tokyo': 0.016821406621849135, 'Barcelona': 0.008956247012086159, 'Rio': 0.009273448148621006, 'Istanbul': 0.02370480283751799, 'B': 0.9141029473578245}",B,True
45,"I'm looking for a big city to visit. Between Medellín and Port Sudan, I should visit ->",Medellín,Port Sudan,"{'Madrid': 0.0004331792254553264, 'Barcelona': 0.0007943884377774853, 'Rio': 0.000529150535724717, 'Med': 0.9961499874757096, 'S': 0.00019434453897117124}",Med,True
46,"I'm looking for a big city to visit. Between Shanghai and Thiès, I should visit ->",Shanghai,Thiès,"{'Tokyo': 0.0461342340708559, 'city': 0.03225860337498925, 'Shanghai': 0.11097521398908597, 'S': 0.42829398001204316, 'Chong': 0.2918778751460618}",S,True
47,"I'm looking for a big city to visit. Between Riyadh and Bujumbura, I should visit ->",Riyadh,Bujumbura,"{'Tokyo': 0.06505645809579194, 'Dh': 0.2007365153035842, 'Tehran': 0.40058394257144503, 'Riyadh': 0.09539434299809156, 'Kuala': 0.059548021971270404}",Tehran,True
48,"I'm looking for a big city to visit. Between Lima and Perth, I should visit ->",Lima,Perth,"{'Tokyo': 0.08605737104241455, 'Singapore': 0.0681819099034811, 'Madrid': 0.09515556503331853, 'Barcelona': 0.08281243895077965, 'Rio': 0.07253185023538165}",Madrid,False
