,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like hot weather. Between Garoua and Belgrade, I should visit ->",Belgrade,Garoua,"{'Bl': 4.651108838005229e-07, 'el': 1.7204047070842e-06, 'Serbia': 3.862204204624115e-06, 'Bel': 0.9999931331039772, 'Gar': 4.3248205619570316e-07}",Bel,True
1,"I don't like hot weather. Between Port Moresby and Wellington, I should visit ->",Wellington,Port Moresby,"{'Wellington': 0.9994604468611739, 'W': 0.00021410585836327415, 'Well': 0.00010886608598386862, 'ell': 4.7943970984702186e-05, 'New': 9.897492725063832e-05}",Wellington,True
2,"I don't like hot weather. Between Panama City and Kuopio, I should visit ->",Kuopio,Panama City,"{'Pir': 5.956341587279207e-05, 'Ku': 0.9924943640261378, 'P': 1.0845069556641605e-05, 'u': 0.0039374951758976, 'K': 0.0034470644300213602}",Ku,True
3,"I don't like hot weather. Between Rabat and Saint Petersburg, I should visit ->",Saint Petersburg,Rabat,"{'Mar': 0.00027955849579102717, 'Rab': 0.9741835757204167, 'R': 0.015668646524820296, 'St': 0.00304352985697365, 'Saint': 0.005623117801240005}",Rab,False
4,"I don't like hot weather. Between Dar es Salaam and Murmansk, I should visit ->",Murmansk,Dar es Salaam,"{'ur': 0.0007096571442379295, 'Mon': 1.7475741931422325e-07, 'M': 3.7590251341724587e-07, 'cold': 1.428466728150645e-07, 'Mur': 0.9992882484154121}",Mur,True
5,"I don't like hot weather. Between Bangkok and Milwaukee, I should visit ->",Milwaukee,Bangkok,"{'Milwaukee': 0.9991720794455066, 'Warsaw': 1.8248658271651783e-05, 'M': 8.210825487260538e-05, 'W': 4.520838407237687e-05, 'Wisconsin': 0.0006428973427819046}",Milwaukee,True
6,"I don't like hot weather. Between Baghdad and Zürich, I should visit ->",Zürich,Baghdad,"{'Z': 0.998865056536054, 'Zur': 3.301445705026478e-05, 'R': 4.330342152580538e-06, 'Zurich': 0.0008862339414000122, '': 0.0002041501102815921}",Z,True
7,"I don't like hot weather. Between Caracas and Fairbanks, I should visit ->",Fairbanks,Caracas,"{'Cold': 2.354366191122665e-06, 'Alaska': 2.9639583368993746e-07, 'Car': 4.625165055319622e-06, 'air': 0.0002433640713138083, 'Fair': 0.9997475040024812}",Fair,True
8,"I don't like hot weather. Between Bahía Blanca and Fairbanks, I should visit ->",Fairbanks,Bahía Blanca,"{'Cold': 2.650566943247789e-06, 'Bah': 6.125555615003183e-05, 'air': 0.0006433512598949461, 'Fort': 3.858396018872714e-06, 'Fair': 0.9992769833026272}",Fair,True
9,"I don't like hot weather. Between Mombasa and Addis Ababa, I should visit ->",Addis Ababa,Mombasa,"{'Ab': 4.868800281434682e-06, 'Add': 0.9991425771572192, 'Ethiopia': 3.159050364813224e-05, 'M': 0.00016067835279311588, 'dd': 0.0006400866500960384}",Add,True
10,"I don't like hot weather. Between San Juan and Albuquerque, I should visit ->",Albuquerque,San Juan,"{'San': 0.067098962306826, 'uquerque': 2.490064129514903e-05, 'Albuquerque': 0.9321885293901202, 'AB': 1.9732273775364047e-05, 'New': 0.0006498317985651034}",Albuquerque,True
11,"I don't like hot weather. Between Benghazi and Toronto, I should visit ->",Toronto,Benghazi,"{'Ontario': 8.554756678951369e-05, 'Hamilton': 8.29841443785723e-05, 'Winnipeg': 3.253975452480778e-05, 'oronto': 0.0021645900257696274, 'Toronto': 0.9973453667869916}",Toronto,True
12,"I don't like hot weather. Between Djibouti and Fukuoka, I should visit ->",Fukuoka,Djibouti,"{'Ni': 0.00011216124887243672, 'Dj': 6.138297754068519e-05, 'Fuk': 0.9996581540926315, 'Fuj': 4.5261580405358966e-05, 'Hiroshima': 3.335669687214336e-05}",Fuk,True
13,"I don't like hot weather. Between Brisbane and Novosibirsk, I should visit ->",Novosibirsk,Brisbane,"{'ov': 0.021879229868806284, 'Brisbane': 0.011420657522621966, 'Sochi': 0.00041769961841499434, 'N': 0.000245439028006849, 'Nov': 0.9648658527505903}",Nov,True
14,"I don't like hot weather. Between Bangkok and Johannesburg, I should visit ->",Johannesburg,Bangkok,"{'Bl': 0.00041875045008320987, 'Joh': 8.318545875427591e-05, 'Johann': 5.9137991849047236e-05, 'Johannes': 0.9989656691892557, 'Jo': 0.00021640779291897216}",Johannes,True
15,"I don't like hot weather. Between Alexandria and Lviv, I should visit ->",Lviv,Alexandria,"{'Lv': 0.9847128747692033, 'LV': 7.938318404402712e-05, 'v': 0.01507751074482035, 'Vil': 2.2442344593307698e-05, 'L': 5.3397159836231894e-05}",Lv,True
16,"I don't like hot weather. Between Fianarantsoa and Saint Petersburg, I should visit ->",Saint Petersburg,Fianarantsoa,"{'Petersburg': 0.002083049194173879, 'Sochi': 0.00017232850326371688, 'F': 0.14357738799253614, 'St': 0.7581674101557337, 'Saint': 0.09554088575738742}",St,False
17,"I don't like hot weather. Between Belize City and Moscow, I should visit ->",Moscow,Belize City,"{'el': 8.185052712676524e-07, 'Br': 1.0060528025901407e-06, 'Mon': 1.7829504673135082e-06, 'B': 7.627114922795036e-07, 'Bel': 0.9999946837406314}",Bel,False
18,"I don't like hot weather. Between Toliara and Milwaukee, I should visit ->",Milwaukee,Toliara,"{'Milwaukee': 0.9688091375159563, 'il': 2.588636954972491e-05, 'T': 0.030781506735465293, 'W': 6.829575128392298e-05, 'Wisconsin': 0.000272197133135806}",Milwaukee,True
19,"I don't like hot weather. Between Goiânia and Oslo, I should visit ->",Oslo,Goiânia,"{'Norway': 0.0002900433973920921, 's': 0.0006074795778636342, 'Olsen': 4.0934267889633394e-05, 'Oslo': 0.981779668465986, 'O': 0.01709164211778335}",Oslo,True
20,"I don't like hot weather. Between Garissa and Lisbon, I should visit ->",Lisbon,Garissa,"{'Portugal': 0.003655421028275113, 'Lis': 0.0006007636271756824, 'L': 0.0002692912635506262, 'Lisbon': 0.9710824226487748, 'Gar': 0.023159917232731145}",Lisbon,True
21,"I don't like hot weather. Between Kabul and Ulaanbaatar, I should visit ->",Ulaanbaatar,Kabul,"{'Tehran': 0.0017941067737071903, 'T': 0.011901438545432491, 'B': 0.0010253385789591076, 'Kabul': 0.9317814290378228, 'U': 0.04769467130555356}",Kabul,False
22,"I don't like hot weather. Between Kansas City and Murmansk, I should visit ->",Murmansk,Kansas City,"{'ur': 0.0004973000458727352, 'M': 4.190707042689945e-05, 'Wichita': 1.718683283781185e-05, 'Mur': 0.9953886503722431, 'Kansas': 0.003974799390293811}",Mur,True
23,"I don't like hot weather. Between Nakhon Ratchasima and Wellington, I should visit ->",Wellington,Nakhon Ratchasima,"{'Wellington': 0.8051436341212899, 'W': 0.0005028372494313109, 'R': 3.0861009478873376e-05, 'N': 0.19411548762533354, 'New': 0.00014230100362672208}",Wellington,True
24,"I don't like hot weather. Between Garissa and Tauranga, I should visit ->",Tauranga,Garissa,"{'ar': 4.2776151697051665e-07, 'T': 0.9999788282591244, 'Tau': 1.8016061236506809e-06, '': 4.735525255787799e-07, 'Gar': 1.7723112131848738e-05}",T,True
