,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like small cities. Between Kabul and Changsha, this person should visit ->",Kabul,Changsha,"{'Tehran': 0.7178990634280553, 'Istanbul': 0.003127645793759689, 'Kabul': 0.20414784851869616, 'Chong': 0.05203387136748669, 'Kh': 0.015096761928173691}",Tehran,True
1,"Someone doesn't like small cities. Between Managua and Berlin, this person should visit ->",Berlin,Managua,"{'Berlin': 0.042854685215380085, 'Madrid': 0.03683852891957303, 'Man': 0.7187743997273719, 'Tehran': 0.13912381318344896, 'Havana': 0.02879636831399626}",Man,False
2,"Someone doesn't like small cities. Between Gabès and Kuwait City, this person should visit ->",Kuwait City,Gabès,"{'Dh': 0.011733808367491189, 'Tehran': 0.11522483181489722, 'Kuwait': 0.2646358100269016, 'Kuala': 0.09888735548933679, 'Kh': 0.47891162382638236}",Kh,True
3,"Someone doesn't like small cities. Between Buenos Aires and Cayenne, this person should visit ->",Buenos Aires,Cayenne,"{'Madrid': 0.013610809306219735, 'Barcelona': 0.010529925793627217, 'Rio': 0.030872276452181584, 'S': 0.008506361360849451, 'Buenos': 0.9265994347737916}",Buenos,True
4,"Someone doesn't like small cities. Between Canberra and Ürümqi, this person should visit ->",Ürümqi,Canberra,"{'Tehran': 0.049698903922300385, 'Istanbul': 0.04209172556541417, 'ytes: \\xc4': 0.8319854302774642, 'Chong': 0.025609044221153236, 'Ü': 0.02912581455306923}",ytes: \xc4,True
5,"Someone doesn't like small cities. Between Paris and Dublin, this person should visit ->",Paris,Dublin,"{'Tokyo': 0.0005548382101274336, 'Madrid': 0.0007156967601906882, 'S': 0.00032530934420916315, 'aris': 0.0028382347129985615, 'Paris': 0.9945526300223955}",Paris,True
6,"Someone doesn't like small cities. Between Niamey and Algiers, this person should visit ->",Algiers,Niamey,"{'Ni': 0.016827438177214767, 'Tehran': 0.9141251182795754, 'Istanbul': 0.023646362059475415, 'Kh': 0.009469290456378652, 'Al': 0.028825896841190253}",Tehran,True
7,"Someone doesn't like small cities. Between Guadalajara and Lima, this person should visit ->",Lima,Guadalajara,"{'Madrid': 0.0017498608648630674, 'Gu': 0.9092678215792508, 'S': 0.0010591908620896143, 'Lima': 0.0780582137913847, 'Chong': 0.007835543792739744}",Gu,False
8,"Someone doesn't like small cities. Between Cairo and Shanghai, this person should visit ->",Shanghai,Cairo,"{'Tehran': 0.006478751220987658, 'Shanghai': 0.11199166837085718, 'Cairo': 0.0016666419255438826, 'S': 0.06738343923060149, 'Chong': 0.8068030359151104}",Chong,True
9,"Someone doesn't like small cities. Between Honolulu and Guangzhou, this person should visit ->",Guangzhou,Honolulu,"{'Gu': 0.005462880850912374, 'Guang': 0.020208159914094557, 'Chinese': 0.0003843025595977368, 'Chong': 0.9731286408507248, 'Kuala': 0.0003259381234438017}",Chong,True
10,"Someone doesn't like small cities. Between Santiago and Johannesburg, this person should visit ->",Santiago,Johannesburg,"{'Sant': 0.005136084295776989, 'Madrid': 0.009842344835651334, 'Rio': 0.02000010010881346, 'S': 0.006760313596421949, 'Santiago': 0.9529153300240275}",Santiago,True
11,"Someone doesn't like small cities. Between Damascus and Chicago, this person should visit ->",Chicago,Damascus,"{'Tehran': 0.7131465070089155, 'Damascus': 0.21567440344797953, 'Istanbul': 0.02615371587750744, 'Chicago': 0.013582998208969965, 'Detroit': 0.015345638225792773}",Tehran,False
12,"Someone doesn't like small cities. Between Saint Petersburg and Ürümqi, this person should visit ->",Saint Petersburg,Ürümqi,"{'S': 0.1437775737942801, 'ytes: \\xc4': 0.16858343306766604, 'St': 0.21391314731701086, 'Seattle': 0.08655879369820167, 'Detroit': 0.18886084593363733}",St,True
13,"Someone doesn't like small cities. Between Kuwait City and Denpasar, this person should visit ->",Kuwait City,Denpasar,"{'Dh': 0.013014463019148785, 'Tehran': 0.11520946184753277, 'Kuwait': 0.5601112803967248, 'Kuala': 0.029459200700581223, 'Kh': 0.26692061150020197}",Kuwait,True
14,"Someone doesn't like small cities. Between Houston and Brussels, this person should visit ->",Houston,Brussels,"{'S': 0.000889175436966635, 'ouston': 0.006217794606347155, 'Kuala': 0.0027870739414350898, 'Houston': 0.9850510684617033, 'Detroit': 0.0008939367810502992}",Houston,True
