,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for restaurants further away. If I were you, between Paradise Farms Prime Beef Bistro and Fitness Avenue I would go to ->",Fitness Avenue,Paradise Farms Prime Beef Bistro,"{'1': 0.12914586202800496, '2': 0.5357063084913553, '3': 0.1428952692375271, '4': 0.08262301543828382, '6': 0.029675751929110417}",2,False
1,"You are looking for restaurants further away. If I were you, between Sky Dragon Chinese Restaurant and Capitol Trattoria Pizzeria I would go to ->",Capitol Trattoria Pizzeria,Sky Dragon Chinese Restaurant,"{'1': 0.028237398265779846, '2': 0.7778998271268421, '3': 0.11978797188129638, '4': 0.04495567835563153, '5': 0.010304773958591414}",2,False
2,"You are looking for restaurants further away. If I were you, between Freshii and Lebanese Bakery I would go to ->",Freshii,Lebanese Bakery,"{'Fresh': 0.13019132235602754, '1': 0.08531074203485656, '2': 0.23780380357613184, '3': 0.2356314139835514, '4': 0.10080314736229813}",2,True
3,"You are looking for restaurants further away. If I were you, between Thompson Rooftop and Basha Middle Eastern Grill I would go to ->",Thompson Rooftop,Basha Middle Eastern Grill,"{'1': 0.05199626967464452, '2': 0.47297038662891555, '3': 0.2368381221785325, '4': 0.1415216599162982, '6': 0.03045071512135595}",2,False
4,"You are looking for restaurants further away. If I were you, between Magic Oven and Breakfast Room I would go to ->",Magic Oven,Breakfast Room,"{'1': 0.10461451188752208, '2': 0.5443515767964047, '3': 0.14016363745065383, '4': 0.05054172733621381, 'Magic': 0.04134865439003413}",2,True
5,"You are looking for restaurants further away. If I were you, between Kim PO Vietnamese and Viccino Pizzeria I would go to ->",Viccino Pizzeria,Kim PO Vietnamese,"{'1': 0.16261689206918087, '2': 0.6436930802129942, '3': 0.1050676868339154, '4': 0.04007878247649047, '6': 0.014402895733678932}",2,False
6,"You are looking for restaurants further away. If I were you, between Thai 4 You Restaurant and Eggspectation I would go to ->",Eggspectation,Thai 4 You Restaurant,"{'1': 0.01431955060893036, '2': 0.5481075237820084, '3': 0.287633350055181, '4': 0.11907338443651226, '5': 0.013303814238762339}",2,False
7,"You are looking for restaurants further away. If I were you, between Thompson Rooftop and The Empire I would go to ->",Thompson Rooftop,The Empire,"{'2': 0.24830945705010007, '3': 0.24694093512466725, '4': 0.23731618809987517, '5': 0.043362966872946676, '6': 0.05491620505380411}",2,False
8,"You are looking for restaurants further away. If I were you, between Verona Restaurant and Freshii I would go to ->",Freshii,Verona Restaurant,"{'1': 0.05664168957355507, '2': 0.32001676305932414, '3': 0.24861944125665617, '4': 0.18071327857393854, '5': 0.06109456312427004}",2,False
9,"You are looking for restaurants further away. If I were you, between Tortería San Cosme and EJ Sushi I would go to ->",EJ Sushi,Tortería San Cosme,"{'1': 0.0395229208771036, '2': 0.5738643698748217, '3': 0.17533735814085918, '4': 0.07577542100996949, '7': 0.014221846652407702}",2,False
