,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Chicago and Mandalay, the smaller city is ->",Mandalay,Chicago,"{'Pir': 2.5028885001425766e-05, 'Mand': 2.9703460612619742e-05, 'Mon': 1.3373572497995419e-05, 'M': 6.746288251477584e-05, 'Mandal': 0.9997762912065447}",Mandal,True
1,"Between Moscow and Minneapolis, the smaller city is ->",Minneapolis,Moscow,"{'Min': 0.0001408986106003535, 'Minneapolis': 0.9959987089831853, 'MN': 0.00015075945569185313, 'M': 0.0002492156430368628, 'Minnesota': 0.0031120425496274488}",Minneapolis,True
2,"Between Manila and Hamilton, the smaller city is ->",Hamilton,Manila,"{'Hamilton': 0.9999995722265915, 'Living': 9.239916390323931e-09, 'Gu': 1.2293735662928687e-08, 'McMaster': 3.055324309522141e-08, 'amilton': 3.877127913139023e-07}",Hamilton,True
3,"Between Kabul and Yinchuan, the smaller city is ->",Yinchuan,Kabul,"{'y': 6.928412087604329e-07, 'W': 1.2995778292176995e-05, 'N': 2.0897084485913406e-06, '': 2.189227097377419e-06, 'Y': 0.9999787090486555}",Y,True
4,"Between Riyadh and Goiânia, the smaller city is ->",Goiânia,Riyadh,"{'GO': 4.766767799114966e-05, 'Go': 0.9997453588065736, 'Goes': 5.082765778212572e-06, 'G': 9.804656883185087e-05, 'o': 8.63558507018366e-05}",Go,True
5,"Between Lahore and Belgrade, the smaller city is ->",Belgrade,Lahore,"{'Bl': 4.6478356096948237e-07, 'el': 1.8084073810466096e-06, 'Serbia': 3.297856298786152e-07, 'Lah': 4.701622011287626e-06, 'Bel': 0.9999912267169855}",Bel,True
6,"Between Jakarta and Ushuaia, the smaller city is ->",Ushuaia,Jakarta,"{'N': 8.412869787871751e-07, 'O': 1.7844327149404358e-06, 'U': 0.9999483100659706, '': 3.8033888234752195e-05, '0': 2.143273981789027e-06}",U,True
7,"Between Bogotá and Piura, the smaller city is ->",Piura,Bogotá,"{'Pir': 6.700498757004314e-05, 'Pi': 0.9989485032105825, 'PI': 6.60552529669554e-05, 'P': 8.112405757148332e-05, 'i': 0.000817804129928014}",Pi,True
8,"Between Shanghai and Tauranga, the smaller city is ->",Tauranga,Shanghai,"{'Tai': 4.6213401738691316e-08, 'T': 0.9999996923682474, 'W': 7.038645449757866e-08, '': 8.531888601331964e-08, 'New': 4.751929489834005e-08}",T,True
9,"Between Bangkok and Minneapolis, the smaller city is ->",Minneapolis,Bangkok,"{'Minneapolis': 0.9967804285713294, 'Winnipeg': 0.0004187073210080367, 'M': 0.0008356870141225617, 'Timberwolves': 0.0002751332588585752, 'Minnesota': 0.0010778327143831235}",Minneapolis,True
10,"Between Berlin and Garoua, the smaller city is ->",Garoua,Berlin,"{'ar': 0.0005965733838119045, 'G': 2.0267772398744107e-05, 'gar': 1.901961011010674e-05, 'Bat': 4.980919726218899e-06, 'Gar': 0.999348269868402}",Gar,True
11,"Between Johannesburg and Suwałki, the smaller city is ->",Suwałki,Johannesburg,"{'SU': 4.6059205774267435e-06, 'Su': 0.9997165086712628, 'Jos': 2.537576668158988e-06, 'u': 0.00025345810876719867}",Su,True
12,"Between Ankara and Toliara, the smaller city is ->",Toliara,Ankara,"{'Tam': 6.225213531132138e-08, 'T': 0.9999999317236823, 'R': 3.738901444816328e-09, 'Ant': 5.081979428351805e-09, '': 5.054610231458478e-08}",T,True
13,"Between Johannesburg and Kampala, the smaller city is ->",Kampala,Johannesburg,"{'Kum': 0.0010115715169502163, 'Johannes': 0.00023359259663490134, 'amp': 0.00033048211999494253, 'Kamp': 0.9789952992954278, 'K': 0.01898788376138452}",Kamp,True
14,"Between Baghdad and Gabès, the smaller city is ->",Gabès,Baghdad,"{'Gab': 0.9951328849772131, 'B': 1.2752719691114137e-05, 'G': 0.004323321527717776, 'Libre': 1.2852926877386703e-05, 'ab': 0.00045318582811847076}",Gab,True
15,"Between Nairobi and Lake Havasu City, the smaller city is ->",Lake Havasu City,Nairobi,"{'lake': 5.13985292359048e-05, 'Hav': 0.06196457055090544, 'Lakes': 4.336356437460913e-05, 'ake': 0.0023514338216771673, 'Lake': 0.9354831267893765}",Lake,True
16,"Between Saint Petersburg and Algiers, the smaller city is ->",Algiers,Saint Petersburg,"{'l': 0.0006067597161824959, 'Alger': 0.0009556001361850688, 'St': 0.07367885701361068, 'Saint': 0.03063097583029418, 'Al': 0.8935423657552668}",Al,True
17,"Between Cairo and Makurdi, the smaller city is ->",Makurdi,Cairo,"{'Pir': 5.224795461489953e-07, 'Dak': 9.196561378285932e-07, 'Mar': 1.3152102752301797e-06, 'Mak': 0.999982166037027, 'M': 1.2394372735626185e-05}",Mak,True
18,"Between Bogotá and Denver, the smaller city is ->",Denver,Bogotá,"{'Denver': 0.9913446099431548, 'Broncos': 0.0015509804494389977, 'Edmonton': 0.0012953992891046988, 'Nuggets': 0.0030410680288033994, 'enver': 0.000561412066881769}",Denver,True
19,"Between Toronto and Sapporo, the smaller city is ->",Sapporo,Toronto,"{'Sapp': 0.999909685433606, 'S': 8.864185507372784e-06, 'Sap': 5.5434633838618884e-05, 'Sof': 9.328633657227461e-06, 'SAP': 6.279086813001148e-06}",Sapp,True
20,"Between Toronto and Tampa, the smaller city is ->",Tampa,Toronto,"{'Tampa': 0.9991332766218786, 'Winnipeg': 3.1240444641859016e-05, 'T': 0.0007233140929933623, 'Buccaneers': 6.395991493316195e-05, 'Bucs': 1.1917567332485301e-05}",Tampa,True
21,"Between Buenos Aires and Toronto, the smaller city is ->",Toronto,Buenos Aires,"{'Hamilton': 0.00042206450506720495, 'Winnipeg': 0.0016950071836790046, 'T': 0.0006233412726457659, 'oronto': 0.000998977102498819, 'Toronto': 0.9957245873109579}",Toronto,True
22,"Between Riyadh and Omaha, the smaller city is ->",Omaha,Riyadh,"{'Om': 1.2262999499478134e-05, 'Nebraska': 0.00017406112975800844, 'Omaha': 0.9980910857987034, 'Ou': 1.4998655413198353e-05, 'O': 0.0016954009795853962}",Omaha,True
23,"Between Alexandria and Makassar, the smaller city is ->",Makassar,Alexandria,"{'Mak': 0.9862789200572566, 'Alexand': 6.365103323634482e-05, 'Alexandria': 0.013491780915751414, 'M': 3.974172160749608e-05, 'Ant': 1.9694483240337487e-05}",Mak,True
24,"Between Douala and Boise, the smaller city is ->",Boise,Douala,"{'o': 2.818736263389412e-07, 'Idaho': 5.277283928922626e-06, 'B': 3.077156812913869e-06, 'Boise': 0.9999882465250727, 'Dou': 1.6264293968475993e-06}",Boise,True
25,"Between Mexico City and Tamanrasset, the smaller city is ->",Tamanrasset,Mexico City,"{'Tam': 2.863551271748652e-06, 'Tunis': 2.6852231568993333e-09, 'T': 0.9999971861801588, 'N': 2.264809924671717e-09, '': 1.492233131530844e-08}",T,True
26,"Between Lahore and Valencia, the smaller city is ->",Valencia,Lahore,"{'Lah': 0.00063000046530475, 'Val': 0.00010512641285492506, 'Valencia': 0.9973907847349441, 'Valiant': 0.0010590129329712474, 'al': 0.00011446745627980265}",Valencia,True
27,"Between Ho Chi Minh City and Napier, the smaller city is ->",Napier,Ho Chi Minh City,"{'Nap': 0.9975660847865487, 'nap': 8.742152711215262e-05, 'N': 0.00017820054225051724, 'ap': 0.0004705125149671659, 'New': 0.0015587292079257038}",Nap,True
28,"Between Moscow and Houston, the smaller city is ->",Houston,Moscow,"{'Hamilton': 2.311515719464873e-05, 'Astros': 2.477198946913914e-05, 'HOU': 0.00010636340267988264, 'ouston': 0.00011629087062687155, 'Houston': 0.9996363391006605}",Houston,True
29,"Between Perth and Palmerston North, the smaller city is ->",Palmerston North,Perth,"{'Pir': 7.291903025414999e-06, 'al': 1.0352112011375701e-05, 'Palmer': 0.9999406801934893, 'Pal': 6.931238811916137e-06, 'New': 5.739307497189155e-06}",Palmer,True
30,"Between Ankara and Tauranga, the smaller city is ->",Tauranga,Ankara,"{'Tam': 5.363060194390115e-08, 'T': 0.9999996923682474, 'W': 1.1842878825566557e-07, 'N': 3.543339854017384e-08, '': 9.399596322626319e-08}",T,True
31,"Between Guangzhou and Piura, the smaller city is ->",Piura,Guangzhou,"{'Pir': 0.00015900784775696724, 'Pi': 0.9988230348674043, 'PI': 8.472718936220597e-05, 'P': 5.145298910977927e-05, 'i': 0.0008576504006156469}",Pi,True
32,"Between Nairobi and Port-Gentil, the smaller city is ->",Port-Gentil,Nairobi,"{'ort': 0.0001802773607456876, 'N': 4.891145183727786e-05, 'G': 0.00011399887249653058, 'Port': 0.9996065379065198, 'Fort': 9.715378650814196e-06}",Port,True
33,"Between Nairobi and Río Gallegos, the smaller city is ->",Río Gallegos,Nairobi,"{'Rio': 3.467679544001373e-07, 'C': 3.652722028765824e-07, 'R': 0.9987003082318727, 'N': 0.0012967094703655979, 'Gal': 1.4642461812065986e-06}",R,True
34,"Between Alexandria and Bangui, the smaller city is ->",Bangui,Alexandria,"{'Alexand': 3.0550734990968263e-07, 'Alexandria': 7.303572105295713e-06, 'B': 0.9999913468584386, 'Ant': 1.8710207750751138e-07, 'Bat': 3.7546596837844315e-07}",B,True
35,"Between Melbourne and Ségou, the smaller city is ->",Ségou,Melbourne,"{'Se': 5.577332697776587e-07, 'T': 1.51739591370266e-07, 'S': 0.9999964709302271, 'Seg': 6.823814667924005e-07, 'M': 2.29173380448588e-07}",S,True
36,"Between Denver and Garissa, the smaller city is ->",Garissa,Denver,"{'ar': 0.0010953280188274158, 'N': 3.1891727526059874e-06, 'G': 8.118428150937295e-06, 'gar': 1.2827836779277223e-05, 'Gar': 0.9988601670036831}",Gar,True
37,"Between Toronto and Villahermosa, the smaller city is ->",Villahermosa,Toronto,"{'Village': 1.4852787498414527e-05, 'Vit': 4.0375515851311576e-05, 'Villa': 0.9997366559811249, 'Vil': 1.692697592571518e-05, 'Vill': 0.00014270043287846422}",Villa,True
38,"Between Ürümqi and San Juan, the smaller city is ->",San Juan,Ürümqi,"{'an': 3.5061397675800837e-07, 'Juan': 1.8419569347850263e-06, 'San': 0.9999965910714104, 'SAN': 1.0909246626224334e-07, 'St': 1.02986482726493e-06}",San,True
39,"Between Santiago and Sacramento, the smaller city is ->",Sacramento,Santiago,"{'Sacrament': 0.00019391066396250132, 'Sacramento': 0.9913864520124318, 'Salvador': 0.0022474918901772083, 'Santiago': 0.005154514738941846, 'Sac': 0.0007352502797848607}",Sacramento,True
40,"Between Surabaya and Zagreb, the smaller city is ->",Zagreb,Surabaya,"{'Z': 0.999995041369894, 'zinc': 7.880290305198117e-08, 'Zak': 2.693522053983104e-07, 'R': 2.1302101801039762e-07, '': 3.648589147592178e-06}",Z,True
41,"Between Hanoi and Pontianak, the smaller city is ->",Pontianak,Hanoi,"{'Pir': 2.3028591623418266e-05, 'Pont': 0.9973483474578088, 'P': 1.6947656386172302e-05, 'ont': 0.002492788538849487, '0': 1.0179893587406688e-05}",Pont,True
42,"Between Saint Petersburg and Reykjavík, the smaller city is ->",Reykjavík,Saint Petersburg,"{'Iceland': 9.433738494164846e-05, 'Reyn': 6.782891988370242e-06, 'Rey': 0.9998449564704905, 'R': 3.891452798519792e-06, 'Icelandic': 1.2685448611854284e-05}",Rey,True
43,"Between Denver and Port-Gentil, the smaller city is ->",Port-Gentil,Denver,"{'ort': 0.00018832977678343458, 'Georgetown': 6.309532329036138e-06, 'G': 0.00036210620687906537, 'Port': 0.9993781346384633, 'Fort': 1.548671497414834e-05}",Port,True
44,"Between Brasília and Suwałki, the smaller city is ->",Suwałki,Brasília,"{'SU': 4.710064291637097e-06, 'Su': 0.9998142002529113, 'W': 6.320767565099863e-07, 'Bras': 1.2801022594940899e-05, 'u': 0.00016025279833613233}",Su,True
45,"Between Riyadh and Milan, the smaller city is ->",Milan,Riyadh,"{'Med': 0.0005600782790422134, 'Milan': 0.9979925595092678, 'Monte': 0.00016442385211639193, 'Tunis': 0.0001717272664182077, 'Mon': 0.00030743865086637115}",Milan,True
46,"Between Moscow and Nur-Sultan, the smaller city is ->",Nur-Sultan,Moscow,"{'Ni': 0.00012455589337912064, 'Sochi': 2.8640553011257634e-06, 'Nun': 9.92632829589898e-07, 'N': 0.003074315512694131, 'Nur': 0.996789788383498}",Nur,True
47,"Between Berlin and Asmara, the smaller city is ->",Asmara,Berlin,"{'As': 0.9999980234482534, 's': 3.727477200076305e-07, 'Ass': 1.427903890333359e-06, 'AS': 2.2112163394157506e-08, 'Ash': 2.117049027759147e-07}",As,True
48,"Between Monterrey and Palembang, the smaller city is ->",Palembang,Monterrey,"{'Pir': 3.260255472038836e-06, 'al': 7.250833769690635e-05, 'Mon': 0.8920481839320475, 'Pal': 0.10786019296959246, 'PAL': 6.865642036200639e-06}",Mon,False
49,"Between Denver and Bangui, the smaller city is ->",Bangui,Denver,"{'Br': 4.633399092308383e-08, 'C': 3.132435271203375e-08, 'B': 0.9999996923682474, 'Bam': 3.2940563680589365e-08, 'Bat': 1.5280411957623003e-07}",B,True
50,"Between Riyadh and Ulaanbaatar, the smaller city is ->",Ulaanbaatar,Riyadh,"{'u': 7.5808896281913615e-06, 'W': 7.857979858620288e-06, 'U': 0.9997591854504796, '': 0.00019461467109913402, 'Bat': 7.277573949430287e-06}",U,True
51,"Between Yaoundé and Bata, the smaller city is ->",Bata,Yaoundé,"{'Ya': 2.8856248577130433e-05, '': 2.46708611560448e-08, 'B': 0.9999145744329716, 'Bam': 3.481936985445574e-08, 'Bat': 5.629431527170758e-05}",B,True
52,"Between Moscow and Gabès, the smaller city is ->",Gabès,Moscow,"{'Gab': 0.9957285775856644, 'Gabriel': 1.0212705250621921e-05, 'G': 0.0037067863154528003, 'Libre': 2.4752402573107706e-05, 'ab': 0.0004700927698866624}",Gab,True
53,"Between Algiers and Lake Havasu City, the smaller city is ->",Lake Havasu City,Algiers,"{'lake': 7.584558961530267e-05, 'Hav': 0.072518759417896, 'Lakes': 6.564533620686188e-05, 'ake': 0.00225737307037809, 'Lake': 0.9248779371638871}",Lake,True
54,"Between Santiago and Copenhagen, the smaller city is ->",Copenhagen,Santiago,"{'Denmark': 0.11903639408271686, 'Danish': 0.0028219261366730455, 'Copenhagen': 0.8705572544709603, 'Conce': 0.0008824759691080881, 'Christensen': 0.004526286648671491}",Copenhagen,True
55,"Between Johannesburg and Saskatoon, the smaller city is ->",Saskatoon,Johannesburg,"{'Dak': 7.085742389716366e-07, 'Winnipeg': 6.2705844120470615e-06, 'Sask': 0.9978429503824334, 'S': 1.2338440723339543e-06, 'Saskatchewan': 0.002140690154153633}",Sask,True
56,"Between Dar es Salaam and Willemstad, the smaller city is ->",Willemstad,Dar es Salaam,"{'il': 0.0032152440962214955, 'Vil': 0.00018564654273558283, 'W': 0.3171525152956168, 'Wil': 0.6777667478183522, 'Dar': 0.0005241246606152031}",Wil,True
57,"Between Guangzhou and Río Gallegos, the smaller city is ->",Río Gallegos,Guangzhou,"{'Rio': 8.330309838275946e-07, 'Gu': 7.143812882402724e-07, 'R': 0.9999913468584386, 'G': 3.081750103265835e-07, 'Gal': 5.3655750616123896e-06}",R,True
58,"Between Moscow and Río Gallegos, the smaller city is ->",Río Gallegos,Moscow,"{'Rio': 2.736089335136213e-07, 'W': 8.864953941357855e-08, 'R': 0.999995638343512, 'N': 8.310159014077801e-08, 'Gal': 3.3542545600249038e-06}",R,True
59,"Between Rome and Chihuahua, the smaller city is ->",Chihuahua,Rome,"{'h': 2.3769846816494912e-08, 'Chi': 7.3091562055837285e-09, 'C': 1.1875338288248636e-08, 'CH': 2.6650473823319366e-09, 'Ch': 1.0}",Ch,True
60,"Between Jakarta and Niamey, the smaller city is ->",Niamey,Jakarta,"{'Ni': 0.99997847063676, 'NI': 3.6777080437471545e-08, 'i': 1.1243967290218044e-07, 'N': 2.1312602362489805e-05, 'Nic': 1.5144095862510088e-07}",Ni,True
61,"Between Ankara and San José, the smaller city is ->",San José,Ankara,"{'an': 5.410901154365819e-07, 'San': 0.999998499344226, 'SAN': 2.601779544138203e-07, 'St': 6.65458207320856e-07, 'san': 2.68137773848496e-08}",San,True
62,"Between San Diego and Port Moresby, the smaller city is ->",Port Moresby,San Diego,"{'ort': 0.0001586696801562363, 'San': 2.6423468086951538e-05, 'M': 0.017974568162553484, 'P': 2.4072655215935537e-05, 'Port': 0.9817809830698421}",Port,True
63,"Between Mumbai and Albuquerque, the smaller city is ->",Albuquerque,Mumbai,"{'Albuquerque': 0.999708281858014, 'N': 5.859021194394442e-06, 'ABE': 9.991288446465738e-06, 'Asheville': 7.28024530923426e-06, 'New': 0.00023577278314407772}",Albuquerque,True
64,"Between Jakarta and Ankara, the smaller city is ->",Ankara,Jakarta,"{'Dak': 0.017275862205164035, 'Istanbul': 0.01859222121474457, 'Ankara': 0.7882610833119477, 'Ant': 0.026968590633994306, 'Jakarta': 0.03999754507006462}",Ankara,True
65,"Between Shanghai and Ulaanbaatar, the smaller city is ->",Ulaanbaatar,Shanghai,"{'B': 2.43229064347259e-05, 'W': 2.6593865209444042e-05, 'Mongolia': 9.645630915579858e-06, 'U': 0.9997696752288237, '': 0.00012497747961166182}",U,True
66,"Between Lahore and Managua, the smaller city is ->",Managua,Lahore,"{'Man': 0.9999993338092819, 'Mon': 8.471433544192473e-08, 'Lah': 8.832717668172922e-08, 'M': 1.246399071212945e-07, 'Nic': 1.815278048879002e-07}",Man,True
67,"Between Beijing and Lisbon, the smaller city is ->",Lisbon,Beijing,"{'Portug': 0.0003682655414433227, 'Portugal': 0.07953166776262774, 'Portuguese': 0.00025881733897416124, 'Lisbon': 0.918906484218029, 'Lod': 0.00014086663024565497}",Lisbon,True
68,"Between Phoenix and Hobart, the smaller city is ->",Hobart,Phoenix,"{'Hob': 0.9999377020265994, 'hob': 2.1818834353481118e-05, 'Hobbit': 7.915473842739797e-06, 'Tasmania': 1.777632574937568e-05, '0': 6.233017453281853e-06}",Hob,True
69,"Between Surabaya and Suwałki, the smaller city is ->",Suwałki,Surabaya,"{'SU': 2.086820379367138e-06, 'ur': 6.233809676473874e-07, 'Su': 0.9987652770983653, 'Sur': 0.0011032262912077312, 'u': 0.00012662988723625767}",Su,False
70,"Between Lima and Damascus, the smaller city is ->",Damascus,Lima,"{'Damascus': 0.3022300489810125, 'Edinburgh': 0.0016595641024196718, 'Peru': 0.0016517284399376166, 'Lima': 0.6845372407246298, 'Conce': 0.0026320020148469544}",Lima,False
71,"Between Toronto and San José, the smaller city is ->",San José,Toronto,"{'an': 4.1318557944806525e-07, 'San': 0.9999989771165232, 'SJ': 4.862684948742678e-08, 'SAN': 2.13899833341602e-07, 'St': 3.2761784976161915e-07}",San,True
72,"Between Manila and La Paz, the smaller city is ->",La Paz,Manila,"{'a': 0.00030274611741692845, 'B': 5.961627760488379e-06, 'P': 5.223389209041295e-05, 'La': 0.9996244188782545, 'la': 2.1432332599702315e-06}",La,True
73,"Between Toronto and Tamanrasset, the smaller city is ->",Tamanrasset,Toronto,"{'Tam': 3.56914316779682e-06, 'Tunis': 1.0032299490326564e-08, 'T': 0.9999964709302271, 'N': 2.5800888516031666e-09, '': 1.9815130983606903e-08}",T,False
74,"Between Shanghai and Ushuaia, the smaller city is ->",Ushuaia,Shanghai,"{'Ant': 1.5498025844743016e-06, 'O': 2.725428212480308e-06, 'U': 0.9999077792025992, '': 7.187619017696482e-05, '0': 2.498417566256045e-06}",U,True
75,"Between Toronto and Phnom Penh, the smaller city is ->",Phnom Penh,Toronto,"{'Ph': 0.9962898800657276, 'h': 0.0035523568300052356, 'P': 3.642045465791033e-05, 'Kh': 1.1655108222731676e-05, 'PH': 3.519906634506233e-05}",Ph,True
76,"Between Beijing and Johannesburg, the smaller city is ->",Johannesburg,Beijing,"{'Bl': 3.448645223120627e-05, 'Jos': 0.0003787119758408615, 'Johann': 3.077419634887375e-05, 'Johannes': 0.999170768302789, 'Lod': 7.886902442785712e-05}",Johannes,True
77,"Between Perth and Nouadhibou, the smaller city is ->",Nouadhibou,Perth,"{'Ni': 0.00017714233429240382, 'N': 0.0016924992437536705, 'Ou': 0.0009626949180937392, 'Nou': 0.9971346031086773, 'Jou': 5.05495301647959e-06}",Nou,True
78,"Between Nairobi and La Serena, the smaller city is ->",La Serena,Nairobi,"{'a': 0.00013384555464734043, 'Sere': 5.8208276816285554e-05, 'N': 7.571396722034939e-06, 'La': 0.9997823713845435, 'la': 4.884234446006907e-06}",La,True
79,"Between Lagos and Parakou, the smaller city is ->",Parakou,Lagos,"{'ar': 9.55411990347588e-05, 'Pir': 4.5433220110422744e-05, 'Mar': 3.462180057126706e-05, 'Par': 0.9995902044091595, 'P': 0.00012232599337955863}",Par,True
80,"Between Lagos and Fairbanks, the smaller city is ->",Fairbanks,Lagos,"{'air': 0.00021478951701260182, 'Fare': 8.611431441284875e-06, 'Fort': 5.163654462397045e-06, '0': 1.1949632896700538e-05, 'Fair': 0.9996974343122327}",Fair,True
81,"Between Moscow and Ushuaia, the smaller city is ->",Ushuaia,Moscow,"{'u': 7.489886553043812e-07, 'O': 1.0170980851227466e-06, 'U': 0.999949383821042, '': 4.53498358969288e-05, '0': 8.26205752010994e-07}",U,True
82,"Between Beijing and Murmansk, the smaller city is ->",Murmansk,Beijing,"{'Pir': 4.879605932024915e-05, 'Mar': 1.2207915562709899e-05, 'ur': 0.0005043046541464646, 'M': 7.06855069295642e-05, 'Mur': 0.9992962344192461}",Mur,True
83,"Between Kunming and Asmara, the smaller city is ->",Asmara,Kunming,"{'As': 0.9999223223770628, 's': 2.755355992011807e-07, 'Ass': 5.184884942376969e-07, 'Kun': 7.663574079683508e-05, 'Ash': 2.2447511101179063e-07}",As,True
