,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a city with warm weather. Between Cotonou and Canberra, I should visit ->",Cotonou,Canberra,"{'Cou': 1.9979182109986366e-08, 'C': 0.9999996923682474, '': 1.8762754177173804e-07, 'B': 3.009667910547513e-08, 'Libre': 4.870525047699183e-08}",C,False
1,"I'm looking for a city with warm weather. Between Mahajanga and Ljubljana, I should visit ->",Mahajanga,Ljubljana,"{'Maj': 7.134410010092453e-06, 'ah': 0.0008113094586475056, 'Madagascar': 6.324484681186631e-06, 'Hon': 1.3631162855649224e-05, 'Mah': 0.9991369717233083}",Mah,True
2,"I'm looking for a city with warm weather. Between Lake Havasu City and Skopje, I should visit ->",Lake Havasu City,Skopje,"{'lake': 3.4202220127291214e-05, 'Hav': 0.015098093521298143, 'Lakes': 4.933094431934826e-05, 'ake': 0.0021203527767807203, 'Lake': 0.9826324314914829}",Lake,True
3,"I'm looking for a city with warm weather. Between La Paz and Sapporo, I should visit ->",La Paz,Sapporo,"{'a': 0.0008096512164553415, 'Salvador': 6.510839901137007e-05, 'Sapp': 3.623931422933986e-05, 'Bolivia': 1.5543173794459015e-05, 'La': 0.9990246753785468}",La,True
4,"I'm looking for a city with warm weather. Between Nur-Sultan and Sacramento, I should visit ->",Sacramento,Nur-Sultan,"{'Ni': 0.00027968348637195977, 'Sacramento': 0.028363533232820214, 'Salvador': 0.0011334252912290467, 'N': 0.00045221899194885736, 'Nur': 0.9685788973542822}",Nur,False
5,"I'm looking for a city with warm weather. Between Luanda and Lyon, I should visit ->",Luanda,Lyon,"{'u': 0.0005060213985229194, 'Lou': 3.1339542879047907e-06, 'Angola': 2.6328514620627602e-05, 'LU': 0.00026681367222891063, 'Lu': 0.9991879353031499}",Lu,True
6,"I'm looking for a city with warm weather. Between Novosibirsk and Wellington, I should visit ->",Wellington,Novosibirsk,"{'Hamilton': 9.381997101450813e-07, 'Wellington': 0.999992775475097, 'Well': 1.1436724796601321e-06, 'ell': 8.197290320646192e-07, 'New': 4.172150281591638e-06}",Wellington,True
7,"I'm looking for a city with warm weather. Between Copenhagen and Muscat, I should visit ->",Muscat,Copenhagen,"{'us': 0.0030060450532175915, 'mus': 1.771310304900482e-06, 'Mus': 0.9968376492977039, 'MUS': 0.0001001705825243618, 'Oman': 4.471457709495834e-05}",Mus,True
8,"I'm looking for a city with warm weather. Between Cotonou and Calgary, I should visit ->",Cotonou,Calgary,"{'Cou': 2.0279506354779275e-08, 'C': 0.9999996923682474, '': 1.9643328103702234e-07, 'B': 3.171947472685129e-08, 'Libre': 3.951118660280637e-08}",C,False
9,"I'm looking for a city with warm weather. Between Douala and Campos do Jordão, I should visit ->",Douala,Campos do Jordão,"{'dou': 4.932917302463797e-06, 'D': 1.996234118742874e-05, 'ou': 0.00013222784829101955, 'Ou': 2.408031153758483e-05, 'Dou': 0.9997965570573226}",Dou,True
10,"I'm looking for a city with warm weather. Between Irkutsk and Ségou, I should visit ->",Ségou,Irkutsk,"{'Sere': 1.6843483345961335e-08, 'S': 0.9999998115819777, 'M': 1.924400987427608e-08, 'B': 2.9225038857243272e-08, '': 8.61394794851559e-08}",S,True
11,"I'm looking for a city with warm weather. Between Irkutsk and Gabès, I should visit ->",Gabès,Irkutsk,"{'Gab': 0.9988754863398801, 'Gabriel': 2.3203672370197023e-05, 'G': 0.00018135429663778142, 'Libre': 2.498529765227812e-05, 'ab': 0.0008578850858687339}",Gab,True
12,"I'm looking for a city with warm weather. Between Surabaya and Ürümqi, I should visit ->",Surabaya,Ürümqi,"{'ur': 0.003411704019629856, 'SUR': 0.0004368367510734444, 'Sur': 0.9959934055033798, 'warm': 2.7659923429693115e-05}",Sur,True
