,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a big city to visit. Between Baghdad and Ségou, I should visit ->",Baghdad,Ségou,"{'Tokyo': 1.9560760768869057e-05, 'Baghdad': 0.9996067762027507, 'Tehran': 0.0002822057903929621, 'Saddam': 1.613446323717616e-05, 'Iraq': 3.715779439719106e-05}",Baghdad,True
1,"I'm looking for a big city to visit. Between Hanoi and Milwaukee, I should visit ->",Hanoi,Milwaukee,"{'Vietnam': 0.0017829856292582347, 'Singapore': 0.001966392761994805, 'ytes: \\xc4': 0.0014100254854051235, 'H': 0.9888955704362739, 'Chong': 0.002448167728830725}",H,True
2,"I'm looking for a big city to visit. Between Mumbai and Damascus, I should visit ->",Mumbai,Damascus,"{'Tokyo': 0.00013792024150487448, 'mbai': 6.523841992013043e-05, 'Mumbai': 0.9936028280906088, '': 6.322018025165443e-05, 'Bombay': 0.00595224571227006}",Mumbai,True
3,"I'm looking for a big city to visit. Between Los Angeles and Kathmandu, I should visit ->",Los Angeles,Kathmandu,"{'Tokyo': 5.559841262607928e-06, 'os': 0.0004037022325097144, 'L': 0.0001379475524163836, 'Los': 0.9970926410775681, 'LA': 0.0023563746648697682}",Los,True
4,"I'm looking for a big city to visit. Between Toronto and Indianapolis, I should visit ->",Toronto,Indianapolis,"{'Tokyo': 0.0011371039995670667, 'S': 8.653107958440652e-06, 'oronto': 0.0009968612152989006, 'Toronto': 0.9978040276829075, 'Detroit': 1.7436183490248085e-05}",Toronto,True
5,"I'm looking for a big city to visit. Between Riyadh and Kampala, I should visit ->",Riyadh,Kampala,"{'Dh': 0.00016711714907676937, 'Tehran': 0.00021199730407510102, 'Saudis': 0.000287883118138633, 'Riyadh': 0.9906142160322222, 'Saudi': 0.008322317643664727}",Riyadh,True
6,"I'm looking for a big city to visit. Between Tampa and Fairbanks, I should visit ->",Tampa,Fairbanks,"{'Tampa': 0.998158201695973, 'Kuala': 0.0001650279012292696, 'Fort': 0.0003147606654969818, 'Seattle': 0.0006306150153028627, 'Detroit': 0.0004230249911205292}",Tampa,True
7,"I'm looking for a big city to visit. Between Lagos and Omaha, I should visit ->",Lagos,Omaha,"{'Tokyo': 0.002814904340579598, 'Rio': 0.0002984655625884318, 'Lag': 0.994417506949584, 'Istanbul': 0.0017140144984557452, 'S': 0.00016372113070990124}",Lag,True
8,"I'm looking for a big city to visit. Between Santiago and Wau, I should visit ->",Santiago,Wau,"{'Sant': 2.4619542988301873e-05, 'Madrid': 1.4073246138216622e-05, 'S': 0.0002886360517464258, 'Santiago': 0.9996099935922788, 'Seattle': 2.5264735204491112e-05}",Santiago,True
9,"I'm looking for a big city to visit. Between Guangzhou and Sapporo, I should visit ->",Guangzhou,Sapporo,"{'Gu': 0.003481652296610568, 'S': 1.2858634843995078e-05, 'Guang': 0.9894956154753658, 'Chong': 0.006935856700279351, 'Kuala': 1.561116803754827e-05}",Guang,True
10,"I'm looking for a big city to visit. Between Addis Ababa and La Ceiba, I should visit ->",Addis Ababa,La Ceiba,"{'Dh': 0.0036657621926973268, 'Tehran': 0.017385478329165625, 'Add': 0.9537917144879485, 'dd': 0.0034254603758309588, 'Acc': 0.0065471175165829594}",Add,True
11,"I'm looking for a big city to visit. Between Karachi and Damascus, I should visit ->",Karachi,Damascus,"{'Tokyo': 0.02538766888013186, 'Tehran': 0.7575239688901543, 'Damascus': 0.05343139416784453, 'Istanbul': 0.019263476216181623, 'Karachi': 0.1276246174442922}",Tehran,True
12,"I'm looking for a big city to visit. Between Nairobi and Sapporo, I should visit ->",Nairobi,Sapporo,"{'Tokyo': 0.9415000601476635, 'S': 9.923219995726956e-05, 'N': 0.05748647938265898, 'Chong': 6.935758808206111e-05, 'Kuala': 0.0005951089856692833}",Tokyo,True
13,"I'm looking for a big city to visit. Between Dar es Salaam and Bucharest, I should visit ->",Dar es Salaam,Bucharest,"{'Tokyo': 0.002762548653960407, 'Tehran': 0.013804785107520815, 'Buch': 0.9571992418480482, 'Istanbul': 0.02286951449672152, 'Bel': 0.0014078682472794951}",Buch,False
14,"I'm looking for a big city to visit. Between Lahore and Rome, I should visit ->",Lahore,Rome,"{'Rome': 0.9994082921281894, 'Tokyo': 7.542611425565721e-05, 'Istanbul': 0.0003031520691411782, 'Roma': 5.848945946770889e-05, 'R': 7.357086254121505e-05}",Rome,False
15,"I'm looking for a big city to visit. Between Karachi and Kathmandu, I should visit ->",Karachi,Kathmandu,"{'Tokyo': 0.0001450826467983153, 'Dh': 0.00016314666115716976, 'Tehran': 0.00013856292546896753, 'Karachi': 0.9993079180992332, 'Kuala': 4.949558917181758e-05}",Karachi,True
16,"I'm looking for a big city to visit. Between Surabaya and Calgary, I should visit ->",Surabaya,Calgary,"{'Tokyo': 0.02777830385098455, 'Singapore': 0.2635424034601898, 'Sur': 0.174916021041609, 'Kuala': 0.4168591641834537, 'Jakarta': 0.061277043528852014}",Kuala,True
17,"I'm looking for a big city to visit. Between Buenos Aires and Port-Gentil, I should visit ->",Buenos Aires,Port-Gentil,"{'Tokyo': 0.00023449366156894107, 'Madrid': 0.00017888310681437932, 'Barcelona': 0.00021442983128292593, 'S': 0.00033388397686226706, 'Buenos': 0.9987203938949685}",Buenos,True
18,"I'm looking for a big city to visit. Between Kano and Christchurch, I should visit ->",Kano,Christchurch,"{'Tokyo': 0.01871579236543913, 'S': 0.00015848382822160044, 'Kuala': 0.002538004846797698, 'K': 0.977972186023996, 'Kh': 9.13007094369303e-05}",K,True
19,"I'm looking for a big city to visit. Between Lagos and Alexandria, I should visit ->",Lagos,Alexandria,"{'Tokyo': 0.04412364378287047, 'Rio': 0.0006071328060374523, 'Lag': 0.9353354256649671, 'Istanbul': 0.016688328435149353, 'S': 0.0007363519946217663}",Lag,True
20,"I'm looking for a big city to visit. Between Brasília and Ushuaia, I should visit ->",Brasília,Ushuaia,"{'Rio': 0.579712116225568, 'S': 0.26895634467603907, 'Bel': 0.011541985257336209, 'Bras': 0.1374418308155505, 'Kuala': 0.0005849135496668375}",Rio,True
21,"I'm looking for a big city to visit. Between Lahore and Harare, I should visit ->",Lahore,Harare,"{'Tehran': 0.00022155227318528656, 'Har': 0.9982865916629455, 'Karachi': 0.00010508195378604345, 'Kuala': 0.00024695584561711386, 'Kh': 0.0008638240117603933}",Har,False
22,"I'm looking for a big city to visit. Between Toronto and La Paz, I should visit ->",Toronto,La Paz,"{'Tokyo': 0.0014021668344240212, 'S': 7.89886878907874e-06, 'oronto': 0.0012022914516574446, 'Toronto': 0.9973235508935728, 'Detroit': 1.712701528266942e-05}",Toronto,True
23,"I'm looking for a big city to visit. Between Ho Chi Minh City and Wellington, I should visit ->",Ho Chi Minh City,Wellington,"{'Singapore': 0.1506661224322306, 'HC': 0.014984085616428403, 'S': 0.031192905432740083, 'Chong': 0.07984324532075343, 'Ho': 0.6536143698391574}",Ho,True
24,"I'm looking for a big city to visit. Between Toronto and Malabo, I should visit ->",Toronto,Malabo,"{'Tokyo': 0.0014579227942311064, 'T': 7.605567599464546e-06, 'oronto': 0.0009686422589979284, 'Toronto': 0.997504096758986, 'Detroit': 1.719024476275253e-05}",Toronto,True
25,"I'm looking for a big city to visit. Between Tashkent and Port-Gentil, I should visit ->",Tashkent,Port-Gentil,"{'Tehran': 0.0025801080527880285, 'Istanbul': 0.0004778144885837395, 'T': 0.9965534534238359, 'S': 0.00012121290658784447, 'Kh': 7.698230251459977e-05}",T,True
26,"I'm looking for a big city to visit. Between Jakarta and Bucharest, I should visit ->",Jakarta,Bucharest,"{'Tokyo': 0.0010100201478112137, 'Indonesia': 0.0003727793009116403, 'Istanbul': 0.0006397426959675652, 'Kuala': 0.0010996166059252205, 'Jakarta': 0.9964161225740498}",Jakarta,True
27,"I'm looking for a big city to visit. Between Moscow and Rangpur, I should visit ->",Moscow,Rangpur,"{'Tokyo': 0.0002025580592836513, 'Tehran': 0.00010666633075664756, 'Russia': 5.9439831045295654e-05, 'oscow': 0.0003224949760465567, 'Moscow': 0.9992027183280662}",Moscow,True
28,"I'm looking for a big city to visit. Between Denver and Oslo, I should visit ->",Denver,Oslo,"{'Denver': 0.6139540074953382, 'Chong': 0.0042056240075638435, 'enver': 0.00384260983002383, 'Seattle': 0.36294622361610096, 'Detroit': 0.008564804268056374}",Denver,True
29,"I'm looking for a big city to visit. Between Johannesburg and Sokoto, I should visit ->",Johannesburg,Sokoto,"{'Tokyo': 0.00013697227840772666, 'Rio': 0.0002926114319233934, 'S': 0.006040593562057213, 'Johannes': 0.9933387809380624, 'Kuala': 6.686385639358089e-05}",Johannes,True
30,"I'm looking for a big city to visit. Between Shanghai and Belize City, I should visit ->",Shanghai,Belize City,"{'Shanghai': 0.9977853741105338, 'h': 3.178875331733698e-05, 'China': 5.627861134854598e-05, 'S': 0.000981421035855777, 'Chong': 0.0010309756418274256}",Shanghai,True
31,"I'm looking for a big city to visit. Between Dar es Salaam and Novosibirsk, I should visit ->",Dar es Salaam,Novosibirsk,"{'Tokyo': 0.16552820098174287, 'Dh': 0.2443326652691518, 'Tehran': 0.11544893130526587, 'S': 0.22405623713469763, 'Kh': 0.10722466208943639}",Dh,False
32,"I'm looking for a big city to visit. Between Ho Chi Minh City and Nairobi, I should visit ->",Ho Chi Minh City,Nairobi,"{'Tokyo': 0.04573049120284376, 'Singapore': 0.26674828981795534, 'S': 0.05357777191483077, 'Chong': 0.0991238996221714, 'Ho': 0.46409662727457196}",Ho,True
33,"I'm looking for a big city to visit. Between Beijing and Mahajanga, I should visit ->",Beijing,Mahajanga,"{'Beijing': 0.9929444364888973, 'Tokyo': 0.00044698076303171543, 'Tehran': 0.00041777497822340656, 'China': 0.0006292828627779179, 'Chong': 0.004817579767263318}",Beijing,True
