,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a big city to visit. If I were you, between Moscow and Dublin I would visit ->",Moscow,Dublin,"{'Tokyo': 0.05127558838521572, 'Madrid': 0.07093835631346723, 'Dublin': 0.13982699088090322, 'M': 0.03591245886860158, 'Moscow': 0.5723313340349947}",Moscow,True
1,"You are looking for a big city to visit. If I were you, between Riyadh and Palmerston North I would visit ->",Riyadh,Palmerston North,"{'Man': 0.003929347096927213, 'Palmer': 0.9176446452320745, 'R': 0.02127167294639527, 'Riyadh': 0.007962103939843175, 'New': 0.03137298834750241}",Palmer,False
2,"You are looking for a big city to visit. If I were you, between Lahore and La Paz I would visit ->",Lahore,La Paz,"{'city': 0.010397530010838396, 'Lah': 0.6250430635120894, 'La': 0.22827231469820541, 'Kuala': 0.01134634061291487, 'Kh': 0.011304003771014016}",Lah,True
3,"You are looking for a big city to visit. If I were you, between Lahore and Tashkent I would visit ->",Lahore,Tashkent,"{'Tehran': 0.00414873255425289, 'Lah': 0.0744605890209569, 'T': 0.8968372244511873, 'Kuala': 0.0026483406630338603, 'Kh': 0.0065873179577081685}",T,False
4,"You are looking for a big city to visit. If I were you, between Beijing and Hobart I would visit ->",Beijing,Hobart,"{'Beijing': 0.10529693158609169, 'Tokyo': 0.02381352934363945, 'Hob': 0.6389891080851696, 'T': 0.017663745797217086, 'New': 0.013637617662443039}",Hob,False
5,"You are looking for a big city to visit. If I were you, between Alexandria and Tampa I would visit ->",Alexandria,Tampa,"{'Tampa': 0.6777155444747852, 'Tall': 0.012592397753652826, 'T': 0.2601860570111366, 'St': 0.006201595384199715, 'Fort': 0.009297674163935775}",Tampa,False
6,"You are looking for a big city to visit. If I were you, between Luanda and Tripoli I would visit ->",Luanda,Tripoli,"{'Mog': 0.012171696275233344, 'Ant': 0.008051370126376821, 'Tripoli': 0.6112846394144723, 'Kh': 0.04355918024847447, 'Lu': 0.1780980210860636}",Tripoli,False
7,"You are looking for a big city to visit. If I were you, between Mexico City and Cayenne I would visit ->",Mexico City,Cayenne,"{'city': 0.02478913070270153, 'Gu': 0.034211265108939376, 'exico': 0.010860561090707236, 'M': 0.020272562665345256, 'Mexico': 0.8317673954708981}",Mexico,True
8,"You are looking for a big city to visit. If I were you, between Lahore and Conakry I would visit ->",Lahore,Conakry,"{'Delhi': 0.013421993654698516, 'Lah': 0.8087579687880917, 'Lod': 0.013856296897938302, 'Kuala': 0.01727729616123542, 'Kh': 0.023346682080902084}",Lah,True
9,"You are looking for a big city to visit. If I were you, between Sydney and La Ceiba I would visit ->",Sydney,La Ceiba,"{'Tokyo': 0.0013193224099184724, 'Sydney': 0.9579190323145855, 'city': 0.0013948184716857546, 'S': 0.02305732436833424, 'New': 0.006112533155397181}",Sydney,True
