,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like expensive restaurants. Between Branca and Piper's Pub And Grill, you should go to ->",Piper's Pub And Grill,Branca,"{'Fl': 0.0032020130142596287, 'Br': 0.03236709366197424, 'Piper': 0.8057360431502983, 'P': 0.14699089983558836, 'r': 0.0027948928763412433}",Piper,True
1,"You don't like expensive restaurants. Between Sweet Jesus and The Duke of Devon, you should go to ->",Sweet Jesus,The Duke of Devon,"{'Sweet': 0.35426824449051514, 'A': 2.615929694294903e-06, 'Yes': 5.718517296916867e-06, 'The': 0.6457050425168008, 'Beach': 1.2498400185510803e-06}",The,False
2,"You don't like expensive restaurants. Between Verona Restaurant and The Empire, you should go to ->",The Empire,Verona Restaurant,"{'er': 0.0002221917078193229, 'A': 1.003409263333439e-05, 'Yes': 5.841534183361455e-05, 'The': 0.9980143767632835, 'Ver': 0.0016243942531300878}",The,True
3,"You don't like expensive restaurants. Between Hawthorne Food and Drink and Eastern legend, you should go to ->",Eastern legend,Hawthorne Food and Drink,"{'Yes': 0.0014902733790230634, 'Hawth': 0.011292173543461929, 'astern': 0.006956707339362545, 'expensive': 0.0016934947259520815, 'Eastern': 0.9675751158214698}",Eastern,True
4,"You don't like expensive restaurants. Between Eggspectation and Solero Mediterranean Bakery, you should go to ->",Solero Mediterranean Bakery,Eggspectation,"{'Egg': 0.8083228931926738, 'Shell': 0.02371381474568118, 'ol': 0.00995132371476926, 'Sun': 0.013309175425457674, 'Sol': 0.07014982269144582}",Egg,False
5,"You don't like expensive restaurants. Between Sichuan Landscape Chinese Restaurant and New Bilan Restaurant, you should go to ->",New Bilan Restaurant,Sichuan Landscape Chinese Restaurant,"{'S': 0.9963814335484343, 'B': 0.0003951001029421051, 'ew': 0.0002046845590986992, 'Chinese': 0.00017868912389824789, 'New': 0.002411679225614632}",S,False
6,"You don't like expensive restaurants. Between Watson's and St. Clair Shawarma and Falafel, you should go to ->",St. Clair Shawarma and Falafel,Watson's,"{'Watson': 0.630950100247374, 'Fl': 0.13326811202932526, 'The': 0.010830576365943227, 'St': 0.08870520592619326, 'Fal': 0.03916772159845971}",Watson,False
7,"You don't like expensive restaurants. Between Supermodel Pizza and It's All Grk, you should go to ->",Supermodel Pizza,It's All Grk,"{'uper': 0.06043188596565096, 'Super': 0.521307578301654, 'Yes': 0.056200894828159785, 'The': 0.09531990723000723, 'It': 0.17239676248813776}",Super,True
8,"You don't like expensive restaurants. Between Milo's Pita and Roncy's Bean, you should go to ->",Milo's Pita,Roncy's Bean,"{'Gor': 0.0054336037018439375, 'on': 0.035976709795987924, 'Milo': 0.29080259782186585, 'R': 0.013639981266384308, 'Ron': 0.6370573220111296}",Ron,False
9,"You don't like expensive restaurants. Between Paradise Farms Prime Beef Bistro and Helena's Magic Kitchen, you should go to ->",Helena's Magic Kitchen,Paradise Farms Prime Beef Bistro,"{'Paradise': 0.21914766652893372, 'P': 0.009385573524959867, 'Helena': 0.7161124724002903, 'Magic': 0.030336119915700375, 'Beach': 0.002472558090753067}",Helena,True
10,"You don't like expensive restaurants. Between Hina Sushi and Bagel Nash, you should go to ->",Bagel Nash,Hina Sushi,"{'Bag': 0.0020993846521038953, 'S': 8.314196413418191e-05, 'Yes': 5.3564554782948237e-05, 'B': 0.00015393263289392565, 'H': 0.997334697642263}",H,False
11,"You don't like expensive restaurants. Between Anatolia Restaurant and McDonald's, you should go to ->",McDonald's,Anatolia Restaurant,"{'McDonald': 0.6411220336963248, 'Starbucks': 0.036336817337330005, 'Anat': 0.26872949503372523, 'restaurant': 0.0069774273824220025, 'c': 0.0054974749069128985}",McDonald,True
12,"You don't like expensive restaurants. Between Eastern legend and Kairali - Taste of Kerala, you should go to ->",Eastern legend,Kairali - Taste of Kerala,"{'Taste': 0.00010751243958731067, 'astern': 4.0374143107109364e-05, 'K': 0.9938826135693307, 'restaurant': 1.3954018872061397e-05, 'Eastern': 0.005875843234351106}",K,False
13,"You don't like expensive restaurants. Between Villa Madina and Pisco 1641, you should go to ->",Villa Madina,Pisco 1641,"{'Pizza': 7.049893835837037e-06, 'Villa': 0.00039095855540639726, 'Cafe': 6.132206019987063e-06, 'P': 0.9995092653196708, 'V': 3.0340321121590918e-05}",P,False
14,"You don't like expensive restaurants. Between KFC and Itamae Ayce Sushi, you should go to ->",KFC,Itamae Ayce Sushi,"{'t': 1.3711550200422182e-05, 'Yes': 0.00011055051413174911, 'The': 3.177114722533698e-05, 'K': 0.99905632728941, 'It': 0.0006820727051575143}",K,True
15,"You don't like expensive restaurants. Between Falafel House and Mysteriously Yours Dinner Theatre, you should go to ->",Falafel House,Mysteriously Yours Dinner Theatre,"{'Myster': 0.9597384764480866, 'Fl': 0.0016135133057378504, 'mysteriously': 0.0031158135160143465, 'myster': 0.00332366895269732, 'Fal': 0.02088453596202941}",Myster,False
16,"You don't like expensive restaurants. Between Carole's Cheesecake Cafe and McDonald's, you should go to ->",McDonald's,Carole's Cheesecake Cafe,"{'McDonald': 0.009650817038627732, 'Car': 0.9714463068387698, 'Starbucks': 0.002728894491411088, 'C': 0.006799474154573431, 'ar': 0.0016970693963817844}",Car,False
17,"You don't like expensive restaurants. Between Bonne Journee and Verona Restaurant, you should go to ->",Bonne Journee,Verona Restaurant,"{'er': 0.004511665063148353, 'on': 0.01459679930479916, 'B': 0.03294619508891135, 'Ver': 0.150757333167111, 'Bon': 0.7879226372677478}",Bon,True
18,"You don't like expensive restaurants. Between Oxygen Restaurant & Lounge and Juice & Java Cafe, you should go to ->",Juice & Java Cafe,Oxygen Restaurant & Lounge,"{'X': 0.000665388618017732, 'xy': 0.0006687485018372042, 'Juice': 0.6678316888452261, 'Oxy': 0.30700381646196845, 'O': 0.019702370904450723}",Juice,True
19,"You don't like expensive restaurants. Between Amaya Express and The Empire, you should go to ->",The Empire,Amaya Express,"{'Am': 0.0054153785137641495, 'A': 0.00019240846958297838, 'Yes': 0.0012170967127192876, 'The': 0.9920116428720105, 'm': 0.0005883312019614279}",The,True
20,"You don't like expensive restaurants. Between Thompson Rooftop and Delicious Paradise Kitchen, you should go to ->",Delicious Paradise Kitchen,Thompson Rooftop,"{'Thompson': 0.020325809429735518, 'Sweet': 0.0016328482441867137, 'R': 0.01659665682478244, 'Delicious': 0.9412437001106198, 'hompson': 0.010244130208673447}",Delicious,True
21,"You don't like expensive restaurants. Between Domino's Pizza and Delicious Paradise Kitchen, you should go to ->",Delicious Paradise Kitchen,Domino's Pizza,"{'Dim': 0.0019873038661568703, 'om': 0.009459438054078699, 'Yes': 0.002298629967111616, 'Delicious': 0.7203551101627684, 'Dom': 0.2514637588061814}",Delicious,True
22,"You don't like expensive restaurants. Between Thompson Rooftop and La Pupusa Loka, you should go to ->",La Pupusa Loka,Thompson Rooftop,"{'Thompson': 0.015698591249264558, 'P': 0.15942565153636065, 'R': 0.7763863957955945, 'L': 0.03019749817259353, 'La': 0.010441127544632965}",R,True
23,"You don't like expensive restaurants. Between Modo Mio Italian Bistro and Aris Place, you should go to ->",Aris Place,Modo Mio Italian Bistro,"{'Andrea': 0.004340465840974147, 'A': 0.15561582022639453, 'Mod': 0.706088320115092, 'od': 0.01843397591434793, 'Ar': 0.0916560495300737}",Mod,False
24,"You don't like expensive restaurants. Between Smoke's Weinerie and Tierra Azteca, you should go to ->",Smoke's Weinerie,Tierra Azteca,"{'tier': 0.003289403623792878, 'Tier': 0.5284431753906954, 'Smoke': 0.4062799398343392, 'T': 0.006411041120138529, 'ier': 0.026574337088359164}",Tier,False
25,"You don't like expensive restaurants. Between The Duke of Devon and Just Soups Take Out & Catering, you should go to ->",Just Soups Take Out & Catering,The Duke of Devon,"{'Just': 0.002683949165179741, 'A': 8.725873327871124e-06, 'Yes': 9.595780445962427e-05, 'The': 0.9970984233342689, 'ust': 6.687863493881296e-05}",The,False
26,"You don't like expensive restaurants. Between Nutella Cafe by Pusateri's and Falafel House, you should go to ->",Falafel House,Nutella Cafe by Pusateri's,"{'Nut': 0.000514480244963365, 'Fl': 0.00021733839393496242, 'Pizza': 0.00010595749869118415, 'P': 0.9979312855454096, 'Fal': 0.0008910488553090452}",P,True
27,"You don't like expensive restaurants. Between Galata Cafe and Falafel House, you should go to ->",Falafel House,Galata Cafe,"{'Fl': 0.039356088077985046, 'al': 0.037717579253981816, 'F': 0.0044203411615507315, 'Gal': 0.7728173851691312, 'Fal': 0.12851775666885432}",Gal,False
28,"You don't like expensive restaurants. Between Ici Bistro and Domino's Pizza, you should go to ->",Domino's Pizza,Ici Bistro,"{'om': 0.03086482169761623, 'I': 0.036757264477531366, 'B': 0.008670424738008069, 'The': 0.006061487784741947, 'Dom': 0.8767150709423437}",Dom,True
29,"You don't like expensive restaurants. Between Sizzlers and Nook, you should go to ->",Sizzlers,Nook,"{'Z': 3.325621137627129e-05, 'S': 0.9990267026913874, 'B': 3.231406414689645e-05, 'N': 0.0005474989577107979, 'expensive': 8.67793385301343e-05}",S,True
30,"You don't like expensive restaurants. Between Supermodel Pizza and Sushi Time Japanese Restaurant, you should go to ->",Supermodel Pizza,Sushi Time Japanese Restaurant,"{'uper': 0.00016982993567649126, 'Sakura': 0.00014989402703207647, 'S': 0.9979540553039369, 'Super': 0.0012552058449094585, 'Yes': 9.2177176631776e-05}",S,False
31,"You don't like expensive restaurants. Between Big Al's Diner and Tian An Cuisine, you should go to ->",Big Al's Diner,Tian An Cuisine,"{'ig': 1.8109624874593894e-05, 'Tian': 0.0007279894511872318, 'B': 6.166137062456289e-06, 'Chinese': 8.483122131806567e-06, 'Big': 0.9992080193823334}",Big,True
32,"You don't like expensive restaurants. Between Hina Sushi and Supermodel Pizza, you should go to ->",Supermodel Pizza,Hina Sushi,"{'uper': 0.0013175870600468126, 'Pizza': 0.0006007480075244327, 'S': 0.00022188662605194967, 'Super': 0.011651702177345635, 'H': 0.9844592011008628}",H,False
33,"You don't like expensive restaurants. Between Smoke's Weinerie and To-ne Sushi, you should go to ->",Smoke's Weinerie,To-ne Sushi,"{'To': 0.5724272075626293, 'Smoke': 0.36845503371322014, 'S': 0.008233245434870197, 'Yes': 0.009506343180307282, 'Sn': 0.009858949082233932}",To,False
34,"You don't like expensive restaurants. Between El Fogón and Aris Place, you should go to ->",Aris Place,El Fogón,"{'El': 0.6493645367884604, 'A': 0.019930359635260412, 'The': 0.04736748765876691, 'Ar': 0.06754182117478227, 'l': 0.12955007409925526}",El,False
35,"You don't like expensive restaurants. Between Dinah's Cupboard and Marcello’s pizzeria, you should go to ->",Marcello’s pizzeria,Dinah's Cupboard,"{'Z': 0.001717034678713896, 'Dim': 0.0015539293366216515, 'Mar': 0.30159799220974126, 'Din': 0.6773244731613531, 'ar': 0.008816934779809911}",Din,False
36,"You don't like expensive restaurants. Between La Cocina De Dona Luz and Cafe Jules, you should go to ->",Cafe Jules,La Cocina De Dona Luz,"{'Starbucks': 3.475862181282718e-06, 'Cafe': 0.9999766825498559, 'Yes': 1.9019878155247538e-06, 'Café': 3.1934714628351216e-06, 'La': 3.588963915653308e-06}",Cafe,True
37,"You don't like expensive restaurants. Between Marcello’s pizzeria and Smoke's Weinerie, you should go to ->",Smoke's Weinerie,Marcello’s pizzeria,"{'Nik': 0.009194691245597084, 'Mar': 0.5246788751057504, 'Pizza': 0.010480289252926935, 'Smoke': 0.35705437424170916, 'ar': 0.016561658236232617}",Mar,False
38,"You don't like expensive restaurants. Between Banjara Indian Cuisine and Ici Bistro, you should go to ->",Banjara Indian Cuisine,Ici Bistro,"{'Ban': 0.7837508127766079, 'an': 0.07564265010833707, 'I': 0.03396211976577872, 'B': 0.07547035113898097, 'The': 0.0037232575812830267}",Ban,True
39,"You don't like expensive restaurants. Between Nutella Cafe by Pusateri's and Helena's Magic Kitchen, you should go to ->",Helena's Magic Kitchen,Nutella Cafe by Pusateri's,"{'Nik': 0.000133445420356661, 'Nut': 0.00323182172237796, 'P': 0.9830452513182912, 'Helena': 0.012770844239039857, 'ut': 0.000326056786516104}",P,True
40,"You don't like expensive restaurants. Between Juice & Java Cafe and Cafe Jules, you should go to ->",Cafe Jules,Juice & Java Cafe,"{'Starbucks': 3.4708848378952186e-06, 'Cafe': 0.9999672653217913, 'Juice': 9.495628719896442e-06, 'Café': 2.165782131686878e-06, 'J': 2.095572022695269e-06}",Cafe,True
41,"You don't like expensive restaurants. Between Sushi World and Sheriff Broaster Chicken, you should go to ->",Sushi World,Sheriff Broaster Chicken,"{'Sheriff': 0.02719334512873885, 'Starbucks': 0.000373630805191293, 'her': 0.000603824660113114, 'S': 0.9705770417098258, 'The': 0.00013470875235594668}",S,False
42,"You don't like expensive restaurants. Between Taste of Greek Cuisine and Sushi World, you should go to ->",Sushi World,Taste of Greek Cuisine,"{'Taste': 0.19349976132027735, 'T': 0.0019107470265720408, 'S': 0.8036374213421101, 'Yes': 0.000200745223238165, 'The': 0.0001734911445391717}",S,True
43,"You don't like expensive restaurants. Between Chick Fiesta and Eggspectation, you should go to ->",Chick Fiesta,Eggspectation,"{'Egg': 0.9075812456167566, 'Fl': 0.005554646468222197, 'Cafe': 0.007059500363667992, 'Chick': 0.017035695516950083, 'The': 0.005463020156150209}",Egg,False
44,"You don't like expensive restaurants. Between Dangerous Dan's Diner and Green Room, you should go to ->",Green Room,Dangerous Dan's Diner,"{'reen': 0.006091255870789524, 'Danger': 0.005194644956901717, 'Dangerous': 0.8898842774918754, 'Green': 0.08499280271653306, 'The': 0.007158795775027973}",Dangerous,False
45,"You don't like expensive restaurants. Between JJ Bean and Cafe Jules, you should go to ->",Cafe Jules,JJ Bean,"{'Casey': 2.066283256183523e-05, 'Starbucks': 8.353098584279039e-06, 'Cafe': 0.999503543275442, 'J': 1.1172311813545688e-05, 'JJ': 0.00043832452380752126}",Cafe,True
46,"You don't like expensive restaurants. Between Bake Island and Capitol Trattoria Pizzeria, you should go to ->",Bake Island,Capitol Trattoria Pizzeria,"{'Capitol': 0.11531114448038923, 'Pizza': 0.017617943134376854, 'Cafe': 0.006984401315276499, 'P': 0.7882747361121436, 'Bake': 0.05504479338676583}",P,False
47,"You don't like expensive restaurants. Between Sky Dragon Chinese Restaurant and Milo's Pita, you should go to ->",Milo's Pita,Sky Dragon Chinese Restaurant,"{'ky': 0.08144519002546154, 'Starbucks': 0.014494419002884711, 'Milo': 0.38828695032783167, 'Sun': 0.014350851508005491, 'Sky': 0.4438204900460345}",Sky,False
48,"You don't like expensive restaurants. Between Pisco 1641 and Nutella Cafe by Pusateri's, you should go to ->",Pisco 1641,Nutella Cafe by Pusateri's,"{'Nut': 2.4474568498483735e-05, 'Pizza': 3.141615185533995e-06, 'P': 0.9999602303908319, 'The': 7.129011968337985e-07, 'ut': 1.9843463356429677e-06}",P,True
49,"You don't like expensive restaurants. Between Evoo Ristorante and Green Grotto, you should go to ->",Green Grotto,Evoo Ristorante,"{'reen': 0.03570691183902716, 'Green': 0.3043559726358481, 'The': 0.05331198573572375, 'Ev': 0.2833170472817479, 'Beach': 0.03513416359802037}",Green,True
50,"You don't like expensive restaurants. Between Warung Indonesia D'Eglinton and Aris Place, you should go to ->",Aris Place,Warung Indonesia D'Eglinton,"{'War': 0.13668099117073995, 'A': 0.7780784456518812, 'Yes': 0.00499172369003897, 'The': 0.004373226118594924, 'Ar': 0.05459344818735672}",A,True
51,"You don't like expensive restaurants. Between Goldstone Noodle Restaurant and Hapa Toronto, you should go to ->",Goldstone Noodle Restaurant,Hapa Toronto,"{'Z': 0.00011258455709740886, 'old': 7.515251319068411e-05, 'Gold': 0.0010665032208912481, 'H': 0.9981722077504924, 'Golden': 0.0002566038761731268}",H,False
52,"You don't like expensive restaurants. Between Warung Indonesia D'Eglinton and New Bilan Restaurant, you should go to ->",New Bilan Restaurant,Warung Indonesia D'Eglinton,"{'War': 0.37353188870308074, 'Yes': 0.013744585695725077, 'B': 0.02378035641064062, 'ew': 0.020692650294409545, 'New': 0.4871342142139895}",New,True
