,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like cheap restaurants. If I were you, between Domino's Pizza and Milo's Pita I would go to ->",Domino's Pizza,Milo's Pita,"{'Pizza': 2.661634652256313e-05, 'DOM': 2.3087551079739988e-05, 'om': 0.015553675526870253, 'Milo': 0.010188099046841334, 'Dom': 0.9741644439170385}",Dom,True
1,"You don't like cheap restaurants. If I were you, between Bake Island and Aroma Espresso Bar I would go to ->",Aroma Espresso Bar,Bake Island,"{'baked': 8.340855123867609e-08, 'bake': 4.370557017616952e-05, 'A': 0.998460577128847, '': 1.8022333592821847e-07, 'Bake': 0.001495484117716219}",A,True
2,"You don't like cheap restaurants. If I were you, between Pisco 1641 and Shawarma Twist I would go to ->",Pisco 1641,Shawarma Twist,"{'Shaw': 0.7465986803869008, 'S': 4.258745178975225e-06, 'C': 1.0064271238521427e-06, 'haw': 9.04536577920925e-06, 'P': 0.2533762603435865}",Shaw,False
3,"You don't like cheap restaurants. If I were you, between Sky Dragon Chinese Restaurant and Hapa Toronto I would go to ->",Hapa Toronto,Sky Dragon Chinese Restaurant,"{'ky': 5.98431363137097e-07, 'S': 1.8928576114934263e-07, 'H': 0.9999722719354299, '': 1.4747060045239722e-07, 'Sky': 2.6571190314637862e-05}",H,True
4,"You don't like cheap restaurants. If I were you, between Topham Corner and Top Sushi I would go to ->",Topham Corner,Top Sushi,"{'Bottom': 2.144101245847513e-05, 'T': 0.7652647703526417, 'S': 0.001352260692570699, 'Top': 0.2234433644385447, 'op': 0.009889530565948254}",T,False
5,"You don't like cheap restaurants. If I were you, between Green Grotto and New Bilan Restaurant I would go to ->",Green Grotto,New Bilan Restaurant,"{'reen': 0.0016110784169907893, 'United': 0.0004795044419363289, 'Green': 0.5949551228872063, 'ew': 0.0025006782097470133, 'New': 0.3976870458368099}",Green,True
6,"You don't like cheap restaurants. If I were you, between Chipotle Mexican Grill and Supermodel Pizza I would go to ->",Chipotle Mexican Grill,Supermodel Pizza,"{'uper': 3.264489727697835e-05, 'Chip': 0.9896087470179158, 'Super': 0.0015695285364097358, 'hip': 0.008612307449409795}",Chip,True
7,"You don't like cheap restaurants. If I were you, between McDonald's and Dinah's Cupboard I would go to ->",Dinah's Cupboard,McDonald's,"{'McDonald': 0.03683276414090281, 'din': 1.9320931810225766e-05, 'Din': 0.9631160891198806, 'Starbucks': 1.3741817526077275e-05, 'MacDonald': 4.131305910015699e-06}",Din,True
8,"You don't like cheap restaurants. If I were you, between Magic Oven and Falafel Hut Village I would go to ->",Magic Oven,Falafel Hut Village,"{'fal': 6.190962441961595e-06, 'al': 7.4798112518960535e-06, 'Magic': 0.0006470483090642413, 'Fal': 0.998674021287667}",Fal,False
9,"You don't like cheap restaurants. If I were you, between Watson's and Lahore Grill & Fast Food I would go to ->",Watson's,Lahore Grill & Fast Food,"{'Watson': 2.063199301320986e-09, 'Lah': 1.0, 'Punjab': 1.2714601061186796e-10, 'L': 5.271816183011225e-10, 'ah': 2.426235623151123e-10}",Lah,False
10,"You don't like cheap restaurants. If I were you, between Lebanese Bakery and Fit For Life I would go to ->",Lebanese Bakery,Fit For Life,"{'it': 0.0014363860606852103, 'Fit': 0.9945504260962093, 'Lebanese': 0.00354130137264735, 'F': 0.00011907309615807041}",Fit,False
11,"You don't like cheap restaurants. If I were you, between JJ Bean and Buk Chang Dong Soon Tofu I would go to ->",JJ Bean,Buk Chang Dong Soon Tofu,"{'Mong': 0.0016786445948096342, 'J': 0.048467762149343764, 'Buk': 0.22836112990206026, 'JJ': 0.7126801048825349, 'Bok': 0.0009106305375409436}",JJ,True
12,"You don't like cheap restaurants. If I were you, between Tierra Azteca and Fitness Avenue I would go to ->",Tierra Azteca,Fitness Avenue,"{'fitness': 0.001272277089665588, 'Tier': 0.35523234877828086, 'Athlet': 0.0041491076166283595, 'Fitness': 0.6358371512007265, 'ier': 0.002044288237894799}",Fitness,False
13,"You don't like cheap restaurants. If I were you, between Edible Arrangements and Buk Chang Dong Soon Tofu I would go to ->",Edible Arrangements,Buk Chang Dong Soon Tofu,"{'Ed': 0.49785575127012327, 'Dong': 3.75334133142042e-05, 'Buk': 0.4952021331339333, 'Bok': 7.809277617146846e-05, 'd': 0.006537172803640011}",Ed,True
14,"You don't like cheap restaurants. If I were you, between The Coffee Pocket and Aroma Espresso Bar I would go to ->",Aroma Espresso Bar,The Coffee Pocket,"{'A': 0.9998919241606143, '': 2.16422373230789e-08, 'C': 1.05008461218105e-08, 'R': 1.0144460946240062e-08, 'The': 0.0001080571828637174}",A,True
15,"You don't like cheap restaurants. If I were you, between Hapa Toronto and Falafel Hut Village I would go to ->",Hapa Toronto,Falafel Hut Village,"{'H': 0.9780742290532852, '': 3.4909732235789323e-06, 'al': 8.616419705096136e-07, 'Fal': 0.021854190301823694}",H,True
16,"You don't like cheap restaurants. If I were you, between Madras Pantry and Modo Mio Italian Bistro I would go to ->",Modo Mio Italian Bistro,Madras Pantry,"{'MOD': 2.9366235381870668e-05, 'Mod': 0.9935940074206553, 'Mad': 0.00466760120439182, 'od': 0.0016737298497762406, 'mod': 6.964170871206466e-06}",Mod,True
17,"You don't like cheap restaurants. If I were you, between Grappa Ristorante and Top Sushi I would go to ->",Grappa Ristorante,Top Sushi,"{'Gor': 3.3688837733437314e-05, 'R': 0.00023984420289944406, 'ra': 0.0039025074365123024, 'Top': 0.0003243546636368222, 'Gra': 0.9954431301806954}",Gra,True
18,"You don't like cheap restaurants. If I were you, between Queen Slice and Modo Mio Italian Bistro I would go to ->",Modo Mio Italian Bistro,Queen Slice,"{'Q': 0.0002992470714120432, 'ueen': 6.013713622567644e-05, 'Mod': 0.9747802753468251, 'od': 0.0021429219158401696, 'Queen': 0.02252651543133636}",Mod,True
19,"You don't like cheap restaurants. If I were you, between La Cocina De Dona Luz and The Empire I would go to ->",La Cocina De Dona Luz,The Empire,"{'a': 0.00033295440476041073, 'Don': 0.0008967267220637814, 'The': 0.6857134636403566, 'La': 0.31286649906088754, 'Lu': 4.7238656826938275e-05}",The,False
20,"You don't like cheap restaurants. If I were you, between Tierra Azteca and Sichuan Landscape Chinese Restaurant I would go to ->",Sichuan Landscape Chinese Restaurant,Tierra Azteca,"{'tier': 3.472527277677912e-07, 'Tier': 0.0005483287731013429, 'T': 1.016634394125513e-06, 'S': 0.9994459056669946, 'ier': 4.181665273394103e-06}",S,True
21,"You don't like cheap restaurants. If I were you, between Dinah's Cupboard and Sushi Shop I would go to ->",Dinah's Cupboard,Sushi Shop,"{'din': 9.736899533721415e-08, 'Din': 0.0011763386538505831, 'in': 7.997625970500932e-08, 'Ich': 2.1572337808762643e-08, 'S': 0.9988233920465854}",S,False
22,"You don't like cheap restaurants. If I were you, between Chick Fiesta and EJ Sushi I would go to ->",EJ Sushi,Chick Fiesta,"{'chick': 0.00022240511427754, 'S': 0.00926213773551829, 'Chick': 0.06382897743334646, '': 0.0008462074632446949, 'E': 0.925753289370019}",E,True
23,"You don't like cheap restaurants. If I were you, between Basil Express Restaurant and St. Clair Shawarma and Falafel I would go to ->",Basil Express Restaurant,St. Clair Shawarma and Falafel,"{'Basil': 0.25798924009199165, 'basil': 0.0014755020119655506, 'al': 0.026006579897433706, 'St': 0.1043403110784762, 'Fal': 0.6062646330694282}",Fal,True
24,"You don't like cheap restaurants. If I were you, between It's All Grk and Goldstone Noodle Restaurant I would go to ->",It's All Grk,Goldstone Noodle Restaurant,"{'If': 0.0012164226278791822, 't': 0.001318036302044531, 'old': 0.000723640743042048, 'Gold': 0.05471590740719758, 'It': 0.9402650418935148}",It,True
25,"You don't like cheap restaurants. If I were you, between Sweet Jesus and Galata Cafe I would go to ->",Galata Cafe,Sweet Jesus,"{'Sweet': 0.00988187507806547, 'al': 0.010783346776959364, 'Gal': 0.9788014030262573, 'Cy': 7.626702360471385e-06, 'gal': 0.0004733385381528326}",Gal,True
26,"You don't like cheap restaurants. If I were you, between Tierra Azteca and Chick Fiesta I would go to ->",Tierra Azteca,Chick Fiesta,"{'tier': 0.0004339667238326793, 'Tier': 0.9789775943255378, 'T': 0.00044501302792082566, 'Chick': 0.010312742628355482, 'ier': 0.009226011014434463}",Tier,True
27,"You don't like cheap restaurants. If I were you, between Lahore Grill & Fast Food and Tik Talk Cafe I would go to ->",Tik Talk Cafe,Lahore Grill & Fast Food,"{'Chand': 2.3520465863137576e-09, 'Lah': 0.9999951615107056, 'T': 1.975680383390244e-09, 'L': 4.806724764004577e-10, 'Tik': 4.931289708321789e-06}",Lah,False
28,"You don't like cheap restaurants. If I were you, between Villa Madina and Anatolia Restaurant I would go to ->",Anatolia Restaurant,Villa Madina,"{'Athlet': 3.417975664872831e-05, 'anat': 0.00010153469451571907, 'Villa': 0.7046871877185359, 'Anat': 0.29499198278842736, 'Cy': 2.867617268663631e-05}",Villa,False
29,"You don't like cheap restaurants. If I were you, between Watson's and Grappa Ristorante I would go to ->",Grappa Ristorante,Watson's,"{'Watson': 8.603249364416677e-05, 'R': 0.00027766089249997073, 'ra': 0.005622350298043421, 'Gra': 0.9939434105325198}",Gra,True
30,"You don't like cheap restaurants. If I were you, between Solero Mediterranean Bakery and Basil Express Restaurant I would go to ->",Basil Express Restaurant,Solero Mediterranean Bakery,"{'as': 0.0004305483194900348, 'Basil': 0.9925137949732544, 'ol': 0.0007360609722026631, 'basil': 0.0005149382332140884, 'Sol': 0.005755156749966391}",Basil,True
31,"You don't like cheap restaurants. If I were you, between Tik Talk Cafe and Milo's Pita I would go to ->",Tik Talk Cafe,Milo's Pita,"{'Nik': 0.00013589459628953024, 'Cafe': 3.649428080233605e-05, 'T': 6.933269317684254e-05, 'Milo': 0.003029350617763358, 'Tik': 0.9965008827292761}",Tik,True
32,"You don't like cheap restaurants. If I were you, between Top Sushi and Warung Indonesia D'Eglinton I would go to ->",Warung Indonesia D'Eglinton,Top Sushi,"{'ar': 0.04291674083129713, 'War': 0.4651273220564736, 'S': 0.0004679770040028142, 'Top': 0.48318107456772685, 'op': 0.0076233947747168605}",Top,False
33,"You don't like cheap restaurants. If I were you, between Anatolia Restaurant and New Bilan Restaurant I would go to ->",Anatolia Restaurant,New Bilan Restaurant,"{'anat': 0.000297607218377129, 'Anat': 0.9763892239850624, 'ew': 0.00024573692618654074, 'Cy': 2.4849448470848174e-05, 'New': 0.022866674279402182}",Anat,True
34,"You don't like cheap restaurants. If I were you, between Solero Mediterranean Bakery and Cantine Bar & Grill I would go to ->",Cantine Bar & Grill,Solero Mediterranean Bakery,"{'Cant': 0.9938039945015783, 'cant': 2.1450534381717224e-05, 'C': 3.1946274116912134e-05, 'ol': 0.00018638185590798883, 'Sol': 0.005928002317779401}",Cant,True
35,"You don't like cheap restaurants. If I were you, between St. Louis Bar & Grill and Supermodel Pizza I would go to ->",St. Louis Bar & Grill,Supermodel Pizza,"{'uper': 0.01038046504733409, 'S': 0.00015359320139217157, 'Super': 0.9573489087775962, 'SUPER': 5.786800018499996e-05, 'St': 0.031872337767857896}",Super,False
36,"You don't like cheap restaurants. If I were you, between Ici Bistro and McDonald's I would go to ->",Ici Bistro,McDonald's,"{'McDonald': 0.20756372043895147, 'Starbucks': 2.7184407573710603e-05, 'I': 0.7922173365315548, 'MacDonald': 5.9801787867785565e-05, '': 3.752872193075754e-05}",I,True
37,"You don't like cheap restaurants. If I were you, between The Coffee Pocket and 9 Restaurant I would go to ->",9 Restaurant,The Coffee Pocket,"{'1': 0.002765968041100284, '2': 0.001518845609651362, 'The': 0.8977431913784483, '3': 0.0006784643652265252, '9': 0.09552521833688683}",The,False
38,"You don't like cheap restaurants. If I were you, between Grappa Ristorante and Sushi Shop I would go to ->",Grappa Ristorante,Sushi Shop,"{'Gor': 4.194212328656761e-06, 'S': 0.6009249965431259, 'R': 0.00046989090839485455, 'ra': 0.0017601039661510613, 'Gra': 0.39682746092732535}",S,False
