,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like restaurants further away. Between Madras Pantry and Falafel House, I should go to ->",Madras Pantry,Falafel House,"{'Fl': 0.06498886704413681, 'ad': 0.03605172378101619, 'Yes': 0.013004049110225112, 'Mad': 0.5168194664209173, 'Fal': 0.30236390608047603}",Mad,True
1,"I don't like restaurants further away. Between Aroma Espresso Bar and Tortería San Cosme, I should go to ->",Tortería San Cosme,Aroma Espresso Bar,"{'or': 1.7647772262026228e-05, 'Gor': 5.598241653359604e-06, 'A': 0.9998574724780125, 'Yes': 7.423350892232908e-06, 'Tor': 9.056597204111796e-05}",A,False
2,"I don't like restaurants further away. Between Eggspectation and Bake Island, I should go to ->",Bake Island,Eggspectation,"{'Egg': 0.1455238337417601, 'Cafe': 0.02972341975415343, 'B': 0.2604739559359536, 'Bake': 0.4880906168992484, 'Beach': 0.010749320883843012}",Bake,True
3,"I don't like restaurants further away. Between El Fogón and Ciao Europa wine bar, I should go to ->",El Fogón,Ciao Europa wine bar,"{'El': 7.046622788592821e-05, 'C': 0.9998509169539819, 'B': 1.2240076878213776e-05, 'F': 6.893883422546697e-06, 'l': 1.1780935130461727e-05}",C,False
4,"I don't like restaurants further away. Between Nutella Cafe by Pusateri's and Anatolia Restaurant, I should go to ->",Anatolia Restaurant,Nutella Cafe by Pusateri's,"{'Nik': 2.560745597141707e-05, 'Nut': 0.00223488613169938, 'Anat': 0.0013077986174430884, 'P': 0.9959368998188448, 'ut': 0.00023120171577995757}",P,False
5,"I don't like restaurants further away. Between El Fogón and Beryl's Pepper Pot, I should go to ->",El Fogón,Beryl's Pepper Pot,"{'Fl': 8.222840022840892e-07, 'El': 7.70685781616656e-06, 'B': 0.9999839550707212, 'F': 7.85490086464011e-07, 'l': 8.899460446915587e-07}",B,False
6,"I don't like restaurants further away. Between Queen Pita and Sweet Jesus, I should go to ->",Sweet Jesus,Queen Pita,"{'Sweet': 0.9976826111012286, 'King': 0.0010531050375977488, 'Yes': 7.562187233668142e-05, 'P': 0.00024588023258426356, 'Queen': 0.0004680328837930492}",Sweet,True
7,"I don't like restaurants further away. Between Tortería San Cosme and Queen Slice, I should go to ->",Tortería San Cosme,Queen Slice,"{'Q': 0.20351497288004702, 'Gor': 0.04582065073828087, 'King': 0.24408240141088747, 'Tor': 0.04797147574626728, 'Queen': 0.3250290227078259}",Queen,False
8,"I don't like restaurants further away. Between Tim Hortons and Madras Pantry, I should go to ->",Madras Pantry,Tim Hortons,"{'im': 0.036628304150528854, 'ad': 0.023816577670484194, 'Yes': 0.02133381940373629, 'Mad': 0.3403593526361613, 'Tim': 0.5403264959524335}",Tim,False
9,"I don't like restaurants further away. Between Just Soups Take Out & Catering and Galata Cafe, I should go to ->",Just Soups Take Out & Catering,Galata Cafe,"{'Fl': 0.008413173733722272, 'Just': 0.3118614376234621, 'al': 0.03820337945019558, 'Yes': 0.04210848561722873, 'Gal': 0.5548466720394134}",Gal,False
10,"I don't like restaurants further away. Between El Fogón and Sweet Jesus, I should go to ->",El Fogón,Sweet Jesus,"{'Sweet': 0.999551762488463, 'El': 0.00022829223894295372, 'Yes': 3.378701502992676e-05, 'The': 2.9017629467774017e-05, 'l': 3.5247410232024365e-05}",Sweet,False
11,"I don't like restaurants further away. Between FreshCo and Queen Pita, I should go to ->",FreshCo,Queen Pita,"{'Q': 0.03104980657781471, 'Fl': 0.010685898541683565, 'Fresh': 0.7590432502563813, 'King': 0.06430615044372295, 'Queen': 0.07192351616979609}",Fresh,True
12,"I don't like restaurants further away. Between Branca and Carole's Cheesecake Cafe, I should go to ->",Branca,Carole's Cheesecake Cafe,"{'Br': 0.0065477879757435764, 'Car': 0.9838867421454638, 'C': 0.0017569644558580342, 'Yes': 0.0009302185494652615, 'ar': 0.0010323229756331227}",Car,False
13,"I don't like restaurants further away. Between Hina Sushi and Sichuan Landscape Chinese Restaurant, I should go to ->",Sichuan Landscape Chinese Restaurant,Hina Sushi,"{'S': 0.6319661793208644, 'Yes': 2.3219131163202257e-05, 'H': 0.3678598337197711, 'Chinese': 2.497750345536853e-05, 'L': 3.3712327038409386e-05}",S,True
14,"I don't like restaurants further away. Between Mirage Grill & Lounge and Scaddabush Italian Kitchen & Bar, I should go to ->",Scaddabush Italian Kitchen & Bar,Mirage Grill & Lounge,"{'Sc': 0.4160919539492813, 'Fl': 0.030344302670636543, 'Shell': 0.004824346469985698, 'Mirage': 0.49421515014454936, 'Beach': 0.006113499011936391}",Mirage,False
15,"I don't like restaurants further away. Between Eggspectation and Cake Opera, I should go to ->",Cake Opera,Eggspectation,"{'Egg': 0.40004765558825545, 'Cafe': 0.08048501185736852, 'Cake': 0.3711614521652861, 'C': 0.07445974017508049, 'Yes': 0.011116130803874085}",Egg,False
16,"I don't like restaurants further away. Between Mamma's Pizza and To-ne Sushi, I should go to ->",Mamma's Pizza,To-ne Sushi,"{'No': 0.002439581672676239, 'To': 0.7062702389582874, 'Mam': 0.2574392008400476, 'T': 0.0047434692580991394, 'Yes': 0.012801976575719718}",To,False
17,"I don't like restaurants further away. Between Paradise Farms Prime Beef Bistro and Mt Everest Restaurant, I should go to ->",Paradise Farms Prime Beef Bistro,Mt Everest Restaurant,"{'Garden': 0.005227260202623112, 'Mt': 0.4868809702717296, 'Paradise': 0.43388502471099005, 'Yes': 0.004312825591484215, 'Mountain': 0.013934729915119416}",Mt,False
18,"I don't like restaurants further away. Between Adega Restaurante and The Empire, I should go to ->",The Empire,Adega Restaurante,"{'Ad': 0.0013068873994031066, 'd': 4.135294159867687e-05, 'Yes': 5.669406649845726e-05, 'The': 0.9984508020479549, 'Second': 1.915844399186321e-05}",The,True
19,"I don't like restaurants further away. Between McDonald's and Galata Cafe, I should go to ->",McDonald's,Galata Cafe,"{'McDonald': 0.1448649282521683, 'Starbucks': 0.0308453490538819, 'al': 0.049845647416359294, 'Gal': 0.6426554795310269, 'restaurant': 0.028243964224139724}",Gal,False
20,"I don't like restaurants further away. Between Sheriff Broaster Chicken and Popeyes Louisiana Kitchen, I should go to ->",Sheriff Broaster Chicken,Popeyes Louisiana Kitchen,"{'Sheriff': 0.001839794497021485, 'sheriff': 3.2965071382455685e-05, 'her': 4.04999831460006e-05, 'P': 5.558734447347776e-05, 'Pop': 0.9977812604494734}",Pop,False
21,"I don't like restaurants further away. Between Pizzeria Via Mercanti and Cantine Bar & Grill, I should go to ->",Cantine Bar & Grill,Pizzeria Via Mercanti,"{'Cant': 2.6770366763077404e-05, 'Pizza': 4.157730884381341e-05, 'C': 2.012342497166128e-05, 'P': 0.9998816733661484, 'restaurant': 5.149154662322262e-06}",P,False
22,"I don't like restaurants further away. Between Sushi Shop and Sizzlers, I should go to ->",Sushi Shop,Sizzlers,"{'Z': 1.265097842413947e-05, 'S': 0.9997296217587867, 'Yes': 0.00011096863102169067, 'L': 1.2831069801489285e-05, 'restaurant': 2.680299293510011e-05}",S,False
23,"I don't like restaurants further away. Between Carole's Cheesecake Cafe and Dinah's Cupboard, I should go to ->",Dinah's Cupboard,Carole's Cheesecake Cafe,"{'Dim': 0.0011578180922939235, 'Car': 0.6912833163884952, 'Din': 0.3014876878400901, 'C': 0.0010177513949099584, 'ar': 0.0006424143869221975}",Car,False
24,"I don't like restaurants further away. Between Amaya Express and Oxygen Restaurant & Lounge, I should go to ->",Amaya Express,Oxygen Restaurant & Lounge,"{'Am': 0.020980958304659028, 'Yes': 0.014679735113471705, 'Oxy': 0.9251227385018658, 'O': 0.009394282682651809, 'm': 0.004724140685871374}",Oxy,False
25,"I don't like restaurants further away. Between LCBO and Mamma's Pizza, I should go to ->",Mamma's Pizza,LCBO,"{'LC': 0.881759681549975, 'Mam': 0.06891599361231253, 'Yes': 0.0025495561341553423, 'L': 0.01029050863838195, 'C': 0.030627615796546808}",LC,False
26,"I don't like restaurants further away. Between Branca and Druxy's Famous Deli, I should go to ->",Branca,Druxy's Famous Deli,"{'Fl': 0.007024340128923739, 'Br': 0.09383059532322972, 'Dru': 0.8663318371845447, 'dru': 0.002605037261605073, 'r': 0.005437024688485442}",Dru,False
27,"I don't like restaurants further away. Between Juice & Java Cafe and Eggspectation, I should go to ->",Juice & Java Cafe,Eggspectation,"{'Egg': 0.8388021389044544, 'Cafe': 0.004632711245911896, 'Yes': 0.0024492608348679916, 'Juice': 0.11978792396611718, 'Sauce': 0.002409609205553906}",Egg,False
28,"I don't like restaurants further away. Between Bagel Nash and Tortería San Cosme, I should go to ->",Tortería San Cosme,Bagel Nash,"{'or': 0.021919193729327564, 'Gor': 0.016650900165884563, 'Bag': 0.6633390512460107, 'T': 0.122472495590363, 'Tor': 0.135643223078631}",Bag,False
29,"I don't like restaurants further away. Between Bagel Nash and Watson's, I should go to ->",Watson's,Bagel Nash,"{'Watson': 0.6265755946960617, 'Bag': 0.3381295746530289, 'Yes': 0.00292012165762396, 'B': 0.010384712564355318, 'Water': 0.0022020511765756777}",Watson,True
30,"I don't like restaurants further away. Between Hina Sushi and Joe Badali's Ristorante Italiano & Bar, I should go to ->",Joe Badali's Ristorante Italiano & Bar,Hina Sushi,"{'oe': 0.000928376403680679, 'H': 0.9467349015409644, 'R': 0.025304136464303264, 'L': 4.6939500915046386e-05, 'Joe': 0.026679542653618115}",H,False
31,"I don't like restaurants further away. Between Watson's and Queen Slice, I should go to ->",Watson's,Queen Slice,"{'Q': 0.051045274743364705, 'Watson': 0.45151788251960756, 'King': 0.16702863737152449, 'ueen': 0.019781747695343892, 'Queen': 0.24864467741065688}",Watson,True
32,"I don't like restaurants further away. Between Tik Talk Cafe and z-teca Gourmet Burritos, I should go to ->",Tik Talk Cafe,z-teca Gourmet Burritos,"{'Nik': 0.002010437336962531, 'Z': 0.7242920383794326, 'z': 0.2697920774955702, 'Tik': 0.001596437810846039, '': 0.0004141033407290964}",Z,False
33,"I don't like restaurants further away. Between Hina Sushi and Hapa Toronto, I should go to ->",Hapa Toronto,Hina Sushi,"{'S': 1.623969506813007e-05, 'Yes': 2.1749604162945422e-05, 'H': 0.9998592612746238, 'L': 3.661480101453786e-05, 'K': 7.271666957946455e-06}",H,False
34,"I don't like restaurants further away. Between Milo's Pita and Bonne Journee, I should go to ->",Milo's Pita,Bonne Journee,"{'Le': 0.004968762320337135, 'on': 0.07858066517087156, 'Milo': 0.05871218457551634, 'B': 0.020321762963917096, 'Bon': 0.8189424878501217}",Bon,False
