,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like restaurants further away. If I were you, between Bagel Nash and Basil Express Restaurant I would go to -> Basil Express Restaurant. You don't like restaurants further away. If I were you, between Domino's Pizza and Pho 88 I would go to -> Pho 88. You don't like restaurants further away. If I were you, between Mysteriously Yours Dinner Theatre and Smoke's Weinerie I would go to -> Mysteriously Yours Dinner Theatre. You don't like restaurants further away. If I were you, between Top Sushi and The Empire I would go to -> The Empire. You don't like restaurants further away. If I were you, between To-ne Sushi and Popeyes Louisiana Kitchen I would go to -> Popeyes Louisiana Kitchen. You don't like restaurants further away. If I were you, between Tian An Cuisine and Roncy's Bean I would go to -> Tian An Cuisine. You don't like restaurants further away. If I were you, between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie I would go to -> Scaddabush Italian Kitchen & Bar. You don't like restaurants further away. If I were you, between Farmacia Health Bar and Mirage Grill & Lounge I would go to -> Farmacia Health Bar. You don't like restaurants further away. If I were you, between Queen Pita and La Cocina De Dona Luz I would go to ->",La Cocina De Dona Luz,Queen Pita,"{'a': 0.0020743405148187927, '': 0.002457987385178897, 'ueen': 0.006111944546796275, 'La': 0.4261728175400369, 'Queen': 0.5604634770313872}",Queen,False
1,"You don't like restaurants further away. If I were you, between La Cocina De Dona Luz and Queen Pita I would go to -> La Cocina De Dona Luz. You don't like restaurants further away. If I were you, between Pho 88 and Domino's Pizza I would go to -> Pho 88. You don't like restaurants further away. If I were you, between Mysteriously Yours Dinner Theatre and Smoke's Weinerie I would go to -> Mysteriously Yours Dinner Theatre. You don't like restaurants further away. If I were you, between The Empire and Top Sushi I would go to -> The Empire. You don't like restaurants further away. If I were you, between Popeyes Louisiana Kitchen and To-ne Sushi I would go to -> Popeyes Louisiana Kitchen. You don't like restaurants further away. If I were you, between Roncy's Bean and Tian An Cuisine I would go to -> Tian An Cuisine. You don't like restaurants further away. If I were you, between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie I would go to -> Scaddabush Italian Kitchen & Bar. You don't like restaurants further away. If I were you, between Mirage Grill & Lounge and Farmacia Health Bar I would go to -> Farmacia Health Bar. You don't like restaurants further away. If I were you, between Bagel Nash and Basil Express Restaurant I would go to ->",Basil Express Restaurant,Bagel Nash,"{'': 0.007770754617103629, 'Bag': 0.5178561386029663, 'Basil': 0.4656873186930784, 'basil': 0.001647106280693578, 'Bas': 0.0013395969417559347}",Bag,False
2,"You don't like restaurants further away. If I were you, between La Cocina De Dona Luz and Queen Pita I would go to -> La Cocina De Dona Luz. You don't like restaurants further away. If I were you, between Bagel Nash and Basil Express Restaurant I would go to -> Basil Express Restaurant. You don't like restaurants further away. If I were you, between Mysteriously Yours Dinner Theatre and Smoke's Weinerie I would go to -> Mysteriously Yours Dinner Theatre. You don't like restaurants further away. If I were you, between The Empire and Top Sushi I would go to -> The Empire. You don't like restaurants further away. If I were you, between To-ne Sushi and Popeyes Louisiana Kitchen I would go to -> Popeyes Louisiana Kitchen. You don't like restaurants further away. If I were you, between Tian An Cuisine and Roncy's Bean I would go to -> Tian An Cuisine. You don't like restaurants further away. If I were you, between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie I would go to -> Scaddabush Italian Kitchen & Bar. You don't like restaurants further away. If I were you, between Mirage Grill & Lounge and Farmacia Health Bar I would go to -> Farmacia Health Bar. You don't like restaurants further away. If I were you, between Domino's Pizza and Pho 88 I would go to ->",Pho 88,Domino's Pizza,"{'Ph': 0.34718597208262353, '': 0.0015868802454324414, 'om': 0.0036637773534367512, 'h': 0.001274154445975102, 'Dom': 0.6428749967130166}",Dom,False
3,"You don't like restaurants further away. If I were you, between Queen Pita and La Cocina De Dona Luz I would go to -> La Cocina De Dona Luz. You don't like restaurants further away. If I were you, between Basil Express Restaurant and Bagel Nash I would go to -> Basil Express Restaurant. You don't like restaurants further away. If I were you, between Pho 88 and Domino's Pizza I would go to -> Pho 88. You don't like restaurants further away. If I were you, between Top Sushi and The Empire I would go to -> The Empire. You don't like restaurants further away. If I were you, between Popeyes Louisiana Kitchen and To-ne Sushi I would go to -> Popeyes Louisiana Kitchen. You don't like restaurants further away. If I were you, between Tian An Cuisine and Roncy's Bean I would go to -> Tian An Cuisine. You don't like restaurants further away. If I were you, between Mirage Grill & Lounge and Farmacia Health Bar I would go to -> Farmacia Health Bar. You don't like restaurants further away. If I were you, between Beryl's Pepper Pot and Fit For Life I would go to -> Fit For Life. You don't like restaurants further away. If I were you, between Mysteriously Yours Dinner Theatre and Smoke's Weinerie I would go to ->",Mysteriously Yours Dinner Theatre,Smoke's Weinerie,"{'Myster': 0.8034937197115158, '': 0.0011084462710965763, 'Smoke': 0.19236218571689742, 'myster': 0.0011192796166905902, 'm': 0.00039533936896294313}",Myster,True
4,"You don't like restaurants further away. If I were you, between Queen Pita and La Cocina De Dona Luz I would go to -> La Cocina De Dona Luz. You don't like restaurants further away. If I were you, between Bagel Nash and Basil Express Restaurant I would go to -> Basil Express Restaurant. You don't like restaurants further away. If I were you, between Domino's Pizza and Pho 88 I would go to -> Pho 88. You don't like restaurants further away. If I were you, between Mysteriously Yours Dinner Theatre and Smoke's Weinerie I would go to -> Mysteriously Yours Dinner Theatre. You don't like restaurants further away. If I were you, between To-ne Sushi and Popeyes Louisiana Kitchen I would go to -> Popeyes Louisiana Kitchen. You don't like restaurants further away. If I were you, between Tian An Cuisine and Roncy's Bean I would go to -> Tian An Cuisine. You don't like restaurants further away. If I were you, between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie I would go to -> Scaddabush Italian Kitchen & Bar. You don't like restaurants further away. If I were you, between Mirage Grill & Lounge and Farmacia Health Bar I would go to -> Farmacia Health Bar. You don't like restaurants further away. If I were you, between The Empire and Top Sushi I would go to ->",The Empire,Top Sushi,"{'': 0.003909743922876791, 'The': 0.5501200455145266, 'he': 0.0013149455776846042, 'Top': 0.4407163534174524, 'op': 0.0015133826016054202}",The,True
5,"You don't like restaurants further away. If I were you, between La Cocina De Dona Luz and Queen Pita I would go to -> La Cocina De Dona Luz. You don't like restaurants further away. If I were you, between Bagel Nash and Basil Express Restaurant I would go to -> Basil Express Restaurant. You don't like restaurants further away. If I were you, between Pho 88 and Domino's Pizza I would go to -> Pho 88. You don't like restaurants further away. If I were you, between Mysteriously Yours Dinner Theatre and Smoke's Weinerie I would go to -> Mysteriously Yours Dinner Theatre. You don't like restaurants further away. If I were you, between The Empire and Top Sushi I would go to -> The Empire. You don't like restaurants further away. If I were you, between Roncy's Bean and Tian An Cuisine I would go to -> Tian An Cuisine. You don't like restaurants further away. If I were you, between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar I would go to -> Scaddabush Italian Kitchen & Bar. You don't like restaurants further away. If I were you, between Farmacia Health Bar and Mirage Grill & Lounge I would go to -> Farmacia Health Bar. You don't like restaurants further away. If I were you, between To-ne Sushi and Popeyes Louisiana Kitchen I would go to ->",Popeyes Louisiana Kitchen,To-ne Sushi,"{'pop': 0.000751878737756855, 'To': 0.7380653412661, 'op': 0.0009932153990201919, 'o': 0.0008859633268792491, 'Pop': 0.2565650346795064}",To,False
6,"You don't like restaurants further away. If I were you, between La Cocina De Dona Luz and Queen Pita I would go to -> La Cocina De Dona Luz. You don't like restaurants further away. If I were you, between Basil Express Restaurant and Bagel Nash I would go to -> Basil Express Restaurant. You don't like restaurants further away. If I were you, between Domino's Pizza and Pho 88 I would go to -> Pho 88. You don't like restaurants further away. If I were you, between Mysteriously Yours Dinner Theatre and Smoke's Weinerie I would go to -> Mysteriously Yours Dinner Theatre. You don't like restaurants further away. If I were you, between The Empire and Top Sushi I would go to -> The Empire. You don't like restaurants further away. If I were you, between To-ne Sushi and Popeyes Louisiana Kitchen I would go to -> Popeyes Louisiana Kitchen. You don't like restaurants further away. If I were you, between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie I would go to -> Scaddabush Italian Kitchen & Bar. You don't like restaurants further away. If I were you, between Farmacia Health Bar and Mirage Grill & Lounge I would go to -> Farmacia Health Bar. You don't like restaurants further away. If I were you, between Roncy's Bean and Tian An Cuisine I would go to ->",Tian An Cuisine,Roncy's Bean,"{'': 0.0008247403074758463, 'Tian': 0.2850402159704878, 'on': 0.00506822206700487, 'Ronnie': 0.0005482523962230224, 'Ron': 0.705089171338663}",Ron,False
7,"You don't like restaurants further away. If I were you, between La Cocina De Dona Luz and Queen Pita I would go to -> La Cocina De Dona Luz. You don't like restaurants further away. If I were you, between Bagel Nash and Basil Express Restaurant I would go to -> Basil Express Restaurant. You don't like restaurants further away. If I were you, between Pho 88 and Domino's Pizza I would go to -> Pho 88. You don't like restaurants further away. If I were you, between Top Sushi and The Empire I would go to -> The Empire. You don't like restaurants further away. If I were you, between Popeyes Louisiana Kitchen and To-ne Sushi I would go to -> Popeyes Louisiana Kitchen. You don't like restaurants further away. If I were you, between Roncy's Bean and Tian An Cuisine I would go to -> Tian An Cuisine. You don't like restaurants further away. If I were you, between Farmacia Health Bar and Mirage Grill & Lounge I would go to -> Farmacia Health Bar. You don't like restaurants further away. If I were you, between Fit For Life and Beryl's Pepper Pot I would go to -> Fit For Life. You don't like restaurants further away. If I were you, between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar I would go to ->",Scaddabush Italian Kitchen & Bar,Smoke's Weinerie,"{'Sc': 0.8920441875651354, 'Sm': 0.004185056811930934, 'Smoke': 0.09943120310929987, 'c': 0.0016136299669671083, 'm': 0.0007021875671183327}",Sc,True
8,"You don't like restaurants further away. If I were you, between La Cocina De Dona Luz and Queen Pita I would go to -> La Cocina De Dona Luz. You don't like restaurants further away. If I were you, between Basil Express Restaurant and Bagel Nash I would go to -> Basil Express Restaurant. You don't like restaurants further away. If I were you, between Domino's Pizza and Pho 88 I would go to -> Pho 88. You don't like restaurants further away. If I were you, between Smoke's Weinerie and Mysteriously Yours Dinner Theatre I would go to -> Mysteriously Yours Dinner Theatre. You don't like restaurants further away. If I were you, between Top Sushi and The Empire I would go to -> The Empire. You don't like restaurants further away. If I were you, between Popeyes Louisiana Kitchen and To-ne Sushi I would go to -> Popeyes Louisiana Kitchen. You don't like restaurants further away. If I were you, between Roncy's Bean and Tian An Cuisine I would go to -> Tian An Cuisine. You don't like restaurants further away. If I were you, between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar I would go to -> Scaddabush Italian Kitchen & Bar. You don't like restaurants further away. If I were you, between Mirage Grill & Lounge and Farmacia Health Bar I would go to ->",Farmacia Health Bar,Mirage Grill & Lounge,"{'Farm': 0.6034708748541044, '': 0.000841428092129079, 'Mirage': 0.3860762616461578, 'arm': 0.004436178372901574, 'Mir': 0.0009189209102277466}",Farm,True
9,"You don't like restaurants further away. If I were you, between Queen Pita and La Cocina De Dona Luz I would go to -> La Cocina De Dona Luz. You don't like restaurants further away. If I were you, between Basil Express Restaurant and Bagel Nash I would go to -> Basil Express Restaurant. You don't like restaurants further away. If I were you, between Pho 88 and Domino's Pizza I would go to -> Pho 88. You don't like restaurants further away. If I were you, between Smoke's Weinerie and Mysteriously Yours Dinner Theatre I would go to -> Mysteriously Yours Dinner Theatre. You don't like restaurants further away. If I were you, between The Empire and Top Sushi I would go to -> The Empire. You don't like restaurants further away. If I were you, between To-ne Sushi and Popeyes Louisiana Kitchen I would go to -> Popeyes Louisiana Kitchen. You don't like restaurants further away. If I were you, between Roncy's Bean and Tian An Cuisine I would go to -> Tian An Cuisine. You don't like restaurants further away. If I were you, between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar I would go to -> Scaddabush Italian Kitchen & Bar. You don't like restaurants further away. If I were you, between Fit For Life and Beryl's Pepper Pot I would go to ->",Fit For Life,Beryl's Pepper Pot,"{'': 0.0006311537905502168, 'Fit': 0.42261363912804845, 'it': 0.004042059256157206, 'B': 0.5688982405233279, 'fit': 0.0008034151330163294}",B,False
