,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for an affordable restaurant. Between Mt Everest Restaurant and Sizzlers, you should go to ->",Sizzlers,Mt Everest Restaurant,"{'restaurants': 1.350598512703631e-09, 'affordable': 2.394809859118172e-09, 't': 5.157179579549364e-09, 'Mt': 1.7479569538012954e-07, 'S': 0.9999998115819777}",S,True
1,"You are looking for an affordable restaurant. Between Oxygen Restaurant & Lounge and Falafel Hut Village, you should go to ->",Falafel Hut Village,Oxygen Restaurant & Lounge,"{'Oxy': 0.9319223902759278, 'al': 0.0035534333572103645, 'Bib': 0.0023174674637433776, 'O': 0.018475201603031885, 'Fal': 0.03963506788264589}",Oxy,False
2,"You are looking for an affordable restaurant. Between Buk Chang Dong Soon Tofu and Grappa Ristorante, you should go to ->",Buk Chang Dong Soon Tofu,Grappa Ristorante,"{'affordable': 0.0004926714677879342, 'Buk': 0.9962658598062846, 'Chinese': 0.0006020171648632894, 'Bib': 0.0008218584333023214, 'Gra': 0.0004683415596171385}",Buk,True
3,"You are looking for an affordable restaurant. Between Mirage Grill & Lounge and Ardor Bistro, you should go to ->",Ardor Bistro,Mirage Grill & Lounge,"{'restaurants': 0.0027964727166475013, 'affordable': 0.017555366365468266, 'Chand': 0.009839001958930425, 'Ard': 0.06718263315813172, 'Mirage': 0.8876302480804675}",Mirage,False
4,"You are looking for an affordable restaurant. Between Lebanese Bakery and Druxy's Famous Deli, you should go to ->",Druxy's Famous Deli,Lebanese Bakery,"{'Leban': 0.00023384688368711213, 'Lebanon': 0.0002191618631515254, 'Dru': 0.8360806911841844, 'Lebanese': 0.16259685890214637, 'Lah': 0.00029850526114815173}",Dru,True
5,"You are looking for an affordable restaurant. Between Fitness Avenue and 9 Restaurant, you should go to ->",Fitness Avenue,9 Restaurant,"{'fitness': 0.011955455232016075, 'Athlet': 0.0016147833175639405, 'Pizza': 0.007647289558525636, 'Fitness': 0.6778037413369921, '9': 0.29913906900326986}",Fitness,True
6,"You are looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and Mamma's Pizza, you should go to ->",Mamma's Pizza,Mysteriously Yours Dinner Theatre,"{'affordable': 0.0011716749180265475, 'Myster': 0.20373769934428068, 'Pizza': 0.003181092142864838, 'Mam': 0.782528801669368, 'myster': 0.0008451926233145402}",Mam,True
7,"You are looking for an affordable restaurant. Between Farmacia Health Bar and Shawarma Twist, you should go to ->",Shawarma Twist,Farmacia Health Bar,"{'Farm': 0.8813696861558458, 'Shaw': 0.08675707563200176, 'arm': 0.030300117154170934, 'farm': 0.0006996075660888638}",Farm,False
8,"You are looking for an affordable restaurant. Between Nutella Cafe by Pusateri's and Madras Pantry, you should go to ->",Madras Pantry,Nutella Cafe by Pusateri's,"{'Nut': 0.007695111668274759, 'ad': 0.00021390084316891972, 'Pizza': 0.00031032451048202016, 'P': 0.988304051642984, 'Mad': 0.002959810597572591}",P,False
9,"You are looking for an affordable restaurant. Between Taste of Greek Cuisine and Pho 88, you should go to ->",Pho 88,Taste of Greek Cuisine,"{'affordable': 8.712951161289751e-06, 'Ph': 0.9864901592375375, 'Sweet': 8.286523810320887e-06, 'Taste': 0.012751032885900827, 'T': 0.0007153268405981237}",Ph,True
10,"You are looking for an affordable restaurant. Between Thompson Rooftop and Carole's Cheesecake Cafe, you should go to ->",Carole's Cheesecake Cafe,Thompson Rooftop,"{'affordable': 0.0004611813077441986, 'Thompson': 0.3892180471048826, 'Car': 0.4626920615562109, 'hompson': 0.14649170108698145, 'ar': 0.00014295152088115203}",Car,True
11,"You are looking for an affordable restaurant. Between Anatolia Restaurant and Sizzlers, you should go to ->",Sizzlers,Anatolia Restaurant,"{'affordable': 3.027650571901361e-10, 'anat': 1.894765031559309e-09, 'Starbucks': 3.2911956886094934e-10, 'Anat': 1.1495896561544985e-06, 'S': 0.9999988569748532}",S,True
12,"You are looking for an affordable restaurant. Between Harry's Char Broil & Dining Lounge and Solero Mediterranean Bakery, you should go to ->",Solero Mediterranean Bakery,Harry's Char Broil & Dining Lounge,"{'arry': 0.027232765954102622, 'ol': 0.3371241563532418, 'Sol': 0.2622007886076813, 'Harry': 0.3708946199440973}",Harry,False
13,"You are looking for an affordable restaurant. Between Ici Bistro and It's All Grk, you should go to ->",It's All Grk,Ici Bistro,"{'If': 0.0035178903550303784, 'affordable': 0.000596053338962399, 'What': 0.0014442963948253858, 'I': 0.948390601204249, 'It': 0.04442897199207789}",I,False
14,"You are looking for an affordable restaurant. Between Ici Bistro and Pasta Pantry, you should go to ->",Pasta Pantry,Ici Bistro,"{'Past': 0.9205361379827921, 'Pizza': 0.000821100536383365, 'ast': 0.011153699972754033, 'I': 0.06552274137728185}",Past,True
15,"You are looking for an affordable restaurant. Between Branca and Kim PO Vietnamese, you should go to ->",Kim PO Vietnamese,Branca,"{'Br': 0.11727871471720318, 'im': 0.09644942512406522, 'Kom': 0.13445455743037307, 'Bib': 0.07486108371907246, 'Kim': 0.4766200721063768}",Kim,True
16,"You are looking for an affordable restaurant. Between Green Room and Mövenpick Café, you should go to ->",Green Room,Mövenpick Café,"{'affordable': 0.001192651379835632, 'reen': 0.022764597295159988, 'Starbucks': 0.0008684131302726479, 'M': 0.19570910115794796, 'Green': 0.7738038355161334}",Green,True
17,"You are looking for an affordable restaurant. Between Big Al's Diner and Basha Middle Eastern Grill, you should go to ->",Big Al's Diner,Basha Middle Eastern Grill,"{'iddle': 1.372868917946507e-07, 'B': 0.9959473896790785, 'Bib': 3.03480588900005e-05, 'Big': 0.003998539937986483, 'Middle': 2.2276483221509185e-05}",B,False
18,"You are looking for an affordable restaurant. Between Just Soups Take Out & Catering and Phil's Original BBQ, you should go to ->",Just Soups Take Out & Catering,Phil's Original BBQ,"{'hil': 0.3807900521354634, 'Just': 0.2324903174960942, 'Yes': 0.02723353120557767, 'Phil': 0.3079400370083436, 'ust': 0.01437164084433971}",hil,False
