,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like small cities. Between Monterrey and Florianópolis, you should visit ->",Monterrey,Florianópolis,"{'Rio': 0.0008398816238884063, 'Gu': 0.0039055662492222115, 'Monte': 0.0015109873011432714, 'Mon': 0.9778023152743385, 'Bel': 0.011694027939673307}",Mon,True
1,"You don't like small cities. Between Saint Petersburg and Kathmandu, you should visit ->",Saint Petersburg,Kathmandu,"{'Sant': 0.02824146191976319, 'Istanbul': 0.1044520149622505, 'S': 0.5669868317221518, 'St': 0.18344349281018782, 'Saint': 0.032326388528351714}",S,True
2,"You don't like small cities. Between Phoenix and Mandalay, you should visit ->",Phoenix,Mandalay,"{'S': 0.010283788044609483, 'hoenix': 0.0771667433799369, 'Chong': 0.023843987258352958, 'Detroit': 0.06707087385203649, 'Phoenix': 0.7538956317384975}",Phoenix,True
3,"You don't like small cities. Between Sydney and Antofagasta, you should visit ->",Sydney,Antofagasta,"{'Tokyo': 0.013269395308344343, 'Sydney': 0.7269065875549555, 'S': 0.2191972652577537, 'Ant': 0.02873340775220559, 'Kuala': 0.003964577448262324}",Sydney,True
4,"You don't like small cities. Between Buenos Aires and Port-Gentil, you should visit ->",Buenos Aires,Port-Gentil,"{'Barcelona': 0.0013931895781679668, 'Rio': 0.0014531378880967701, 'S': 0.0013363490139471365, 'Bel': 0.0052538454701470646, 'Buenos': 0.9875191756654523}",Buenos,True
5,"You don't like small cities. Between Ürümqi and Cotonou, you should visit ->",Ürümqi,Cotonou,"{'Tehran': 0.08711262999089392, 'Istanbul': 0.02738873997140243, 'C': 0.06203139196863862, 'ytes: \\xc4': 0.5236147892627909, 'Chong': 0.2740035271134758}",ytes: \xc4,False
6,"You don't like small cities. Between Tampa and Makurdi, you should visit ->",Tampa,Makurdi,"{'Tampa': 0.7957155947577613, 'T': 0.054450197632251146, 'Kuala': 0.03339500303241768, 'Fort': 0.009420209035829496, 'Detroit': 0.07380995240734033}",Tampa,True
7,"You don't like small cities. Between Phoenix and Podgorica, you should visit ->",Phoenix,Podgorica,"{'Barcelona': 0.015774657221727124, 'S': 0.00354361105401662, 'hoenix': 0.05432964785682949, 'Detroit': 0.0071479476888754775, 'Phoenix': 0.9053776767149473}",Phoenix,True
8,"You don't like small cities. Between Guangzhou and Mahajanga, you should visit ->",Guangzhou,Mahajanga,"{'big': 0.0012149228526097658, 'Gu': 0.6180702220914028, 'Guang': 0.2519966714726024, 'Chong': 0.1239680013881449, 'Kuala': 0.0010025642610900158}",Gu,True
9,"You don't like small cities. Between Medellín and Neuquén, you should visit ->",Medellín,Neuquén,"{'Madrid': 3.572799842298461e-06, 'Rio': 4.0311333228104265e-06, 'Gu': 4.125926323976379e-06, 'Med': 0.9999708405331456, 'Bel': 4.9161394505143845e-06}",Med,True
10,"You don't like small cities. Between Surabaya and Erbil, you should visit ->",Surabaya,Erbil,"{'Tokyo': 0.06643245910508475, 'Tehran': 0.1974248447447434, 'Istanbul': 0.18559015578281254, 'S': 0.08984649284131842, 'Sur': 0.16332433008392455}",Tehran,True
11,"You don't like small cities. Between Denver and Juba, you should visit ->",Denver,Juba,"{'Denver': 0.31062822496625864, 'Chong': 0.05278824213000822, 'enver': 0.053389408253614885, 'Seattle': 0.024821995588505667, 'Detroit': 0.49836143106844755}",Detroit,True
12,"You don't like small cities. Between Lagos and Yakutsk, you should visit ->",Lagos,Yakutsk,"{'Tokyo': 0.01236887057874971, 'Rio': 0.00860593669936547, 'city': 0.020354702758658864, 'Lag': 0.8308757699060741, 'Istanbul': 0.10263384780676409}",Lag,True
13,"You don't like small cities. Between Jakarta and Palermo, you should visit ->",Jakarta,Palermo,"{'Tokyo': 0.002449940354068539, 'Indonesia': 0.0009424127649575465, 'Istanbul': 0.003356791405805077, 'Kuala': 0.0015080588273171315, 'Jakarta': 0.9893842718197448}",Jakarta,True
14,"You don't like small cities. Between Karachi and Minneapolis, you should visit ->",Karachi,Minneapolis,"{'big': 0.001188663990041133, 'city': 0.0022445707022851094, 'Tehran': 0.011860888174248163, 'Karachi': 0.9776910926758944, 'Kh': 0.0037690888163899768}",Karachi,True
15,"You don't like small cities. Between Surabaya and Fukuoka, you should visit ->",Surabaya,Fukuoka,"{'Tai': 0.0018208799604256234, 'Tokyo': 0.9730876321276429, 'Singapore': 0.0005802984603313456, 'Fuk': 0.022216558272381594, 'Chong': 0.0008319693140289273}",Tokyo,False
16,"You don't like small cities. Between Kabul and Pretoria, you should visit ->",Kabul,Pretoria,"{'Tehran': 0.667046940487018, 'Istanbul': 0.0062279814717922394, 'Kabul': 0.30822982167151575, 'Kuala': 0.004423685972453338, 'Kh': 0.006996026037941623}",Tehran,True
17,"You don't like small cities. Between Lagos and Surabaya, you should visit ->",Lagos,Surabaya,"{'Tokyo': 0.05983894953692468, 'Rio': 0.026861592519854146, 'city': 0.021098570280792955, 'Lag': 0.706453956675273, 'Istanbul': 0.11399188697569414}",Lag,True
18,"You don't like small cities. Between Bangkok and Curitiba, you should visit ->",Bangkok,Curitiba,"{'Tokyo': 0.0030556458535853704, 'Dh': 0.00039887798094994883, 'Bangkok': 0.9945379077687803, 'ang': 0.0005176870235236423, 'Kuala': 0.0006380244196745546}",Bangkok,True
19,"You don't like small cities. Between Lima and Pretoria, you should visit ->",Lima,Pretoria,"{'Rio': 0.005293678003181043, 'S': 0.002257311670665614, 'Bel': 0.002697882696738474, 'Lima': 0.978882285706653, 'Chong': 0.0028127078836400177}",Lima,True
20,"You don't like small cities. Between Denver and Podgorica, you should visit ->",Denver,Podgorica,"{'Denver': 0.20177291441831352, 'Barcelona': 0.060550091368991754, 'Chong': 0.04911112457937641, 'enver': 0.059230059744932104, 'Detroit': 0.4782238072812793}",Detroit,True
21,"You don't like small cities. Between Mexico City and Ouahigouya, you should visit ->",Mexico City,Ouahigouya,"{'Madrid': 0.015148799365032967, 'city': 0.01527708936457844, 'Gu': 0.011492082028638408, 'exico': 0.009778723743749088, 'Mexico': 0.8875051951141076}",Mexico,True
22,"You don't like small cities. Between Mumbai and Pontianak, you should visit ->",Mumbai,Pontianak,"{'Tokyo': 0.0011366605018066982, 'Dh': 0.00046339719456913575, 'Mumbai': 0.9942784471863481, 'S': 0.0002829829243860272, 'Bombay': 0.002205403706485901}",Mumbai,True
23,"You don't like small cities. Between Melbourne and Nouakchott, you should visit ->",Melbourne,Nouakchott,"{'Adelaide': 0.04374583809328216, 'Ou': 0.24567506258169655, 'Kuala': 0.0399342590773549, 'Acc': 0.10099343138983514, 'Detroit': 0.30505551577613954}",Detroit,False
24,"You don't like small cities. Between Douala and Ségou, you should visit ->",Douala,Ségou,"{'Gu': 0.04129258644878961, 'S': 0.8348194625696577, 'Bel': 0.004466442716711496, 'Dou': 0.0116724723492714, 'Acc': 0.08196581572824028}",S,False
25,"You don't like small cities. Between Brisbane and Kuopio, you should visit ->",Brisbane,Kuopio,"{'Tai': 0.01129629255020846, 'Singapore': 0.024838872833989292, 'Chong': 0.07026378937465312, 'Kuala': 0.842183714750232, 'Detroit': 0.019196448327549225}",Kuala,False
26,"You don't like small cities. Between Buenos Aires and Panama City, you should visit ->",Buenos Aires,Panama City,"{'Barcelona': 0.0035374965191469253, 'Rio': 0.007377931235941312, 'S': 0.0046109226546168555, 'Bel': 0.01846079102623876, 'Buenos': 0.9539394110313911}",Buenos,True
27,"You don't like small cities. Between Guangzhou and Boise, you should visit ->",Guangzhou,Boise,"{'big': 0.0018342995260975945, 'city': 0.001521521740301677, 'Gu': 0.472442940588384, 'Guang': 0.4109950945329806, 'Chong': 0.11101561631975611}",Gu,True
28,"You don't like small cities. Between Guangzhou and Ouahigouya, you should visit ->",Guangzhou,Ouahigouya,"{'big': 0.0008431703874853915, 'city': 0.0009292214248746006, 'Gu': 0.6855382862302636, 'Guang': 0.21905310280437953, 'Chong': 0.09100491162688625}",Gu,True
29,"You don't like small cities. Between Shanghai and Cape Town, you should visit ->",Shanghai,Cape Town,"{'city': 0.0006636205716852585, 'Shanghai': 0.9090181300082335, 'S': 0.0528287198286971, 'Chong': 0.03482891313302339, 'Detroit': 0.0005131273489672357}",Shanghai,True
30,"You don't like small cities. Between Rome and La Paz, you should visit ->",Rome,La Paz,"{'Rome': 0.997655671939304, 'Rio': 0.0003256504471085943, 'Romans': 0.0005892040498069386, 'Istanbul': 0.0003747647733040295, 'Roma': 0.0005285956949902838}",Rome,True
31,"You don't like small cities. Between Chicago and Novosibirsk, you should visit ->",Chicago,Novosibirsk,"{'Tokyo': 0.0003673179632966721, 'hicago': 0.01179698368620461, 'S': 0.0004283146795243418, 'Chicago': 0.9652661013129694, 'Detroit': 0.021225117730832323}",Chicago,True
32,"You don't like small cities. Between Ankara and Wellington, you should visit ->",Ankara,Wellington,"{'Tehran': 0.00873540649614324, 'Istanbul': 0.8721376604887107, 'Ankara': 0.10910671925511786, 'ytes: \\xc4': 0.00900956579479346, 'Ant': 0.0002963047714713211}",Istanbul,True
33,"You don't like small cities. Between Ürümqi and Ndola, you should visit ->",Ürümqi,Ndola,"{'Tehran': 0.127758310394803, 'Istanbul': 0.03279340010991024, 'ytes: \\xc4': 0.6697543068796791, 'N': 0.015400312154426925, 'Chong': 0.12730100229015595}",ytes: \xc4,False
