,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like cheap restaurants. Between Milo's Pita and Domino's Pizza, I should go to ->",Domino's Pizza,Milo's Pita,"{'Pizza': 0.00012052070428504388, 'DOM': 1.5949708575960404e-05, 'om': 0.008584154287230248, 'Milo': 0.2378780337262403, 'Dom': 0.7533062178772243}",Dom,True
1,"I don't like cheap restaurants. Between Bake Island and Aroma Espresso Bar, I should go to ->",Aroma Espresso Bar,Bake Island,"{'baked': 1.563293245553669e-07, 'bake': 0.00011868495648194034, 'A': 0.9906625552228777, '': 1.5489552183193715e-07, 'Bake': 0.009218283777583434}",A,True
2,"I don't like cheap restaurants. Between Pisco 1641 and Shawarma Twist, I should go to ->",Pisco 1641,Shawarma Twist,"{'Shaw': 0.4827750832185157, 'S': 1.7809493377832504e-06, 'haw': 2.3125656009125745e-06, 'P': 0.5172125019531681, '': 1.2020068776848892e-06}",P,True
3,"I don't like cheap restaurants. Between Sky Dragon Chinese Restaurant and Hapa Toronto, I should go to ->",Hapa Toronto,Sky Dragon Chinese Restaurant,"{'ky': 2.477216748100008e-07, 'S': 5.149454279690806e-08, 'H': 0.999981092236754, '': 9.416286005874735e-08, 'Sky': 1.8517543091364566e-05}",H,True
4,"I don't like cheap restaurants. Between Topham Corner and Top Sushi, I should go to ->",Topham Corner,Top Sushi,"{'Bottom': 6.568493838991932e-06, 'T': 0.8430091137056414, 'S': 0.0006655815421410961, 'Top': 0.15140489604915233, 'op': 0.004902802493061019}",T,False
5,"I don't like cheap restaurants. Between New Bilan Restaurant and Green Grotto, I should go to ->",Green Grotto,New Bilan Restaurant,"{'reen': 0.0013473176351979051, 'S': 0.00010133223338888761, 'Green': 0.8060164316667514, 'ew': 0.0015381890439654371, 'New': 0.1895700055977488}",Green,True
6,"I don't like cheap restaurants. Between Supermodel Pizza and Chipotle Mexican Grill, I should go to ->",Chipotle Mexican Grill,Supermodel Pizza,"{'chip': 1.4569926243308507e-05, 'Chip': 0.996459100821467, 'Super': 6.703048781892825e-05, 'hip': 0.0034120114280105657}",Chip,True
7,"I don't like cheap restaurants. Between Dinah's Cupboard and McDonald's, I should go to ->",Dinah's Cupboard,McDonald's,"{'McDonald': 0.019327228001554248, 'din': 6.698466087116787e-06, 'Din': 0.980645629129734, 'Starbucks': 5.664578899290363e-06, 'in': 6.7915456912186725e-06}",Din,True
8,"I don't like cheap restaurants. Between Magic Oven and Falafel Hut Village, I should go to ->",Magic Oven,Falafel Hut Village,"{'fal': 7.00684520710098e-06, 'al': 6.406182617018332e-06, 'Magic': 0.0011755337255601591, 'Fal': 0.9980690313234584}",Fal,False
9,"I don't like cheap restaurants. Between Lahore Grill & Fast Food and Watson's, I should go to ->",Watson's,Lahore Grill & Fast Food,"{'Watson': 3.4908171071939034e-09, 'Lah': 1.0, 'Punjab': 3.0018775110800107e-10, 'L': 2.0163578450178093e-09, 'ah': 3.479365431679092e-10}",Lah,False
10,"I don't like cheap restaurants. Between Lebanese Bakery and Fit For Life, I should go to ->",Lebanese Bakery,Fit For Life,"{'it': 0.0008988566420513119, 'Fit': 0.9968446248929289, 'Lebanese': 0.0019944678621201476, 'F': 5.7258869601089975e-05}",Fit,False
11,"I don't like cheap restaurants. Between Buk Chang Dong Soon Tofu and JJ Bean, I should go to ->",JJ Bean,Buk Chang Dong Soon Tofu,"{'J': 0.006996224028280043, 'B': 0.00015831909071859992, 'Buk': 0.7616333858523314, 'JJ': 0.22995179016684536, 'Bok': 0.00021036572381425483}",Buk,False
12,"I don't like cheap restaurants. Between Fitness Avenue and Tierra Azteca, I should go to ->",Tierra Azteca,Fitness Avenue,"{'fitness': 0.0005189871158802884, 'Tier': 0.1363385838502506, 'Athlet': 0.0014582523220178394, 'Fitness': 0.860433230656505, 'ier': 0.0006094787952805451}",Fitness,False
13,"I don't like cheap restaurants. Between Buk Chang Dong Soon Tofu and Edible Arrangements, I should go to ->",Edible Arrangements,Buk Chang Dong Soon Tofu,"{'Ed': 0.21155203127393954, 'Buk': 0.7864940041273671, 'Bok': 2.1876369980535594e-05, 'River': 1.0618476586913498e-05, 'd': 0.001785997314800722}",Buk,False
14,"I don't like cheap restaurants. Between Aroma Espresso Bar and The Coffee Pocket, I should go to ->",Aroma Espresso Bar,The Coffee Pocket,"{'A': 0.9819064479688591, '': 5.241814641183392e-08, 'B': 3.3259945559465566e-08, 'R': 5.622850512520755e-08, 'The': 0.018093314022031844}",A,True
15,"I don't like cheap restaurants. Between Hapa Toronto and Falafel Hut Village, I should go to ->",Hapa Toronto,Falafel Hut Village,"{'Hut': 3.6201579263814694e-07, 'H': 0.9908153826529671, '': 2.593490256640682e-06, 'al': 2.5605458667747195e-05, 'Fal': 0.00915544952936964}",H,True
16,"I don't like cheap restaurants. Between Modo Mio Italian Bistro and Madras Pantry, I should go to ->",Modo Mio Italian Bistro,Madras Pantry,"{'ad': 6.020729702231103e-05, 'MOD': 1.4609362027395865e-05, 'Mod': 0.8682898252468757, 'Mad': 0.1301884061030689, 'od': 0.0014151393106173196}",Mod,True
17,"I don't like cheap restaurants. Between Grappa Ristorante and Top Sushi, I should go to ->",Grappa Ristorante,Top Sushi,"{'Gor': 1.784512850270294e-05, 'R': 2.8442814363394e-05, 'ra': 0.002057141255566214, 'Top': 8.834958998614499e-05, 'Gra': 0.997783762987791}",Gra,True
18,"I don't like cheap restaurants. Between Queen Slice and Modo Mio Italian Bistro, I should go to ->",Modo Mio Italian Bistro,Queen Slice,"{'Q': 8.520955351137067e-05, 'MOD': 2.4008923121174395e-05, 'Mod': 0.993375139491509, 'od': 0.0013489065199085834, 'Queen': 0.005115531371643123}",Mod,True
19,"I don't like cheap restaurants. Between La Cocina De Dona Luz and The Empire, I should go to ->",La Cocina De Dona Luz,The Empire,"{'a': 0.000479640496644954, 'Don': 0.0012664792150343589, 'The': 0.10347750840381954, 'La': 0.8944552010137082, 'Lu': 0.00016684872406403446}",La,True
20,"I don't like cheap restaurants. Between Tierra Azteca and Sichuan Landscape Chinese Restaurant, I should go to ->",Sichuan Landscape Chinese Restaurant,Tierra Azteca,"{'tier': 5.822610210382507e-07, 'Tier': 0.001408077049622878, 'T': 1.1595842758133885e-06, 'S': 0.9985825289624206, 'ier': 7.28836730992799e-06}",S,True
21,"I don't like cheap restaurants. Between Sushi Shop and Dinah's Cupboard, I should go to ->",Dinah's Cupboard,Sushi Shop,"{'din': 1.0683482284052802e-08, 'Din': 4.9672405518979644e-05, 'in': 6.463124288987188e-09, 'Ich': 7.051164898091402e-09, 'S': 0.9999503383831789}",S,False
22,"I don't like cheap restaurants. Between Chick Fiesta and EJ Sushi, I should go to ->",EJ Sushi,Chick Fiesta,"{'chick': 0.0002843473510678685, 'S': 0.003483356285926289, 'Chick': 0.2815265555422644, '': 0.0005010929225128774, 'E': 0.7139770000332377}",E,True
23,"I don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Basil Express Restaurant, I should go to ->",Basil Express Restaurant,St. Clair Shawarma and Falafel,"{'fal': 0.00035769460295555645, 'Basil': 0.0559606899454378, 'al': 0.010975036437289884, 'St': 0.00662377784734547, 'Fal': 0.9249777831262929}",Fal,True
24,"I don't like cheap restaurants. Between It's All Grk and Goldstone Noodle Restaurant, I should go to ->",It's All Grk,Goldstone Noodle Restaurant,"{'If': 0.00044616442855392713, 't': 0.0014253726367113256, 'old': 0.0005506302647015714, 'Gold': 0.0670754348265298, 'It': 0.9294758535959246}",It,True
25,"I don't like cheap restaurants. Between Sweet Jesus and Galata Cafe, I should go to ->",Galata Cafe,Sweet Jesus,"{'Sweet': 0.005965603828333691, 'al': 0.004992202918515814, 'Gal': 0.9886840346794602, 'Cy': 3.3569356803833072e-06, 'gal': 0.0003318007233937799}",Gal,True
26,"I don't like cheap restaurants. Between Chick Fiesta and Tierra Azteca, I should go to ->",Tierra Azteca,Chick Fiesta,"{'tier': 0.00034998614149266133, 'Tier': 0.9650340000995941, 'T': 0.00046203204861127454, 'Chick': 0.028674108679198194, 'ier': 0.005028109049724343}",Tier,True
27,"I don't like cheap restaurants. Between Tik Talk Cafe and Lahore Grill & Fast Food, I should go to ->",Tik Talk Cafe,Lahore Grill & Fast Food,"{'Chand': 1.7008835255170246e-09, 'Lah': 0.9999980234482534, 'T': 4.782335042981047e-10, 'L': 4.2173540538394595e-10, 'Tik': 2.0563797995988904e-06}",Lah,False
28,"I don't like cheap restaurants. Between Anatolia Restaurant and Villa Madina, I should go to ->",Anatolia Restaurant,Villa Madina,"{'Athlet': 8.720469323407712e-06, 'anat': 0.00013540855721001213, 'Villa': 0.7315786320797596, 'Anat': 0.26821494133786183, 'vill': 6.8973726102485455e-06}",Villa,False
