,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the restaurants nearby. If I were you, between Amaya Express and Hina Sushi I would go to ->",Hina Sushi,Amaya Express,"{'No': 0.0001348457534217116, 'Am': 0.09577438593054037, 'A': 6.590290733856829e-05, 'H': 0.9037212029252102, 'm': 0.00024929365974211086}",H,True
1,"You don't like the restaurants nearby. If I were you, between Falafel House and Tortería San Cosme I would go to ->",Falafel House,Tortería San Cosme,"{'No': 0.014598346647533181, 'or': 0.011225318181106074, 'T': 0.0048528020431746095, 'Tor': 0.6396413694009184, 'Fal': 0.32579826766546943}",Tor,False
2,"You don't like the restaurants nearby. If I were you, between Pho 88 and Domino's Pizza I would go to ->",Domino's Pizza,Pho 88,"{'Ph': 0.9820083122995533, 'No': 8.751319289704762e-05, 'Dim': 1.961190247308745e-06, 'om': 3.860838797689173e-05, 'Dom': 0.017853709093310546}",Ph,False
3,"You don't like the restaurants nearby. If I were you, between Thai 4 You Restaurant and Domino's Pizza I would go to ->",Domino's Pizza,Thai 4 You Restaurant,"{'No': 9.02952230343402e-05, 'Pizza': 0.00011930718551943184, 'om': 0.006864134651011718, 'omin': 7.496029384633263e-05, 'Dom': 0.9927136485141448}",Dom,True
4,"You don't like the restaurants nearby. If I were you, between Branca and Nutella Cafe by Pusateri's I would go to ->",Nutella Cafe by Pusateri's,Branca,"{'Nut': 0.0472312277633081, 'No': 0.001869270558282034, 'Br': 0.7858946724884125, 'P': 0.15716123910019625, 'r': 0.0058474348563238515}",Br,False
5,"You don't like the restaurants nearby. If I were you, between Topham Corner and Pasta Pantry I would go to ->",Topham Corner,Pasta Pantry,"{'Past': 0.07224977978158391, 'No': 8.138293098527761e-05, 'ast': 6.258762394266285e-05, 'T': 0.9275926753289847}",T,True
6,"You don't like the restaurants nearby. If I were you, between St. Clair Shawarma and Falafel and Tian An Cuisine I would go to ->",St. Clair Shawarma and Falafel,Tian An Cuisine,"{'No': 0.0014200559595665368, 'Tian': 0.9125031659475022, 'T': 0.00039917226196368495, 'al': 0.001220396467095709, 'Fal': 0.0835695382744175}",Tian,False
7,"You don't like the restaurants nearby. If I were you, between Eggspectation and El Fogón I would go to ->",Eggspectation,El Fogón,"{'No': 0.000684791257307849, 'Egg': 0.7041955088106482, 'El': 0.2920054828519206, 'Fog': 0.00024301655241728976, 'l': 0.0016954365833798065}",Egg,True
8,"You don't like the restaurants nearby. If I were you, between Milestones Restaurants and Viccino Pizzeria I would go to ->",Viccino Pizzeria,Milestones Restaurants,"{'No': 0.01097240823080344, 'Vic': 0.4035888569607105, 'il': 0.004036173053226699, 'Mil': 0.5671933092145283, 'V': 0.0022541394443369054}",Mil,False
9,"You don't like the restaurants nearby. If I were you, between Sheriff Broaster Chicken and Aroma Espresso Bar I would go to ->",Aroma Espresso Bar,Sheriff Broaster Chicken,"{'Sheriff': 0.024835698628877134, 'No': 6.47178180158353e-05, 'sheriff': 1.2300163536793766e-05, 'her': 4.22666161423602e-05, 'A': 0.975021257166406}",A,True
