,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a city with cold weather. Between Suva and Berlin, I should visit ->",Berlin,Suva,"{'Berlin': 0.9998734480383752, 'er': 2.131488293295093e-05, 'W': 1.1792769129005908e-05, 'Germany': 6.677151436708248e-05, 'Dresden': 6.661352606258297e-06}",Berlin,True
1,"I'm looking for a city with cold weather. Between Baghdad and Halifax, I should visit ->",Halifax,Baghdad,"{'Nova': 0.00020795039339505686, 'Har': 0.001374993878326081, 'Halifax': 0.9978218484224182, 'al': 0.00020333087087279962, 'Dartmouth': 0.0001191181142963104}",Halifax,True
2,"I'm looking for a city with cold weather. Between Abéché and Kuopio, I should visit ->",Kuopio,Abéché,"{'Ku': 0.9874567713629868, 'u': 0.003974560909484892, 'O': 0.00036373186368747723, 'Helsinki': 0.002663146394860144, 'K': 0.0049015470461093915}",Ku,True
3,"I'm looking for a city with cold weather. Between Garoua and Milan, I should visit ->",Milan,Garoua,"{'Milan': 0.9998556845944702, 'il': 1.7818844159609762e-05, 'Stockholm': 1.1039111504707998e-05, 'Italy': 5.468949032469482e-05, 'Detroit': 9.927607951636246e-06}",Milan,True
4,"I'm looking for a city with cold weather. Between Riyadh and Indianapolis, I should visit ->",Indianapolis,Riyadh,"{'Indiana': 0.007193767160668515, 'Indianapolis': 0.9808224172250073, 'Tehran': 0.0004161124590424782, 'Indy': 0.008453193331072617, 'Riyadh': 0.002032809200388892}",Indianapolis,True
5,"I'm looking for a city with cold weather. Between Lagos and Podgorica, I should visit ->",Podgorica,Lagos,"{'Pod': 0.9008846535917717, 'Split': 0.0019712462934365345, 'Sof': 0.0046176147273263805, 'od': 0.06614604358238152, 'Monteneg': 0.012216465573651575}",Pod,True
6,"I'm looking for a city with cold weather. Between Mexicali and Milan, I should visit ->",Milan,Mexicali,"{'Milan': 0.9998960950834898, 'il': 2.2260205062666185e-05, 'Mil': 5.120159331312924e-06, 'Italy': 3.8642764737580526e-05, 'Detroit': 8.485523195104297e-06}",Milan,True
7,"I'm looking for a city with cold weather. Between Mendoza and Irkutsk, I should visit ->",Irkutsk,Mendoza,"{'r': 0.0013508795231976455, 'Siberia': 0.003169064959694036, 'Siberian': 0.0037520872269026875, 'Ir': 0.9872630543107893, 'Ark': 0.0018099329112483426}",Ir,True
8,"I'm looking for a city with cold weather. Between San Juan and Baltimore, I should visit ->",Baltimore,San Juan,"{'Baltimore': 0.9955624601051035, 'Maryland': 0.00020794145172038832, 'Orioles': 1.2778838465997511e-05, 'altimore': 0.00416555982762879, 'Balt': 3.4706068554689346e-05}",Baltimore,True
9,"I'm looking for a city with cold weather. Between Garissa and Chicago, I should visit ->",Chicago,Garissa,"{'hicago': 0.001869858910299059, 'cago': 9.19438119647696e-06, 'Chicago': 0.9980071626424347, 'Detroit': 1.0022529991672026e-05, 'Illinois': 8.959760215539732e-05}",Chicago,True
