,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a city with warm weather. If I were you, between Dar es Salaam and Indianapolis I would visit ->",Dar es Salaam,Indianapolis,"{'Tam': 0.0019197799670584033, 'Dh': 0.002227783798501898, 'ar': 0.008994823803884574, 'Tanzania': 0.002853751027693402, 'Dar': 0.9821775328022477}",Dar,True
1,"You are looking for a city with warm weather. If I were you, between Caracas and Omaha I would visit ->",Caracas,Omaha,"{'Venezuela': 0.0008652327604538374, 'CAR': 0.00022108330096994906, 'Car': 0.9975666803336791, 'Gu': 0.00031053280810459076, 'ar': 0.000591552453319463}",Car,True
2,"You are looking for a city with warm weather. If I were you, between Phnom Penh and Irkutsk I would visit ->",Phnom Penh,Irkutsk,"{'Ph': 0.8525788341701913, 'Cambod': 0.002705447353867081, 'h': 0.0005009177710454274, 'Cambodia': 0.011277493105860242, 'Kh': 0.13265653959374066}",Ph,True
3,"You are looking for a city with warm weather. If I were you, between Parakou and Skopje I would visit ->",Parakou,Skopje,"{'ar': 0.00041678306472853216, 'Gu': 0.00021056945642558247, 'Par': 0.9987699870867647, 'PAR': 7.206305920248533e-05, 'Acc': 0.00010393893445249255}",Par,True
4,"You are looking for a city with warm weather. If I were you, between Mandalay and Podgorica I would visit ->",Mandalay,Podgorica,"{'Mog': 2.5969416520116112e-05, 'M': 0.00014798450287303473, 'Mandal': 0.999721039216797, '': 2.2381652937739647e-05, 'Jay': 1.147705193659244e-05}",Mandal,True
5,"You are looking for a city with warm weather. If I were you, between Rosario and Novosibirsk I would visit ->",Rosario,Novosibirsk,"{'Ros': 0.9959290911066006, 'Rio': 9.198546339276247e-05, 'os': 0.002677731494989326, 'ROS': 0.001093586518788733, 'ro': 3.2141195554864534e-05}",Ros,True
6,"You are looking for a city with warm weather. If I were you, between Bata and Lviv I would visit ->",Bata,Lviv,"{'Gu': 8.969336019317831e-07, '': 2.01719039762212e-07, 'B': 0.999988126385492, 'Bel': 2.964213248277379e-07, 'Bat': 9.383309800400902e-06}",B,True
7,"You are looking for a city with warm weather. If I were you, between Tampa and Ushuaia I would visit ->",Tampa,Ushuaia,"{'Tampa': 0.9952373736436209, 'T': 0.000468294868291246, 'U': 0.00042207117373906734, 'Florida': 0.00011586266391801559, 'warm': 0.0025887809234622283}",Tampa,True
8,"You are looking for a city with warm weather. If I were you, between Bangui and Baku I would visit ->",Bangui,Baku,"{'Bou': 1.255789741738769e-07, 'Br': 1.7508557194378242e-07, 'Gu': 2.047231838508401e-06, 'C': 8.473060215588432e-08, 'B': 0.9999971861801588}",B,False
9,"You are looking for a city with warm weather. If I were you, between San Juan and Indianapolis I would visit ->",San Juan,Indianapolis,"{'Sant': 8.844259088501466e-06, 'Puerto': 4.7160310091655775e-06, 'Juan': 9.800245780160264e-05, 'Gu': 4.2504232149392525e-06, 'San': 0.999875355148815}",San,True
10,"You are looking for a city with warm weather. If I were you, between Garissa and Erzurum I would visit ->",Garissa,Erzurum,"{'ar': 0.0029626030153841717, 'G': 9.838797171957704e-05, 'Er': 7.35679565495384e-05, 'gar': 4.422651773598501e-05, 'Gar': 0.996766720542423}",Gar,True
11,"You are looking for a city with warm weather. If I were you, between Wau and Johannesburg I would visit ->",Wau,Johannesburg,"{'Gu': 3.357043104043852e-06, 'Jos': 9.91255918774699e-06, 'W': 0.9998487705763223, 'Johannes': 0.0001291099746657345, '': 9.577720796154577e-07}",W,True
