,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like cheap restaurants. If I were you, between Adega Restaurante and St. Louis Bar & Grill I would go to ->",Adega Restaurante,St. Louis Bar & Grill,"{'Ad': 0.07587079888739749, 'd': 0.0016512655253364144, 'Conv': 0.003911687157388699, 'St': 0.9133058590981312, 'expensive': 0.0008680059400081309}",St,False
1,"You don't like cheap restaurants. If I were you, between Beryl's Pepper Pot and Aris Place I would go to ->",Beryl's Pepper Pot,Aris Place,"{'A': 7.762316005258255e-08, '': 6.895793934027301e-07, 'B': 0.999998499344226, 'Conv': 7.061360539756e-08, 'Ar': 4.762966321610962e-07}",B,True
2,"You don't like cheap restaurants. If I were you, between New Bilan Restaurant and Daily Press Juicery I would go to ->",Daily Press Juicery,New Bilan Restaurant,"{'aily': 0.01209654989115464, 'Conv': 0.034180020552258765, 'expensive': 0.007477599208091549, 'Daily': 0.79081304647745, 'New': 0.13157826938231063}",Daily,True
3,"You don't like cheap restaurants. If I were you, between Nook and McDonald's I would go to ->",Nook,McDonald's,"{'Conv': 0.00029617590692580196, 'R': 0.0003374269214953917, 'N': 0.996691857600977, '': 0.0009515838986221763, 'expensive': 0.0004576443060152118}",N,True
4,"You don't like cheap restaurants. If I were you, between KFC and Mysteriously Yours Dinner Theatre I would go to ->",Mysteriously Yours Dinner Theatre,KFC,"{'Myster': 0.9926280576537665, 'My': 0.0031117811490322584, 'Conv': 0.002102134546026414, 'expensive': 0.00014206767917484308, 'myster': 0.001158563967291332}",Myster,True
5,"You don't like cheap restaurants. If I were you, between Sichuan Landscape Chinese Restaurant and Mamma's Pizza I would go to ->",Sichuan Landscape Chinese Restaurant,Mamma's Pizza,"{'S': 0.9999331723880643, 'Conv': 5.686202110957831e-06, 'R': 4.437985503091961e-06, 'L': 1.5160214936214393e-05, 'expensive': 1.0191413560370775e-05}",S,True
6,"You don't like cheap restaurants. If I were you, between Sheriff Broaster Chicken and Adega Restaurante I would go to ->",Adega Restaurante,Sheriff Broaster Chicken,"{'Ad': 0.03575567432712967, 'Sheriff': 0.8350792904640391, 'her': 0.007894620506533386, 'Conv': 0.09804087455229162, 'expensive': 0.005001074948275002}",Sheriff,False
7,"You don't like cheap restaurants. If I were you, between Thompson Rooftop and Viccino Pizzeria I would go to ->",Thompson Rooftop,Viccino Pizzeria,"{'Thompson': 0.7321678924863219, 'Conv': 0.04036656240338276, 'R': 0.030474232149834645, 'hompson': 0.14709084351221735, 'expensive': 0.010852851743804291}",Thompson,True
8,"You don't like cheap restaurants. If I were you, between Druxy's Famous Deli and Green Grotto I would go to ->",Green Grotto,Druxy's Famous Deli,"{'Gor': 3.8938775668555176e-05, 'Dru': 0.9997791515806034, 'Druid': 1.625521138478208e-05, 'Green': 7.954234791106627e-05, 'dru': 3.7824689771585975e-05}",Dru,False
9,"You don't like cheap restaurants. If I were you, between Ici Bistro and Paradise Farms Prime Beef Bistro I would go to ->",Ici Bistro,Paradise Farms Prime Beef Bistro,"{'Ich': 5.22403743526664e-06, 'I': 0.9996307383138845, 'Conv': 2.9846618727573078e-05, '': 0.0003107748074085951, 'expensive': 7.440035035929885e-06}",I,True
10,"You don't like cheap restaurants. If I were you, between Edible Arrangements and Tortería San Cosme I would go to ->",Edible Arrangements,Tortería San Cosme,"{'or': 0.00631761825650621, 'Ed': 0.010137407339016377, 'Gor': 0.0006130573929897843, 'Conv': 0.007269626967235589, 'Tor': 0.9741815513690496}",Tor,False
11,"You don't like cheap restaurants. If I were you, between Thompson Rooftop and Joe Badali's Ristorante Italiano & Bar I would go to ->",Thompson Rooftop,Joe Badali's Ristorante Italiano & Bar,"{'Thompson': 0.7426796757778189, 'Conv': 0.022230381270133655, 'R': 0.019445496075003475, 'hompson': 0.15379359004342757, 'expensive': 0.01072819775107617}",Thompson,True
12,"You don't like cheap restaurants. If I were you, between Tim Hortons and Basha Middle Eastern Grill I would go to ->",Basha Middle Eastern Grill,Tim Hortons,"{'b': 3.7622032026703555e-08, '': 1.0231402332384003e-06, 'B': 0.9999989771165232, 'Conv': 4.2688515659098396e-09, 'Tim': 1.0898006002462066e-08}",B,True
13,"You don't like cheap restaurants. If I were you, between Cantine Bar & Grill and Hapa Toronto I would go to ->",Hapa Toronto,Cantine Bar & Grill,"{'Cant': 0.9996861110734403, 'cant': 8.176363280087081e-05, 'Gor': 1.044367527108688e-05, 'C': 1.7952162082589538e-05, 'Conv': 0.00014672668316840812}",Cant,False
14,"You don't like cheap restaurants. If I were you, between Edible Arrangements and La Pupusa Loka I would go to ->",Edible Arrangements,La Pupusa Loka,"{'a': 0.004057813488779896, 'Ed': 0.0378350824363367, 'Conv': 0.0032048586261115815, 'L': 0.14892399557386765, 'La': 0.802989717679239}",La,False
15,"You don't like cheap restaurants. If I were you, between Ardor Bistro and Falafel House I would go to ->",Ardor Bistro,Falafel House,"{'ard': 0.0015963800208432912, 'Ard': 0.99082229658683, 'Conv': 0.0037668431087427637, 'expensive': 0.0007057722250036895, 'Ar': 0.0009837797669867262}",Ard,True
16,"You don't like cheap restaurants. If I were you, between Queen Pita and Grappa Ristorante I would go to ->",Grappa Ristorante,Queen Pita,"{'Gro': 0.000477901936636403, 'Gor': 0.005359064782499202, 'ra': 0.028348504543161367, 'Gra': 0.9643648122658438, 'gra': 0.0004465855386822398}",Gra,True
17,"You don't like cheap restaurants. If I were you, between Mamma's Pizza and 9 Restaurant I would go to ->",9 Restaurant,Mamma's Pizza,"{'': 0.0010950976955643964, 'Conv': 0.0006552229490606294, '2': 0.0011898588408847388, 'expensive': 0.0009104972309885251, '9': 0.9902419250196037}",9,True
18,"You don't like cheap restaurants. If I were you, between Adega Restaurante and Cafe Jules I would go to ->",Adega Restaurante,Cafe Jules,"{'Ad': 0.9865482740980553, 'd': 0.012906278249499761, 'Conv': 0.0003247983596591509, 'expensive': 7.337164535818798e-05, 'Ast': 7.05749771914881e-06}",Ad,True
19,"You don't like cheap restaurants. If I were you, between Shawarma Twist and Hapa Toronto I would go to ->",Hapa Toronto,Shawarma Twist,"{'Shaw': 0.0639916930589881, 'Conv': 5.470847087077176e-05, 'H': 0.9351337797330603, '': 0.0007132696630547849, 'expensive': 3.174323265717596e-05}",H,True
20,"You don't like cheap restaurants. If I were you, between Capitol Trattoria Pizzeria and Lahore Grill & Fast Food I would go to ->",Capitol Trattoria Pizzeria,Lahore Grill & Fast Food,"{'Capitol': 0.9761286985439466, 'ap': 0.0017174227724042212, 'Lah': 0.002058885833543462, 'Conv': 0.015693651679880415, 'Cap': 0.0011650158347462237}",Capitol,True
21,"You don't like cheap restaurants. If I were you, between Galata Cafe and Itamae Ayce Sushi I would go to ->",Galata Cafe,Itamae Ayce Sushi,"{'t': 0.002016433342973666, 'Shell': 0.0006943761787514332, 'it': 0.0012998674256294853, 'Gal': 0.006681142988551319, 'It': 0.9881077731970984}",It,False
22,"You don't like cheap restaurants. If I were you, between Sheriff Broaster Chicken and Top Sushi I would go to ->",Sheriff Broaster Chicken,Top Sushi,"{'Sheriff': 0.9783242714532773, 'Shell': 0.0011838938503026912, 'her': 0.0091349048974001, 'Conv': 0.007034318260039828, 'expensive': 0.0007182534907788095}",Sheriff,True
23,"You don't like cheap restaurants. If I were you, between Lahore Grill & Fast Food and Verona Restaurant I would go to ->",Verona Restaurant,Lahore Grill & Fast Food,"{'er': 5.8972460158937264e-05, 'Lah': 0.9943105157685386, 'ver': 4.054273694512768e-06, 'Conv': 1.1747407265242036e-05, 'Ver': 0.005606573670249125}",Lah,False
24,"You don't like cheap restaurants. If I were you, between Freshii and Green Room I would go to ->",Freshii,Green Room,"{'Fl': 0.000382739100746673, 'Fresh': 0.99488218626289, 'Conv': 0.0013365735394410935, 'Loaded': 0.0008889315695922145, 'expensive': 0.0006202192583139696}",Fresh,True
25,"You don't like cheap restaurants. If I were you, between Amaya Express and Falafel Hut Village I would go to ->",Amaya Express,Falafel Hut Village,"{'Am': 0.9941093513081125, 'Conv': 0.001238591539722439, 'al': 0.00020081489391779241, 'm': 0.0015762526334196594, 'Fal': 0.002115744328557896}",Am,True
26,"You don't like cheap restaurants. If I were you, between Bake Island and The Duke of Devon I would go to ->",The Duke of Devon,Bake Island,"{'the': 2.154773380066973e-06, 'THE': 3.629241756505378e-08, 'Conv': 4.0435205830792255e-08, 'The': 0.9999977840931551, 'he': 1.27566887763219e-07}",The,True
27,"You don't like cheap restaurants. If I were you, between LCBO and Bonne Journee I would go to ->",LCBO,Bonne Journee,"{'Shell': 0.00037135317277186837, 'LC': 0.9878176777041087, 'L': 6.415965317802735e-05, 'C': 0.01167752762418667, 'expensive': 2.1735819284174432e-05}",LC,True
28,"You don't like cheap restaurants. If I were you, between Ciao Europa wine bar and KFC I would go to ->",Ciao Europa wine bar,KFC,"{'C': 0.9999911075055384, '': 9.778456514205162e-07, 'Conv': 5.082979731545146e-07, 'R': 3.3990828694606963e-07, 'K': 6.301833091403493e-06}",C,True
29,"You don't like cheap restaurants. If I were you, between El Fogón and Edible Arrangements I would go to ->",Edible Arrangements,El Fogón,"{'Ed': 0.0002577251115902652, 'El': 0.9928880517541575, 'Conv': 0.0013464685538192467, 'expensive': 0.0006119710380619027, 'l': 0.0034089996107821204}",El,False
30,"You don't like cheap restaurants. If I were you, between Viccino Pizzeria and Eastern legend I would go to ->",Viccino Pizzeria,Eastern legend,"{'vic': 0.000818237926469102, 'Vic': 0.8633240033030011, 'higher': 0.0007395421348143452, 'Conv': 0.12220772722459756, 'expensive': 0.0044756038402038855}",Vic,True
31,"You don't like cheap restaurants. If I were you, between Farmacia Health Bar and Cake Opera I would go to ->",Cake Opera,Farmacia Health Bar,"{'Farm': 0.9372221016376141, 'Garden': 0.020762039161551445, 'Conv': 0.01933111316482839, 'arm': 0.005903581962502571, 'expensive': 0.0036476724490033}",Farm,False
32,"You don't like cheap restaurants. If I were you, between Juice & Java Cafe and Buk Chang Dong Soon Tofu I would go to ->",Juice & Java Cafe,Buk Chang Dong Soon Tofu,"{'Shell': 0.009353188292092801, 'Juice': 0.3909212445002973, 'Buk': 0.4983192963907193, 'Sauce': 0.054174524971830146, 'Bulk': 0.02564385262069165}",Buk,False
33,"You don't like cheap restaurants. If I were you, between JJ Bean and Branca I would go to ->",Branca,JJ Bean,"{'Br': 0.9799351401775885, 'Shell': 0.00015977132240974716, 'B': 0.00018687978664378804, 'Conv': 0.0005627531954034222, 'r': 0.01864578805412955}",Br,True
34,"You don't like cheap restaurants. If I were you, between Pisco 1641 and Sushi World I would go to ->",Pisco 1641,Sushi World,"{'T': 1.095719762816219e-05, 'S': 0.00017689786957048923, 'P': 0.9997179378470109, 'R': 1.618426636006335e-05, 'expensive': 1.8580554148933638e-05}",P,True
35,"You don't like cheap restaurants. If I were you, between Sushi Shop and Lahore Grill & Fast Food I would go to ->",Sushi Shop,Lahore Grill & Fast Food,"{'Lah': 0.9999920621045053, 'S': 7.753540346544835e-06, 'Conv': 1.893810134480224e-08, 'L': 6.0423786095507e-08, 'expensive': 3.372987141719635e-08}",Lah,False
36,"You don't like cheap restaurants. If I were you, between Beryl's Pepper Pot and Cafe Jules I would go to ->",Beryl's Pepper Pot,Cafe Jules,"{'A': 1.2484611887517846e-08, '': 5.265876723773165e-07, 'B': 0.9999994539509491, 'Conv': 1.6613885754712443e-08, 'expensive': 1.2541257846921197e-08}",B,True
37,"You don't like cheap restaurants. If I were you, between Tierra Azteca and Delicious Paradise Kitchen I would go to ->",Tierra Azteca,Delicious Paradise Kitchen,"{'tier': 0.00017232402278087854, 'Tier': 0.9943457423283267, 'ier': 0.00539589661706562, 'expensive': 2.7017574400058824e-05}",Tier,True
