,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Basil Express Restaurant and LCBO, the nearest restaurant is ->",Basil Express Restaurant,LCBO,"{'LC': 0.027340498896296195, 'Basil': 0.8788138135014774, 'basil': 0.05029880296862871, 'L': 0.0201481984809149, 'C': 0.00828817068039545}",Basil,True
1,"Between Topham Corner and Watson's, the nearest restaurant is ->",Watson's,Topham Corner,"{'Watson': 0.6438860754511914, 'T': 0.3554107201848447, 'W': 0.00043371947665654204, '': 0.00011911430257764065, 'Water': 8.58512852374151e-05}",Watson,True
2,"Between Just Soups Take Out & Catering and Domino's Pizza, the nearest restaurant is ->",Just Soups Take Out & Catering,Domino's Pizza,"{'Nik': 0.0002369493861938279, 'Just': 0.9905137827484101, 'JUST': 0.000739895202528199, 'Yes': 0.0010287903339353788, 'ust': 0.006926733038160336}",Just,True
3,"Between Bonne Journee and Juice & Java Cafe, the nearest restaurant is ->",Juice & Java Cafe,Bonne Journee,"{'on': 0.03211084678014486, 'B': 0.019253382873488215, 'Juice': 0.010514296252787114, 'restaurant': 0.0032662687520179008, 'Bon': 0.9227527378697766}",Bon,False
4,"Between Mirage Grill & Lounge and Pho 88, the nearest restaurant is ->",Pho 88,Mirage Grill & Lounge,"{'Nik': 3.7786184936969175e-05, 'nearest': 5.0962015339700414e-05, 'ir': 0.00011590368656162205, 'Mirage': 0.9992667332315701, 'restaurant': 0.0002674176204479941}",Mirage,False
5,"Between Joe Badali's Ristorante Italiano & Bar and Fit For Life, the nearest restaurant is ->",Fit For Life,Joe Badali's Ristorante Italiano & Bar,"{'nearest': 3.7685562289600124e-05, 'Ace': 7.572327356926546e-05, 'oe': 0.023288120458395463, 'jo': 0.0004107131578073905, 'Joe': 0.9759460116806489}",Joe,False
6,"Between Phil's Original BBQ and Popeyes Louisiana Kitchen, the nearest restaurant is ->",Popeyes Louisiana Kitchen,Phil's Original BBQ,"{'Nik': 0.0023035796416373947, 'hil': 0.01592401391509899, 'Phil': 0.9212729076069548, 'phil': 0.0003432535400640382, 'Pop': 0.058933782256568895}",Phil,False
7,"Between Cantine Bar & Grill and Carole's Cheesecake Cafe, the nearest restaurant is ->",Cantine Bar & Grill,Carole's Cheesecake Cafe,"{'Cant': 0.004773891397821986, 'Car': 0.9943161783830502, 'nearby': 8.47582051890626e-05, 'restaurant': 0.00031027144952756864, 'ar': 9.916543915422829e-05}",Car,False
8,"Between Assembly Chef's Hall and Anatolia Restaurant, the nearest restaurant is ->",Anatolia Restaurant,Assembly Chef's Hall,"{'Assembly': 0.9575972236710912, 'assembly': 0.0021105768082790247, 'Nik': 0.0022688744669281807, 'Anat': 0.027363329537767597, 'ssembly': 0.0033023342898852105}",Assembly,False
9,"Between Pisco 1641 and Cafe Jules, the nearest restaurant is ->",Pisco 1641,Cafe Jules,"{'Casey': 3.866148314845519e-08, 'Cafe': 0.9996735934822022, 'P': 0.00032343836101456856, 'Café': 1.9412976689060774e-07, 'J': 2.5367013552086405e-06}",Cafe,False
