,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for a city with warm weather. Between Muscat and Nur-Sultan, this person should visit ->",Muscat,Nur-Sultan,"{'us': 0.0051612266751457645, 'Dh': 0.00028390383111024005, 'Mus': 0.9808185439649294, 'Mog': 0.00021678748848588932, 'Oman': 0.013115831067004455}",Mus,True
1,"Someone is looking for a city with warm weather. Between Djibouti and Perth, this person should visit ->",Djibouti,Perth,"{'Dj': 0.9990155006378039, 'Dh': 0.0005672645979719607, 'j': 3.23442919261584e-05, 'D': 0.0001087422668444718, 'dj': 0.00015213610654305355}",Dj,True
2,"Someone is looking for a city with warm weather. Between Jakarta and Sapporo, this person should visit ->",Jakarta,Sapporo,"{'Singapore': 0.00019715072899119954, 'Indones': 0.00026007097069114085, 'Indonesia': 0.0043995927463032405, 'Jakarta': 0.9943035426933426, 'Java': 0.00021933550810146493}",Jakarta,True
3,"Someone is looking for a city with warm weather. Between Surabaya and Berlin, this person should visit ->",Surabaya,Berlin,"{'Singapore': 0.0042642413156218995, 'ur': 0.009758983827621234, 'Indonesia': 0.0022599135921292325, 'B': 0.04863032361264285, 'Sur': 0.9324527490575079}",Sur,True
4,"Someone is looking for a city with warm weather. Between Kathmandu and Kuopio, this person should visit ->",Kathmandu,Kuopio,"{'Living': 0.0001382654734687832, 'Kath': 0.9984279732305772, 'Nepal': 0.000347034277664955, 'K': 0.0005906946740667058, 'Kh': 0.00033545189327017426}",Kath,True
5,"Someone is looking for a city with warm weather. Between Muscat and Fianarantsoa, this person should visit ->",Muscat,Fianarantsoa,"{'us': 0.004918913038598677, 'Dh': 0.0003386684340012313, 'Mus': 0.9824217344545093, 'Mog': 0.00027587657066771267, 'Oman': 0.011373110930278992}",Mus,True
6,"Someone is looking for a city with warm weather. Between Port Moresby and Antofagasta, this person should visit ->",Port Moresby,Antofagasta,"{'M': 0.05184811499156285, 'Ant': 0.17426842431173503, 'Port': 0.537778561109589, 'Papua': 0.017769176145311216, 'Hon': 0.20957091509994125}",Port,True
7,"Someone is looking for a city with warm weather. Between Quito and Ulaanbaatar, this person should visit ->",Quito,Ulaanbaatar,"{'QU': 0.0002514644324740016, 'Gu': 0.014984619059371568, 'Qu': 0.9612268487285432, 'Ecuador': 0.021291177371188044, 'u': 0.0017574260710510883}",Qu,True
8,"Someone is looking for a city with warm weather. Between Monterrey and Dublin, this person should visit ->",Monterrey,Dublin,"{'Gu': 2.5194445611079465e-05, 'Monte': 7.581882789783316e-06, 'Mon': 0.9999498606320202, 'N': 3.5452176625217014e-06, 'Ver': 2.303398308640729e-06}",Mon,True
9,"Someone is looking for a city with warm weather. Between Manaus and Kunming, this person should visit ->",Manaus,Kunming,"{'Mana': 4.405908838970729e-06, 'Man': 0.9999769219003034, 'Salvador': 3.1697272968685004e-06, 'M': 9.138658095150367e-06, 'Amazon': 2.867474158042669e-06}",Man,True
