,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between St. Louis Bar & Grill and Adega Restaurante, the more affordable restaurant is ->",St. Louis Bar & Grill,Adega Restaurante,"{'Ad': 0.9953359608686073, 'Starbucks': 2.6423468086951538e-05, 'd': 0.0037462722502938305, 'H': 9.595234394364675e-06, 'St': 0.000816821474864065}",Ad,False
1,"Between Beryl's Pepper Pot and Aris Place, the more affordable restaurant is ->",Aris Place,Beryl's Pepper Pot,"{'r': 0.0008399588965522917, 'B': 0.8296915531260789, 'Bib': 0.00011422058763229313, 'Cy': 4.591273630391194e-05, 'Ar': 0.1692795988597249}",B,False
2,"Between New Bilan Restaurant and Daily Press Juicery, the more affordable restaurant is ->",New Bilan Restaurant,Daily Press Juicery,"{'Poor': 8.831558194096911e-05, 'aily': 0.015593849582478666, 'daily': 7.132369197316951e-05, 'Daily': 0.9837705165666414, 'New': 0.00041116029801691517}",Daily,False
3,"Between Nook and McDonald's, the more affordable restaurant is ->",McDonald's,Nook,"{'McDonald': 0.9901552598682526, 'Starbucks': 0.00011340500861105457, 'MacDonald': 9.662964304490328e-05, 'N': 0.009207821436167413, 'c': 0.0002503904646336386}",McDonald,True
4,"Between KFC and Mysteriously Yours Dinner Theatre, the more affordable restaurant is ->",KFC,Mysteriously Yours Dinner Theatre,"{'Hue': 1.037049392155642e-06, 'Kom': 0.00011952177328116844, '': 1.4252146942022704e-05, 'k': 3.112469507545255e-05, 'K': 0.9998323177002486}",K,True
5,"Between Mamma's Pizza and Sichuan Landscape Chinese Restaurant, the more affordable restaurant is ->",Mamma's Pizza,Sichuan Landscape Chinese Restaurant,"{'Pizza': 0.001545454248301207, 'Mam': 0.9884485957498089, 'S': 0.009733143130051615, 'Mama': 9.002951472555322e-05, '808': 5.902001112228941e-05}",Mam,True
6,"Between Sheriff Broaster Chicken and Adega Restaurante, the more affordable restaurant is ->",Sheriff Broaster Chicken,Adega Restaurante,"{'Ad': 0.6083705472153454, 'Sheriff': 0.38881835427992395, 'sheriff': 0.0004090652005822931, 'd': 0.0013711712189796409, 'her': 0.0005366711685964622}",Ad,False
7,"Between Thompson Rooftop and Viccino Pizzeria, the more affordable restaurant is ->",Viccino Pizzeria,Thompson Rooftop,"{'Thompson': 0.0328910465363624, 'vic': 0.00033833196483071563, 'Vic': 0.961079626004004, 'hompson': 0.0022271244720826642, 'V': 0.0031486597275681557}",Vic,True
8,"Between Druxy's Famous Deli and Green Grotto, the more affordable restaurant is ->",Druxy's Famous Deli,Green Grotto,"{'Dru': 0.9901838133871784, 'Hue': 0.0006682975830621675, 'Green': 0.007561212636501707, 'dru': 0.0003635276128688568, 'Cy': 0.0005782229714067943}",Dru,True
9,"Between Paradise Farms Prime Beef Bistro and Ici Bistro, the more affordable restaurant is ->",Paradise Farms Prime Beef Bistro,Ici Bistro,"{'Paradise': 0.6776568365201391, 'Cafe': 4.390914259495447e-05, 'paradise': 0.00019063899440978287, 'I': 0.321640987855153, '808': 0.00033655388095124323}",Paradise,True
10,"Between Tortería San Cosme and Edible Arrangements, the more affordable restaurant is ->",Tortería San Cosme,Edible Arrangements,"{'or': 5.510627816509372e-06, 'Ed': 0.9973330884440266, 'Hue': 2.1498725428012437e-06, 'Tor': 0.0003569627940368222, 'd': 0.0022936255586334378}",Ed,False
11,"Between Joe Badali's Ristorante Italiano & Bar and Thompson Rooftop, the more affordable restaurant is ->",Joe Badali's Ristorante Italiano & Bar,Thompson Rooftop,"{'Thompson': 0.021266993693083807, 'oe': 0.037382309293897284, 'Pizza': 7.04126234855684e-05, 'hompson': 0.0011332054280499668, 'Joe': 0.9399776280012332}",Joe,True
12,"Between Tim Hortons and Basha Middle Eastern Grill, the more affordable restaurant is ->",Tim Hortons,Basha Middle Eastern Grill,"{'im': 0.04523336503329069, 'Timothy': 1.417092822578912e-05, 'TIM': 0.00010915125249997844, 'tim': 0.00045555764319291526, 'Tim': 0.954175982038785}",Tim,True
13,"Between Hapa Toronto and Cantine Bar & Grill, the more affordable restaurant is ->",Cantine Bar & Grill,Hapa Toronto,"{'h': 2.505198392341871e-10, 'Hue': 5.679383817150714e-08, 'H': 0.9999999317236823, '': 1.006721230720627e-08, '808': 2.398369016647836e-10}",H,False
14,"Between Edible Arrangements and La Pupusa Loka, the more affordable restaurant is ->",La Pupusa Loka,Edible Arrangements,"{'a': 0.007465080980691929, 'Ed': 0.6006893900053027, 'Hue': 0.0014587724275251712, 'La': 0.384827060160764, 'd': 0.004401109547328531}",Ed,False
15,"Between Ardor Bistro and Falafel House, the more affordable restaurant is ->",Falafel House,Ardor Bistro,"{'Chand': 0.00014954084376575562, 'fal': 0.00045140888976992607, 'al': 9.497189996122785e-05, 'Fal': 0.9971854482983769}",Fal,True
16,"Between Queen Pita and Grappa Ristorante, the more affordable restaurant is ->",Queen Pita,Grappa Ristorante,"{'queen': 0.0001552307249142936, 'King': 0.0002049347340508839, 'ueen': 0.005051904389247889, 'Queen': 0.994394677772279, 'Golden': 3.812409732646046e-05}",Queen,True
17,"Between Mamma's Pizza and 9 Restaurant, the more affordable restaurant is ->",Mamma's Pizza,9 Restaurant,"{'Pizza': 0.00479576712060785, 'Mam': 0.990931134485155, 'Mama': 0.00015954795860910495, '808': 0.003191113064513145, '9': 0.0002836484326088055}",Mam,True
18,"Between Cafe Jules and Adega Restaurante, the more affordable restaurant is ->",Cafe Jules,Adega Restaurante,"{'Starbucks': 8.507411663338071e-08, 'cafe': 3.701879797275034e-08, 'Cafe': 0.9999999317236823, 'Café': 2.6811042519036824e-08, 'cafes': 1.32859213563785e-09}",Cafe,True
19,"Between Shawarma Twist and Hapa Toronto, the more affordable restaurant is ->",Shawarma Twist,Hapa Toronto,"{'Shaw': 0.003175190971317089, 'Hue': 1.5107431029869392e-07, 'haw': 4.97745965255901e-07, 'H': 0.9968241833082219, '': 8.33801137715675e-08}",H,False
20,"Between Lahore Grill & Fast Food and Capitol Trattoria Pizzeria, the more affordable restaurant is ->",Lahore Grill & Fast Food,Capitol Trattoria Pizzeria,"{'Ali': 1.0423978152672167e-07, 'Chand': 3.060332462579326e-06, 'Lah': 0.9999964709302271, 'Hue': 7.437068437308327e-08, 'H': 1.70903289314024e-07}",Lah,True
