,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like hot weather. Between Darwin and Fukuoka, this person should visit ->",Fukuoka,Darwin,"{'Tokyo': 0.002241560508694313, 'Edmonton': 0.00012820538624098835, 'Fuk': 0.9946437063711918, 'Hiroshima': 0.0023347783906729545, 'Fuji': 0.00012083047835786155}",Fuk,True
1,"Someone doesn't like hot weather. Between Viedma and Saskatoon, this person should visit ->",Saskatoon,Viedma,"{'Winnipeg': 8.703032759519128e-06, 'Sask': 0.9914512451998405, 'Saskatchewan': 0.008525820620296151, 'C': 4.004471284564977e-06, 'cold': 2.705274965500358e-06}",Sask,True
2,"Someone doesn't like hot weather. Between Napier and Kuopio, this person should visit ->",Kuopio,Napier,"{'Ni': 0.001033400973578162, 'Ku': 0.010494300276648666, 'Nap': 0.9722343342097333, 'ap': 0.004947266881704425, 'Ark': 0.005219272263129992}",Nap,False
3,"Someone doesn't like hot weather. Between Panama City and Mendoza, this person should visit ->",Mendoza,Panama City,"{'Mend': 0.8839284398650987, 'San': 0.08588805643470222, 'C': 0.0041217229965380756, 'M': 0.014651533107767739, 'Paso': 0.0027560438919389855}",Mend,True
4,"Someone doesn't like hot weather. Between San Juan and Sacramento, this person should visit ->",Sacramento,San Juan,"{'Sacrament': 0.0003250456252834887, 'Sacramento': 0.9964215482738924, 'San': 0.0031918056111867412, 'S': 7.425919816039801e-06, 'California': 2.2265971202460282e-05}",Sacramento,True
5,"Someone doesn't like hot weather. Between Phnom Penh and Napier, this person should visit ->",Napier,Phnom Penh,"{'Nap': 0.9969813594848972, 'Mon': 0.0001477915090526426, 'ap': 0.0024713295347034295, 'Dun': 7.04907544005986e-05, 'Ark': 5.353890350517876e-05}",Nap,True
6,"Someone doesn't like hot weather. Between Cabo San Lucas and Saint Petersburg, this person should visit ->",Saint Petersburg,Cabo San Lucas,"{'Petersburg': 0.00024253318781056754, 'cold': 1.5477038801408468e-05, 'aint': 8.208838707902618e-05, 'St': 0.8956018800970238, 'Saint': 0.10397622622112558}",St,True
7,"Someone doesn't like hot weather. Between Abéché and Los Angeles, this person should visit ->",Los Angeles,Abéché,"{'os': 0.005596247472784989, 'San': 8.986068782003073e-05, 'Los': 0.9936670819917717, 'Angeles': 8.826446201967063e-05, 'LA': 0.0004141089311619314}",Los,True
8,"Someone doesn't like hot weather. Between Perth and Anchorage, this person should visit ->",Anchorage,Perth,"{'Alaska': 0.0045251493357460326, 'cold': 0.001493585012899619, 'Anchorage': 0.985656412630339, 'Ash': 0.0009016375030471874, 'Ark': 0.0039225410819583055}",Anchorage,True
9,"Someone doesn't like hot weather. Between Kuwait City and Indianapolis, this person should visit ->",Indianapolis,Kuwait City,"{'Indiana': 0.0006305025866689448, 'Indianapolis': 0.9900210296583201, 'Colts': 0.00011214240736535701, 'Indy': 0.008897704116151154, 'ndian': 8.499067613670283e-05}",Indianapolis,True
10,"Someone doesn't like hot weather. Between Caracas and Kuopio, this person should visit ->",Kuopio,Caracas,"{'Ku': 0.9540074197961472, 'Car': 0.005854720617380382, 'u': 0.027760700764061265, 'Helsinki': 0.002172464590330295, 'Ark': 0.0019542925852596323}",Ku,True
11,"Someone doesn't like hot weather. Between Hanoi and Wellington, this person should visit ->",Wellington,Hanoi,"{'Wellington': 0.9994873297103454, 'W': 2.2161721812136012e-05, 'Well': 0.0002778189265042133, 'ell': 0.0001394693770717003, 'New': 1.5287103400782665e-05}",Wellington,True
12,"Someone doesn't like hot weather. Between Pretoria and Minneapolis, this person should visit ->",Minneapolis,Pretoria,"{'Min': 3.3624049099867125e-05, 'Minneapolis': 0.9989844445258587, 'Winnipeg': 0.0001441588127181573, 'Timberwolves': 2.8508650227134372e-05, 'Minnesota': 0.0007017701003182243}",Minneapolis,True
13,"Someone doesn't like hot weather. Between Barranquilla and Calgary, this person should visit ->",Calgary,Barranquilla,"{'Alberta': 0.0006427879309653732, 'Calgary': 0.99688825504546, 'Edmonton': 0.0021015733510254915, 'Winnipeg': 5.9276299678657296e-05, 'Bar': 8.900526790855753e-05}",Calgary,True
14,"Someone doesn't like hot weather. Between Piura and Brussels, this person should visit ->",Brussels,Piura,"{'Belgium': 0.00019997743955577738, 'Brussels': 0.971383365957297, 'Br': 0.02732964687250362, 'Bru': 0.0005975222717248459, 'r': 0.00011642165505253431}",Brussels,True
15,"Someone doesn't like hot weather. Between Karachi and Melbourne, this person should visit ->",Melbourne,Karachi,"{'Melbourne': 0.9993260985736337, 'el': 0.0003704796650090891, 'Victorian': 9.436380310780279e-05, 'Adelaide': 8.883356456915362e-05, 'Mel': 2.5663238464953125e-05}",Melbourne,True
16,"Someone doesn't like hot weather. Between Yaoundé and Minsk, this person should visit ->",Minsk,Yaoundé,"{'Winnipeg': 4.513823833586957e-07, 'Belarus': 3.869318777147146e-05, 'M': 0.9999484301997679, 'Bel': 3.9537011925250733e-07, '': 9.801020941595924e-06}",M,True
17,"Someone doesn't like hot weather. Between Mumbai and Lyon, this person should visit ->",Lyon,Mumbai,"{'on': 8.175514503070392e-07, 'Lyon': 0.9999207737185676, 'Lyons': 4.67664730308051e-05, 'Marse': 2.7762066040639435e-05, 'cold': 8.700283844720942e-07}",Lyon,True
18,"Someone doesn't like hot weather. Between Hat Yai and Belgrade, this person should visit ->",Belgrade,Hat Yai,"{'el': 9.915731714264243e-06, 'Serbia': 6.8522465222810525e-06, 'Bel': 0.9999654772559237, 'Serbian': 5.9928467998321155e-06, 'Sof': 2.9861712784300836e-06}",Bel,True
19,"Someone doesn't like hot weather. Between Garoua and Omaha, this person should visit ->",Omaha,Garoua,"{'Om': 0.00011996494294368653, 'Nebraska': 0.0005275942687762286, 'Omaha': 0.8338700200737258, 'O': 0.16413332895753024, '': 0.001023488181573443}",Omaha,True
20,"Someone doesn't like hot weather. Between Bangui and Podgorica, this person should visit ->",Podgorica,Bangui,"{'Pir': 0.00013033402236148258, 'Pod': 0.9872365298706268, 'pod': 9.819286530289589e-05, 'B': 0.0003433658709986859, 'od': 0.011803792509948292}",Pod,True
21,"Someone doesn't like hot weather. Between Caracas and Ushuaia, this person should visit ->",Ushuaia,Caracas,"{'San': 0.010068924302032493, 'Ant': 0.0006122085901157691, 'Conce': 0.00031559714982692006, 'U': 0.9869145458330347, 'Com': 0.0003944340915303306}",U,True
22,"Someone doesn't like hot weather. Between Brasília and Zürich, this person should visit ->",Zürich,Brasília,"{'Z': 0.9864080235404395, 'Zur': 0.0003170065886240461, 'R': 0.00010281523659720352, 'Zurich': 0.012920798230366973, '': 0.00014228079831881787}",Z,True
23,"Someone doesn't like hot weather. Between Douala and Johannesburg, this person should visit ->",Johannesburg,Douala,"{'Edmonton': 7.610390350476439e-05, 'W': 8.246010148239048e-05, 'Johannes': 0.9986759287568693, 'Wit': 0.00018691249346821411, 'O': 0.00021008003096785067}",Johannes,True
24,"Someone doesn't like hot weather. Between Paramaribo and Ljubljana, this person should visit ->",Ljubljana,Paramaribo,"{'Sloven': 0.003957413593715833, 'Vil': 1.520135483808061e-05, 'Slovenia': 0.00024636065954243135, 'L': 0.9953584339171638, '': 0.00030280939796805583}",L,True
25,"Someone doesn't like hot weather. Between Pittsburgh and Murmansk, this person should visit ->",Murmansk,Pittsburgh,"{'Pitt': 0.0006862119588821031, 'Pittsburgh': 0.9914928473668965, 'Penguins': 0.0010080938585771105, 'itt': 0.0011364956979825025, 'Mur': 0.0050508537024101414}",Pittsburgh,False
26,"Someone doesn't like hot weather. Between Nouakchott and Chicago, this person should visit ->",Chicago,Nouakchott,"{'hicago': 0.0015453204177582496, 'Chicago': 0.9979218099334609, 'Chic': 0.000478291872450133, 'Detroit': 1.7224341002443262e-05, 'Illinois': 6.901843556130005e-06}",Chicago,True
