,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Rome and San Juan, the city with a smaller population is ->",San Juan,Rome,"{'Sant': 1.7546697296214612e-07, 'an': 8.956394477640578e-08, 'San': 0.9999987377612967, 'S': 7.130124844014512e-08, 'St': 6.157855913451833e-07}",San,True
1,"Between Manila and Mahajanga, the city with a smaller population is ->",Mahajanga,Manila,"{'Mar': 0.00023965791633549365, 'M': 0.011470003989735331, 'ah': 0.01613157899209019, 'Hon': 0.000548143743365945, 'Mah': 0.9701066471624269}",Mah,True
2,"Between Nairobi and Christchurch, the city with a smaller population is ->",Christchurch,Nairobi,"{'hrist': 0.005867333542789081, 'Christ': 0.9932443652962465, 'C': 0.00027083196086952714, 'CHRIST': 0.00017741019868010077, 'Ch': 0.00020562056604173475}",Christ,True
3,"Between Mumbai and Murmansk, the city with a smaller population is ->",Murmansk,Mumbai,"{'Pir': 0.0009000363559102541, 'Mar': 0.00323900660365708, 'ur': 0.022641164306588944, 'M': 0.00119236923189858, 'Mur': 0.9704273766824335}",Mur,True
4,"Between Ho Chi Minh City and Piura, the city with a smaller population is ->",Piura,Ho Chi Minh City,"{'Pir': 0.00035646410871301946, 'I': 5.8238320037607323e-05, 'Pi': 0.9876346313059535, 'PI': 0.000802999874746072, 'i': 0.01094993235898884}",Pi,True
5,"Between Bogotá and Tabora, the city with a smaller population is ->",Tabora,Bogotá,"{'Tam': 2.293827539523822e-09, 'Tunis': 7.427690158212929e-10, 'T': 1.0, 'W': 5.139901572375616e-10, '': 6.242438160694352e-09}",T,True
6,"Between Algiers and Asmara, the city with a smaller population is ->",Asmara,Algiers,"{'As': 0.999990273057307, 's': 1.1348467853705412e-07, 'Ass': 9.165271990740297e-06, 'AS': 1.533084538178969e-08, 'Ash': 4.819256441716289e-07}",As,True
7,"Between Jakarta and Tripoli, the city with a smaller population is ->",Tripoli,Jakarta,"{'Libya': 0.0010443258723086656, 'Tunis': 0.03575424055333652, 'T': 0.01839696635446558, 'Georgetown': 0.0003991054062091315, 'Tripoli': 0.9416390612369473}",Tripoli,True
8,"Between Beijing and Port Sudan, the city with a smaller population is ->",Port Sudan,Beijing,"{'Salt': 0.0028147982206863306, 'ort': 0.005855509301364218, 'Port': 0.9689638057075236, 'St': 0.003767061591979024, 'Fort': 0.004198821450895281}",Port,True
9,"Between Hanoi and Kuwait City, the city with a smaller population is ->",Kuwait City,Hanoi,"{'H': 0.9772134283823681, '': 0.0001912396890834793, 'N': 0.00030772408635595797, 'Hiroshima': 0.0002917203266823118, 'Hon': 0.021096903559577128}",H,False
10,"Between Bogotá and Lviv, the city with a smaller population is ->",Lviv,Bogotá,"{'Lv': 0.9804402318612054, 'v': 0.0001640092056013258, 'Lod': 0.0004774499119429795, 'Ark': 0.0003154119486618317}",Lv,True
11,"Between Toronto and Goiânia, the city with a smaller population is ->",Goiânia,Toronto,"{'GO': 0.0027257474361001978, 'Go': 0.9838764359858184, 'Gu': 0.00039138082304491004, 'G': 0.00684347661109866, 'o': 0.0037994141317172444}",Go,True
12,"Between Santiago and Florianópolis, the city with a smaller population is ->",Florianópolis,Santiago,"{'lor': 0.008192771810287212, 'Flo': 0.00018306431843773463, 'Flor': 0.9900480318601104, 'Conce': 0.0005931602259094219, 'Fort': 0.0002908176847559878}",Flor,True
13,"Between Melbourne and Sucre, the city with a smaller population is ->",Sucre,Melbourne,"{'S': 0.00036036073015533756, 'Rec': 4.011617252878916e-05, 'Conce': 0.00013011459445373306, 'Suc': 0.9977370929433335, 'suc': 0.0015811576663745165}",Suc,True
14,"Between Douala and Port-Gentil, the city with a smaller population is ->",Port-Gentil,Douala,"{'D': 0.0022744377499572285, 'G': 0.011017030237566405, 'ou': 0.0010106337193391158, 'Dou': 0.9809694613732004, 'Fort': 0.0004919812263623968}",Dou,False
15,"Between Santiago and Dublin, the city with a smaller population is ->",Dublin,Santiago,"{'Dublin': 0.9950422275254635, 'Edinburgh': 0.0004921467566875848, 'D': 0.0027081425093578187, 'ub': 0.0004365005162421406, 'Dun': 0.0009799434422057584}",Dublin,True
16,"Between Hanoi and Bratislava, the city with a smaller population is ->",Bratislava,Hanoi,"{'Bl': 1.237946623173629e-06, 'Br': 0.999998499344226, 'Split': 2.081770521614965e-08, 'B': 1.7431252990482894e-07, 'r': 8.134772249882051e-08}",Br,True
17,"Between Dar es Salaam and Lusaka, the city with a smaller population is ->",Lusaka,Dar es Salaam,"{'Living': 5.679126666254126e-05, 'L': 0.9991355414597569, '': 0.0004929932873190413, 'Libre': 1.6443291096823473e-05, 'Lod': 0.00023034946249787087}",L,True
18,"Between Cairo and Mahajanga, the city with a smaller population is ->",Mahajanga,Cairo,"{'M': 0.015646829036526717, 'Ant': 0.0003285089419047102, 'ah': 0.015669643082429466, 'Hon': 0.0005137504069691912, 'Mah': 0.9664034769217079}",Mah,True
19,"Between Shanghai and Pretoria, the city with a smaller population is ->",Pretoria,Shanghai,"{'Pir': 2.4243670135355314e-05, 'Rec': 8.032312467109265e-05, 'Pret': 0.999631929034744, 'Conce': 2.715386946522979e-05, 'ret': 7.084239053965087e-05}",Pret,True
20,"Between Shanghai and Lisbon, the city with a smaller population is ->",Lisbon,Shanghai,"{'Portugal': 0.018129344688768232, 'Sof': 0.0028279259948887354, 'Lisbon': 0.9241142849296609, 'Libre': 0.004785822871005481, 'Lod': 0.030901764288289314}",Lisbon,True
21,"Between Lagos and Porto Alegre, the city with a smaller population is ->",Porto Alegre,Lagos,"{'ort': 0.007049616928621348, 'Lag': 0.005569608025281964, 'Port': 0.9833844604402051, 'Lod': 0.0010519962808358577, 'Acc': 0.0007668406006755354}",Port,True
22,"Between Kuwait City and La Paz, the city with a smaller population is ->",La Paz,Kuwait City,"{'a': 0.016969473933674102, 'P': 0.0007821583064430793, 'Libre': 0.00011835191988977887, 'La': 0.9806660140222964, 'la': 0.000733036838630572}",La,True
23,"Between Saint Petersburg and Lyon, the city with a smaller population is ->",Lyon,Saint Petersburg,"{'y': 1.639578940001507e-05, 'Lyon': 0.9969274770894652, 'Lyons': 0.0024540138226685744, 'Libre': 1.667041444138193e-05, 'Marse': 0.0005101172279162719}",Lyon,True
24,"Between London and Zagreb, the city with a smaller population is ->",Zagreb,London,"{'Z': 0.9991248726974493, 'Split': 0.0002789653436964857, 'R': 0.00015676369717064256, '': 3.89465252559716e-05}",Z,True
25,"Between Kunming and Asmara, the city with a smaller population is ->",Asmara,Kunming,"{'As': 0.9999967093467143, 's': 9.929863621276702e-08, 'Ass': 3.096026632639665e-06, 'Ant': 1.1833799920607446e-08, 'Ash': 1.4217957011161046e-07}",As,True
26,"Between Cairo and Phoenix, the city with a smaller population is ->",Phoenix,Cairo,"{'Salt': 4.2839413626574704e-05, 'Georgetown': 6.364645052693136e-05, 'hoenix': 0.009551812995944783, 'Seattle': 5.5518958552600954e-05, 'Phoenix': 0.9897494110948644}",Phoenix,True
27,"Between Lahore and Managua, the city with a smaller population is ->",Managua,Lahore,"{'Man': 0.9999993338092819, 'Mon': 1.1397861430108217e-07, 'M': 8.519066285673954e-08, 'an': 1.1454042723278611e-07, 'Hon': 1.2292419160463877e-07}",Man,True
28,"Between Chicago and Viedma, the city with a smaller population is ->",Viedma,Chicago,"{'Vit': 0.003990784303914846, 'Vil': 0.00011957855960916216, 'Ver': 0.0003430771187720703, '': 0.0009578767899574984, 'V': 0.9941063096363836}",V,True
29,"Between Buenos Aires and Ottawa, the city with a smaller population is ->",Ottawa,Buenos Aires,"{'Ottawa': 0.8288255833597149, 'Winnipeg': 0.00315483652156569, 'Ou': 0.004351159141795186, 'O': 0.14148830719182892, 'tt': 0.017440824242619637}",Ottawa,True
30,"Between Medellín and Viedma, the city with a smaller population is ->",Viedma,Medellín,"{'Vit': 0.0018472833104582246, 'Med': 0.0006980718664303756, 'Ver': 0.00017705059832490727, '': 0.00022258600315681334, 'V': 0.9964998088008534}",V,True
31,"Between Lima and Hobart, the city with a smaller population is ->",Hobart,Lima,"{'Hob': 0.9998653410273335, 'Georgetown': 7.485977156371382e-06, 'hob': 3.94072006793312e-05, 'Hobbit': 1.6019769575168647e-05, 'Hon': 2.680001796799803e-05}",Hob,True
32,"Between Ho Chi Minh City and Tripoli, the city with a smaller population is ->",Tripoli,Ho Chi Minh City,"{'Libya': 0.0007816605429201373, 'Tunis': 0.01603601097186504, 'Libyan': 0.0005525409553441124, 'T': 0.006714677345333577, 'Tripoli': 0.9745195067953747}",Tripoli,True
33,"Between San Diego and Nouadhibou, the city with a smaller population is ->",Nouadhibou,San Diego,"{'Ni': 0.00619540742076353, 'N': 0.026016854525598668, 'Ou': 0.09316176390497105, 'Libre': 0.00023866205559286527, 'Nou': 0.8735350187998473}",Nou,True
34,"Between Jakarta and Tauranga, the city with a smaller population is ->",Tauranga,Jakarta,"{'Tam': 2.2734937471320635e-08, 'Tall': 9.91638894064932e-09, 'T': 1.0, 'W': 2.2316645543445936e-08, '': 1.9696596157787052e-08}",T,True
35,"Between Riyadh and Conakry, the city with a smaller population is ->",Conakry,Riyadh,"{'Con': 0.9075329599486716, 'on': 0.008780299151418494, 'Rec': 0.0034751626336852973, 'Conce': 0.06025980387089089, 'Com': 0.010563247706744931}",Con,True
