,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like big cities. Between Rome and San Juan, you should visit ->",San Juan,Rome,"{'Rome': 0.04127745961651968, 'Rio': 0.04581697606944786, 'San': 0.23658481725895839, 'R': 0.45814554569076804, 'New': 0.031786662354271834}",R,False
1,"You don't like big cities. Between Manila and Mahajanga, you should visit ->",Mahajanga,Manila,"{'Tokyo': 0.2787518554241017, 'Singapore': 0.042840189927387924, 'Madrid': 0.16921256048844252, 'Man': 0.17539114235598877, 'Kuala': 0.09385450640506054}",Tokyo,False
2,"You don't like big cities. Between Nairobi and Christchurch, you should visit ->",Christchurch,Nairobi,"{'Tokyo': 0.0012526399433865226, 'city': 0.0011527031841736663, 'N': 0.9766989271236761, 'bigger': 0.0013881657605508719, 'New': 0.011424301293522243}",N,False
3,"You don't like big cities. Between Mumbai and Murmansk, you should visit ->",Murmansk,Mumbai,"{'Tokyo': 0.06786817895467633, 'Mumbai': 0.08450666263295918, 'M': 0.5197293934873304, 'bigger': 0.029713330365917463, 'New': 0.03851378691897436}",M,False
4,"You don't like big cities. Between Ho Chi Minh City and Piura, you should visit ->",Piura,Ho Chi Minh City,"{'Tokyo': 0.21167417435349256, 'Singapore': 0.26034953120724225, 'S': 0.06429651810386675, 'Chong': 0.07024253076857767, 'bigger': 0.057476908680624834}",Singapore,False
5,"You don't like big cities. Between Bogotá and Tabora, you should visit ->",Tabora,Bogotá,"{'Med': 0.0499749349623611, 'Bog': 0.06772366522187212, 'T': 0.2837605869629259, 'B': 0.0783608686963934, 'bigger': 0.11389756353751304}",T,True
6,"You don't like big cities. Between Algiers and Asmara, you should visit ->",Asmara,Algiers,"{'As': 0.708321905382163, 'Tokyo': 0.07229398126233329, 'Barcelona': 0.030306980907997137, 'Istanbul': 0.024342543454112138, 'New': 0.04335734306085535}",As,True
7,"You don't like big cities. Between Jakarta and Tripoli, you should visit ->",Tripoli,Jakarta,"{'Tokyo': 0.23968433313078719, 'Singapore': 0.07829132296047629, 'Tehran': 0.07311500255305116, 'Istanbul': 0.09120557083958583, 'Kuala': 0.1671542232846471}",Tokyo,False
8,"You don't like big cities. Between Beijing and Port Sudan, you should visit ->",Port Sudan,Beijing,"{'Beijing': 0.051586085691506044, 'Tokyo': 0.10265781560835893, 'Tehran': 0.28498224468643885, 'B': 0.0522934633222839, 'Chong': 0.20340227715053233}",Tehran,False
9,"You don't like big cities. Between Hanoi and Kuwait City, you should visit ->",Kuwait City,Hanoi,"{'Tokyo': 0.07340464955000388, 'Istanbul': 0.04586275175374601, 'Kuala': 0.23541692213852267, 'K': 0.09462268807686408, 'Kh': 0.29987807608023265}",Kh,True
10,"You don't like big cities. Between Bogotá and Lviv, you should visit ->",Lviv,Bogotá,"{'Madrid': 0.05279381686271787, 'Barcelona': 0.05230125039870605, 'Rio': 0.05434782416385545, 'B': 0.13660552310174195, 'bigger': 0.16145446928489293}",bigger,False
11,"You don't like big cities. Between Toronto and Goiânia, you should visit ->",Goiânia,Toronto,"{'Tokyo': 0.3315319479809653, 'city': 0.06062381962603832, 'T': 0.19041640492806214, 'bigger': 0.15828917456483413, 'Toronto': 0.1107450241205846}",Tokyo,False
12,"You don't like big cities. Between Santiago and Florianópolis, you should visit ->",Florianópolis,Santiago,"{'Sant': 0.11190235704885437, 'Rio': 0.046004065774348915, 'Salvador': 0.2039286094627392, 'S': 0.3527651997073722, 'Santiago': 0.04441047117830511}",S,False
13,"You don't like big cities. Between Melbourne and Sucre, you should visit ->",Sucre,Melbourne,"{'Adelaide': 0.25757524190193376, 'S': 0.0721014877765878, 'C': 0.048442899719586756, 'bigger': 0.10900401091987025, 'Detroit': 0.047347805821065084}",Adelaide,True
14,"You don't like big cities. Between Douala and Port-Gentil, you should visit ->",Port-Gentil,Douala,"{'Tokyo': 0.05996606260711155, 'Barcelona': 0.0652883804222188, 'bigger': 0.07757719297134083, 'Detroit': 0.04667881768357051, 'New': 0.12221485214278412}",New,False
15,"You don't like big cities. Between Santiago and Dublin, you should visit ->",Dublin,Santiago,"{'Sant': 0.060909227308787464, 'Madrid': 0.08672587472371672, 'Rio': 0.07764618976042097, 'Salvador': 0.14689998469335946, 'S': 0.26093394186406066}",S,False
16,"You don't like big cities. Between Hanoi and Bratislava, you should visit ->",Bratislava,Hanoi,"{'Br': 0.9911732480387501, 'city': 0.0004961650125373567, 'ytes: \\xc4': 0.0005017302165319478, 'Bel': 0.00037071028625498267, 'Budapest': 0.0035441142825146693}",Br,True
17,"You don't like big cities. Between Dar es Salaam and Lusaka, you should visit ->",Lusaka,Dar es Salaam,"{'Tokyo': 0.16120880964494555, 'S': 0.047332789478776435, 'Kuala': 0.04644333089620771, 'bigger': 0.0915267957359046, 'New': 0.0788689787641141}",Tokyo,False
18,"You don't like big cities. Between Cairo and Mahajanga, you should visit ->",Mahajanga,Cairo,"{'Tehran': 0.12246566181577312, 'Cairo': 0.16159565833417924, 'C': 0.32363125926266934, 'Kh': 0.09442749383340437, 'bigger': 0.06264246977473423}",C,False
19,"You don't like big cities. Between Shanghai and Pretoria, you should visit ->",Pretoria,Shanghai,"{'Tokyo': 0.05361306985775059, 'Shanghai': 0.03975977723304812, 'S': 0.1267195756047889, 'Chong': 0.23620819042869995, 'Detroit': 0.1402684349112171}",Chong,False
20,"You don't like big cities. Between Shanghai and Lisbon, you should visit ->",Lisbon,Shanghai,"{'Singapore': 0.05283675568809467, 'Madrid': 0.058633287359349535, 'city': 0.03776904602712367, 'S': 0.22497556110232625, 'Chong': 0.375042787320218}",Chong,False
21,"You don't like big cities. Between Lagos and Porto Alegre, you should visit ->",Porto Alegre,Lagos,"{'Madrid': 0.04444615599786061, 'Barcelona': 0.054822356658706786, 'Rio': 0.2626707321982579, 'city': 0.08196140608597456, 'bigger': 0.07048151514981074}",Rio,False
22,"You don't like big cities. Between Kuwait City and La Paz, you should visit ->",La Paz,Kuwait City,"{'Tokyo': 0.04084819274104867, 'Barcelona': 0.04628732099466026, 'Salvador': 0.08233620113744419, 'Kuala': 0.3303168280858184, 'Kh': 0.08323900757341213}",Kuala,False
23,"You don't like big cities. Between Saint Petersburg and Lyon, you should visit ->",Lyon,Saint Petersburg,"{'Sant': 0.00458076621040506, 'city': 0.0028793577879369097, 'S': 0.014054396696783884, 'Marse': 0.004260207546721316, 'St': 0.947755452028772}",St,False
24,"You don't like big cities. Between London and Zagreb, you should visit ->",Zagreb,London,"{'Tokyo': 0.3555787269880847, 'city': 0.1095608802729165, 'S': 0.07296664938242903, 'London': 0.07879101590310592, 'bigger': 0.16516589267769388}",Tokyo,False
25,"You don't like big cities. Between Kunming and Asmara, you should visit ->",Asmara,Kunming,"{'As': 0.8932963136035775, 'Tokyo': 0.021192846150138125, 'Kum': 0.005755290846680884, 'Chong': 0.02182778018568493, 'Kuala': 0.016807064079964455}",As,True
26,"You don't like big cities. Between Cairo and Phoenix, you should visit ->",Phoenix,Cairo,"{'Tehran': 0.0784627962230552, 'C': 0.537133560168629, 'bigger': 0.02868220452275288, 'Detroit': 0.07407868054651397, 'New': 0.051102124872751314}",C,False
27,"You don't like big cities. Between Lahore and Managua, you should visit ->",Managua,Lahore,"{'Man': 0.9407047477288613, 'Dh': 0.005036652016866038, 'Tehran': 0.005399262007657855, 'Kuala': 0.005250616923731966, 'Kh': 0.004794539081905333}",Man,True
28,"You don't like big cities. Between Chicago and Viedma, you should visit ->",Viedma,Chicago,"{'city': 0.07850144866757823, 'C': 0.11350186618922908, 'Chicago': 0.0971273767064156, 'bigger': 0.09990670284828584, 'Detroit': 0.2191334443068921}",Detroit,False
29,"You don't like big cities. Between Buenos Aires and Ottawa, you should visit ->",Ottawa,Buenos Aires,"{'Vancouver': 0.04163430134118246, 'Madrid': 0.08889441160715143, 'Edmonton': 0.09432145468528261, 'Winnipeg': 0.422463916739042, 'Sof': 0.02795874634690421}",Winnipeg,False
30,"You don't like big cities. Between Medellín and Viedma, you should visit ->",Viedma,Medellín,"{'Madrid': 8.043469057696345e-05, 'Barcelona': 0.00011712907805963446, 'city': 5.135755524938798e-05, 'Med': 0.9991009105233702, 'bigger': 0.00011143634800307016}",Med,False
31,"You don't like big cities. Between Lima and Hobart, you should visit ->",Hobart,Lima,"{'Hamilton': 0.08782050179161463, 'Hob': 0.09943709955447214, 'Tall': 0.06660660714333749, 'Havana': 0.07937947066633344, 'New': 0.07748662020836286}",Hob,True
32,"You don't like big cities. Between Ho Chi Minh City and Tripoli, you should visit ->",Tripoli,Ho Chi Minh City,"{'Tokyo': 0.2483273608073761, 'Singapore': 0.14506206408022398, 'city': 0.04515119645108166, 'Chong': 0.13617017345967306, 'bigger': 0.052037805276861984}",Tokyo,False
33,"You don't like big cities. Between San Diego and Nouadhibou, you should visit ->",Nouadhibou,San Diego,"{'Tokyo': 0.00045157910300454816, 'San': 0.9912300493448136, 'S': 0.001710644634956097, 'bigger': 0.0027076001227350267, 'New': 0.0010430264956274643}",San,False
