,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like expensive restaurants. Between Sichuan Landscape Chinese Restaurant and Cake Opera, you should go to ->",Sichuan Landscape Chinese Restaurant,Cake Opera,"{'cake': 4.923942176074383e-05, 'ake': 5.268467682629243e-06, 'Cake': 0.10299933984962317, 'cakes': 1.5961373559731732e-06, 'S': 0.8969418286765518}",S,True
1,"You don't like expensive restaurants. Between Chipotle Mexican Grill and Green Room, you should go to ->",Green Room,Chipotle Mexican Grill,"{'reen': 0.007382529119193223, 'Chip': 0.3585575148039813, 'Green': 0.6155376902855602, 'GREEN': 0.0007406537617236592, 'hip': 0.016965467913807607}",Green,True
2,"You don't like expensive restaurants. Between Pizzeria Via Mercanti and Adega Restaurante, you should go to ->",Pizzeria Via Mercanti,Adega Restaurante,"{'Ad': 0.0025450204338352436, 'Pizza': 1.608963953912383e-05, 'd': 4.8235084523991535e-06, 'P': 0.9974331672633279, 'ad': 1.7210742347484672e-07}",P,True
3,"You don't like expensive restaurants. Between Sizzlers and Itamae Ayce Sushi, you should go to ->",Sizzlers,Itamae Ayce Sushi,"{'t': 4.9026836749364166e-08, 'S': 0.9998684391148923, 'it': 4.209360925261858e-09, 'It': 0.0001315711221109145, 'IT': 3.1165818393661442e-09}",S,True
4,"You don't like expensive restaurants. Between Oxygen Restaurant & Lounge and Amaya Express, you should go to ->",Amaya Express,Oxygen Restaurant & Lounge,"{'oxy': 0.00037011381186127573, 'Am': 0.9068618779253653, 'xy': 0.0001100408387179417, 'Oxy': 0.07880451396020569, 'm': 0.013768347234342284}",Am,True
5,"You don't like expensive restaurants. Between Eggspectation and Fitness Avenue, you should go to ->",Fitness Avenue,Eggspectation,"{'fitness': 0.00011184070229911109, 'Egg': 0.010719722605788275, 'it': 3.968862612122234e-06, 'Fitness': 0.9891519921580549, 'Eggs': 3.1714409975583533e-06}",Fitness,True
6,"You don't like expensive restaurants. Between 9 Restaurant and Evoo Ristorante, you should go to ->",9 Restaurant,Evoo Ristorante,"{'v': 0.023586133575310708, 'Nine': 0.00023224191325857334, 'ine': 0.00017703076976831482, 'Ev': 0.5807321174331648, '9': 0.3943703407576993}",Ev,False
7,"You don't like expensive restaurants. Between Smoke's Weinerie and Banjara Indian Cuisine, you should go to ->",Smoke's Weinerie,Banjara Indian Cuisine,"{'Ban': 0.010724003845717431, 'Smoke': 0.9879086954666035, 'an': 0.00010800500384664115, 'smoke': 0.001165023523876107, 'm': 2.0475285182395812e-05}",Smoke,True
8,"You don't like expensive restaurants. Between Druxy's Famous Deli and EJ Sushi, you should go to ->",Druxy's Famous Deli,EJ Sushi,"{'Dru': 0.9999614233690973, 'Druid': 1.9170732056750965e-07, '': 3.3219572785813965e-07, 'D': 2.7068975158029237e-07, 'dru': 3.763921872392906e-05}",Dru,True
9,"You don't like expensive restaurants. Between Branca and FreshCo, you should go to ->",FreshCo,Branca,"{'Fresh': 0.999931740099813, 'Fres': 1.2579715691262945e-06, 'resh': 2.756160673439245e-07, 'Friendly': 3.895899738423719e-07}",Fresh,True
