,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like small cities. Between London and Milan, you should visit ->",London,Milan,"{'11': 0.29118665247238723, '13': 0.04235429272393756, 'London': 0.3322662744649926, 'England': 0.037117511969286726, '10': 0.05224698986688008}",London,True
1,"You don't like small cities. Between Lagos and Calgary, you should visit ->",Lagos,Calgary,"{'1': 0.2932796172378066, '2': 0.5117527401423837, '3': 0.05759240371068825, '4': 0.08822975628685353, '5': 0.030479239477517576}",2,False
2,"You don't like small cities. Between Douala and Reykjavík, you should visit ->",Douala,Reykjavík,"{'Rey': 0.004055640705798529, '1': 0.004018331147429359, '2': 0.0050950744502503975, '5': 0.0056735656299140725, '0': 0.953062676418467}",0,False
3,"You don't like small cities. Between Jakarta and Hanoi, you should visit ->",Jakarta,Hanoi,"{'13': 0.06056601208069853, '2': 0.2002800984417285, 'Jakarta': 0.13541010372239415, '5': 0.06015403238432823, '7': 0.05560539778354141}",2,True
4,"You don't like small cities. Between Houston and Pretoria, you should visit ->",Houston,Pretoria,"{'20': 0.137825511952794, '2': 0.1815698229147857, '0': 0.36327563782986017, '6': 0.05575642659717187, '7': 0.04783352143592217}",0,False
5,"You don't like small cities. Between Karachi and Lusaka, you should visit ->",Karachi,Lusaka,"{'15': 0.09060489850596817, '1': 0.07101758191436658, '2': 0.20714268990051093, '3': 0.08810896428215667, '5': 0.05107858243820345}",2,False
6,"You don't like small cities. Between Melbourne and Makurdi, you should visit ->",Melbourne,Makurdi,"{'Mak': 0.7469211611860817, '26': 0.02012069080692097, 'M': 0.024702755076742043, '2': 0.01008816827246672, '0': 0.06904911610536536}",Mak,False
7,"You don't like small cities. Between Tashkent and Gabès, you should visit ->",Tashkent,Gabès,"{'1': 0.1920116560890355, '2': 0.11019541382085207, '3': 0.009735557248886232, '5': 0.008775864464583413, '0': 0.6700970542488931}",0,False
8,"You don't like small cities. Between Luanda and Toliara, you should visit ->",Luanda,Toliara,"{'': 0.0329159610682511, 'T': 0.35472841871014693, '2': 0.017129735628687914, '0': 0.3580598957540723, 'Mah': 0.02391762844717276}",0,False
9,"You don't like small cities. Between Guadalajara and Harare, you should visit ->",Guadalajara,Harare,"{'Gu': 0.0771488196273742, '2': 0.09143414432377821, '5': 0.11416743272162963, '0': 0.20083933879877996, '10': 0.0679516674037173}",0,True
10,"You don't like small cities. Between Nairobi and Zagreb, you should visit ->",Nairobi,Zagreb,"{'Z': 0.3801570014039922, '15': 0.0523038393746774, '1': 0.06063296845068137, '2': 0.07551380437773898, 'N': 0.12702420755730676}",Z,False
11,"You don't like small cities. Between Hanoi and Barranquilla, you should visit ->",Hanoi,Barranquilla,"{'1': 0.11408026493013414, '2': 0.32832900805548476, '5': 0.12432643899328719, '0': 0.11449950261168834, '7': 0.10145986270884387}",2,False
12,"You don't like small cities. Between Berlin and Ndola, you should visit ->",Berlin,Ndola,"{'1': 0.14239709222229535, '2': 0.22825017335755207, 'N': 0.052172319631385876, '3': 0.03091216757292334, '0': 0.35133513868149907}",0,False
13,"You don't like small cities. Between Ho Chi Minh City and Bratislava, you should visit ->",Ho Chi Minh City,Bratislava,"{'Br': 0.8725916739458695, '2': 0.00844870841155047, 'Slovakia': 0.0167015792193064, 'Prague': 0.011369317493253135, '0': 0.018281426132465788}",Br,False
