,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a small city to visit. Between London and Milan, you should visit ->",Milan,London,"{'11': 0.10453700034063894, 'Milan': 0.11337034838117493, 'London': 0.2044704117063158, '2': 0.08133154746464645, '10': 0.05814412133318707}",London,False
1,"You are looking for a small city to visit. Between Lagos and Calgary, you should visit ->",Calgary,Lagos,"{'1': 0.21054354134605, '2': 0.5717613299555665, '3': 0.06304204463674275, '4': 0.045387878635073715, '5': 0.03262476879851321}",2,False
2,"You are looking for a small city to visit. Between Douala and Reykjavík, you should visit ->",Reykjavík,Douala,"{'Rey': 0.03262670024199626, '1': 0.0047926010415557715, 'has': 0.006256452173364364, '5': 0.006081648408082304, '0': 0.8733888711475553}",0,True
3,"You are looking for a small city to visit. Between Jakarta and Hanoi, you should visit ->",Hanoi,Jakarta,"{'13': 0.02115377293579619, '17': 0.020811074626524775, '2': 0.05796208436773712, 'H': 0.08189743559743133, 'Jakarta': 0.4499983783009193}",Jakarta,False
4,"You are looking for a small city to visit. Between Houston and Pretoria, you should visit ->",Pretoria,Houston,"{'20': 0.06883159567491727, '': 0.051592162890340486, '2': 0.06106001780970283, '0': 0.5135797782231423, 'Houston': 0.03956017692172048}",0,False
5,"You are looking for a small city to visit. Between Karachi and Lusaka, you should visit ->",Lusaka,Karachi,"{'15': 0.13993248817545467, '14': 0.07447168447531187, '2': 0.07741289578929067, '3': 0.06866348052901983, '19': 0.0712363540700417}",15,False
6,"You are looking for a small city to visit. Between Melbourne and Makurdi, you should visit ->",Makurdi,Melbourne,"{'Mak': 0.7348456292938046, '26': 0.024333643013515722, 'M': 0.03823588142195969, 'Ben': 0.01140409246322808, '0': 0.05893516132320871}",Mak,True
7,"You are looking for a small city to visit. Between Tashkent and Gabès, you should visit ->",Gabès,Tashkent,"{'1': 0.3835100701422571, '2': 0.22222677710807434, '3': 0.026793606054126104, '5': 0.02413271958844463, '0': 0.29469755082875965}",1,False
8,"You are looking for a small city to visit. Between Luanda and Toliara, you should visit ->",Toliara,Luanda,"{'': 0.02737271129507448, 'T': 0.5369024276276233, 'S': 0.01698998884264172, '0': 0.21059759481057885, 'Mah': 0.041419893261406354}",T,True
9,"You are looking for a small city to visit. Between Guadalajara and Harare, you should visit ->",Harare,Guadalajara,"{'Gu': 0.2014148233231937, 'Har': 0.06428575576756884, '2': 0.04261334976641349, '5': 0.08953689535902588, '0': 0.19098507411191157}",Gu,False
10,"You are looking for a small city to visit. Between Nairobi and Zagreb, you should visit ->",Zagreb,Nairobi,"{'Z': 0.3253945281837754, '': 0.03801284310156199, '1': 0.039191597682305644, '2': 0.04853951842169485, 'N': 0.29093308113246713}",Z,True
11,"You are looking for a small city to visit. Between Hanoi and Barranquilla, you should visit ->",Barranquilla,Hanoi,"{'1': 0.11910257289993771, '2': 0.22068341848720963, '5': 0.09511727262525671, '0': 0.13872583551130818, '7': 0.09209064640489627}",2,False
12,"You are looking for a small city to visit. Between Berlin and Ndola, you should visit ->",Ndola,Berlin,"{'1': 0.13624809870430016, '2': 0.17681844629027815, 'N': 0.055156725030531, '5': 0.034774149454679944, '0': 0.3528413346521341}",0,True
13,"You are looking for a small city to visit. Between Ho Chi Minh City and Bratislava, you should visit ->",Bratislava,Ho Chi Minh City,"{'Br': 0.6266396903917617, 'Bangkok': 0.020868667657757706, '1': 0.026849716949523976, '2': 0.020194572475704102, '0': 0.05170710910781383}",Br,True
14,"You are looking for a small city to visit. Between Ankara and Cayenne, you should visit ->",Cayenne,Ankara,"{'Gu': 0.04814397395865014, 'Cay': 0.5825078891668024, 'Turks': 0.035976627049650545, 'Fort': 0.12766515746020626, '0': 0.04636460194566273}",Cay,True
15,"You are looking for a small city to visit. Between Algiers and Chihuahua, you should visit ->",Chihuahua,Algiers,"{'Algeria': 0.041026035566365256, '4': 0.03377587799712594, 'Ch': 0.34021558118353057, '0': 0.08582724346378562, 'Al': 0.20967692191327092}",Ch,True
16,"You are looking for a small city to visit. Between Manila and Managua, you should visit ->",Managua,Manila,"{'Mak': 0.010955187397117516, 'Man': 0.8511606247347664, 'City': 0.007820537443470386, 'Manila': 0.08708165824677165, '1': 0.007067613564304864}",Man,False
