,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for a big city to visit. Between Guadalajara and Kansas City, this person should visit ->",Guadalajara,Kansas City,"{'Tokyo': 3.7907370215227115e-05, 'Gu': 0.9998208737750183, 'S': 8.372172970542385e-05, 'Mexico': 1.2055760047480745e-05, 'Detroit': 1.9421264188009037e-05}",Gu,True
1,"Someone is looking for a big city to visit. Between Guadalajara and Dodoma, this person should visit ->",Guadalajara,Dodoma,"{'Tokyo': 1.558203504473112e-06, 'Madrid': 5.360582035844173e-06, 'Gu': 0.9999669067745929, 'T': 1.2684206678359496e-06, 'S': 1.7365379807408957e-05}",Gu,True
2,"Someone is looking for a big city to visit. Between Toronto and Minneapolis, this person should visit ->",Toronto,Minneapolis,"{'Tokyo': 0.09925972294814196, 'S': 0.0015023850504586164, 'oronto': 0.009515953243643073, 'Toronto': 0.8732135122688495, 'Detroit': 0.01307387127130511}",Toronto,True
3,"Someone is looking for a big city to visit. Between Bangkok and Garissa, this person should visit ->",Bangkok,Garissa,"{'Tokyo': 0.021491138319509828, 'Dh': 0.001097015794378582, 'S': 0.00046348311637371415, 'Bangkok': 0.9743412308621733, 'Kuala': 0.0014892688264065653}",Bangkok,True
4,"Someone is looking for a big city to visit. Between Mumbai and Mahajanga, this person should visit ->",Mumbai,Mahajanga,"{'Tokyo': 0.000982124967067668, 'Dh': 0.0001432759595913189, 'mbai': 0.0001526131911788925, 'Mumbai': 0.9916282082690202, 'Bombay': 0.00677357883684247}",Mumbai,True
5,"Someone is looking for a big city to visit. Between Shanghai and Cape Town, this person should visit ->",Shanghai,Cape Town,"{'Tokyo': 0.0007995994845284543, 'Shanghai': 0.963631551903986, 'S': 0.003230593863431429, 'Chong': 0.0316745613921828, 'Detroit': 0.0002904217154758363}",Shanghai,True
6,"Someone is looking for a big city to visit. Between Bogotá and Douala, this person should visit ->",Bogotá,Douala,"{'Rio': 0.03980717128032498, 'Med': 0.027291090100678463, 'Bog': 0.8642220680472936, 'S': 0.015409200698638442, 'Bel': 0.017454035435862686}",Bog,True
7,"Someone is looking for a big city to visit. Between Brasília and Campos do Jordão, this person should visit ->",Brasília,Campos do Jordão,"{'Rio': 0.3189816823328764, 'S': 0.4172256652043232, 'Bel': 0.1270392735217171, 'Bras': 0.11332626722482589, 'Fort': 0.009197201738973886}",S,True
8,"Someone is looking for a big city to visit. Between Hanoi and Asmara, this person should visit ->",Hanoi,Asmara,"{'As': 0.43542002458557144, 'Tokyo': 0.20094245609417521, 'Singapore': 0.13766560315298979, 'S': 0.036010993937298855, 'ytes: \\xc4': 0.07661878479418897}",As,False
9,"Someone is looking for a big city to visit. Between Moscow and Napier, this person should visit ->",Moscow,Napier,"{'Tokyo': 0.006010227966237879, 'Tehran': 0.0015785325963082453, 'S': 0.00025595420914789125, 'oscow': 0.0052354189982101625, 'Moscow': 0.9863679692830747}",Moscow,True
