,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like big cities. If I were you, between Rome and San Juan I would visit ->",San Juan,Rome,"{'Rome': 0.011170123606798386, 'Rio': 0.013698129339954216, 'San': 0.7037495070431694, 'S': 0.010962612051396705, 'R': 0.1837124528500706}",San,True
1,"You don't like big cities. If I were you, between Manila and Mahajanga I would visit ->",Mahajanga,Manila,"{'Tokyo': 0.1716222565781101, 'Singapore': 0.047966798755389034, 'Madrid': 0.168280928951886, 'Man': 0.20516392197063996, 'Kuala': 0.0887619421715071}",Man,False
2,"You don't like big cities. If I were you, between Nairobi and Christchurch I would visit ->",Christchurch,Nairobi,"{'city': 0.0013683098320624, 'Christ': 0.0020778158689003894, 'N': 0.9696935337435455, 'bigger': 0.0007568931982616052, 'New': 0.01475443888668411}",N,False
3,"You don't like big cities. If I were you, between Mumbai and Murmansk I would visit ->",Murmansk,Mumbai,"{'Tokyo': 0.0998586692654868, 'Mar': 0.06653785135108266, 'city': 0.04883237812327329, 'Istanbul': 0.04439852636820713, 'M': 0.24106152201472159}",M,False
4,"You don't like big cities. If I were you, between Ho Chi Minh City and Piura I would visit ->",Piura,Ho Chi Minh City,"{'Tokyo': 0.15773255027540184, 'Singapore': 0.30070658209062484, 'city': 0.036341134407658585, 'Chong': 0.04648588318035936, 'bigger': 0.059021623631095144}",Singapore,False
5,"You don't like big cities. If I were you, between Bogotá and Tabora I would visit ->",Tabora,Bogotá,"{'Tokyo': 0.004525419495225559, 'Barcelona': 0.00843069556243736, 'T': 0.9321674248807188, 'B': 0.0046393917949968675, 'bigger': 0.01146372702771259}",T,True
6,"You don't like big cities. If I were you, between Algiers and Asmara I would visit ->",Asmara,Algiers,"{'As': 0.8518130253933464, 'Tokyo': 0.025143531810176856, 'Barcelona': 0.0166040722074885, 'Detroit': 0.013137970892949005, 'New': 0.016898552696174116}",As,True
7,"You don't like big cities. If I were you, between Jakarta and Tripoli I would visit ->",Tripoli,Jakarta,"{'Tokyo': 0.23925848123961416, 'Singapore': 0.07654251812970153, 'Tehran': 0.08091929330304129, 'Istanbul': 0.07145571441411827, 'Kuala': 0.1369812806610981}",Tokyo,False
8,"You don't like big cities. If I were you, between Beijing and Port Sudan I would visit ->",Port Sudan,Beijing,"{'Tokyo': 0.08366302126546307, 'city': 0.06455199860799626, 'Tehran': 0.32340890391934496, 'Chong': 0.13624718584509696, 'bigger': 0.049984076213907686}",Tehran,False
9,"You don't like big cities. If I were you, between Hanoi and Kuwait City I would visit ->",Kuwait City,Hanoi,"{'Tokyo': 0.07751465993963579, 'Istanbul': 0.03568864528613525, 'Kuala': 0.20627371057729924, 'K': 0.09734177886356245, 'Kh': 0.32063829436829433}",Kh,True
10,"You don't like big cities. If I were you, between Bogotá and Lviv I would visit ->",Lviv,Bogotá,"{'city': 0.06570150806170388, 'Lv': 0.06690139232711655, 'smaller': 0.05697646449569742, 'bigger': 0.055215365716827385, 'Ark': 0.06974207394045022}",Ark,True
11,"You don't like big cities. If I were you, between Toronto and Goiânia I would visit ->",Goiânia,Toronto,"{'Tokyo': 0.25016602038111346, 'city': 0.0884541447204942, 'T': 0.19075309185700923, 'bigger': 0.16196882508745958, 'Toronto': 0.13561578523003417}",Tokyo,False
12,"You don't like big cities. If I were you, between Santiago and Florianópolis I would visit ->",Florianópolis,Santiago,"{'Sant': 0.07867353162599426, 'Salvador': 0.5235553623567504, 'San': 0.03755658312098458, 'S': 0.11494933648441516, 'Conce': 0.055687743563797514}",Salvador,False
13,"You don't like big cities. If I were you, between Melbourne and Sucre I would visit ->",Sucre,Melbourne,"{'Melbourne': 0.13610601157785665, 'city': 0.06844700382067963, 'Adelaide': 0.24939983682666192, 'M': 0.16348507127502096, 'smaller': 0.05068334111458761}",Adelaide,False
14,"You don't like big cities. If I were you, between Douala and Port-Gentil I would visit ->",Port-Gentil,Douala,"{'city': 0.048493893314858726, 'G': 0.09677219187396317, 'bigger': 0.06701181713461035, 'Fort': 0.042732283096100276, 'New': 0.08164623272044902}",G,False
15,"You don't like big cities. If I were you, between Santiago and Dublin I would visit ->",Dublin,Santiago,"{'Singapore': 0.06810375008604609, 'Madrid': 0.07333013029846429, 'Rio': 0.05900771977450628, 'Salvador': 0.15375413167094815, 'S': 0.10492512273740028}",Salvador,False
16,"You don't like big cities. If I were you, between Hanoi and Bratislava I would visit ->",Bratislava,Hanoi,"{'Br': 0.9976004183100389, 'city': 0.0002329657758386187, 'B': 0.00013634160773479963, 'R': 0.00016446150949013118, 'Budapest': 0.0005032708820091108}",Br,True
17,"You don't like big cities. If I were you, between Dar es Salaam and Lusaka I would visit ->",Lusaka,Dar es Salaam,"{'city': 0.054862419021242344, 'S': 0.04924692253083336, 'bigger': 0.08885877209429686, 'Detroit': 0.04342430376625843, 'New': 0.04591714969496478}",bigger,False
18,"You don't like big cities. If I were you, between Cairo and Mahajanga I would visit ->",Mahajanga,Cairo,"{'Tehran': 0.1456639241612789, 'Cairo': 0.13190634708295193, 'C': 0.2686689302314542, 'Kh': 0.10216005795107873, 'bigger': 0.08675985190284208}",C,False
19,"You don't like big cities. If I were you, between Shanghai and Pretoria I would visit ->",Pretoria,Shanghai,"{'Tokyo': 0.06107030118253769, 'city': 0.06959636082541079, 'Shanghai': 0.07990776875182867, 'S': 0.18112812956660307, 'Chong': 0.29690157274653395}",Chong,False
