,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Green Grotto and Pasta Pantry, the nearest restaurant is ->",Green Grotto,Pasta Pantry,"{'Past': 0.0016076006356278484, 'reen': 0.0002892225780542559, 'Green': 0.9978664945650382, 'Water': 5.077756168864576e-05, 'Beach': 3.9899291145628174e-05}",Green,True
1,"Between Lahore Grill & Fast Food and Modo Mio Italian Bistro, the nearest restaurant is ->",Lahore Grill & Fast Food,Modo Mio Italian Bistro,"{'Brussels': 0.0004537175455055007, 'Mod': 0.9941225835881086, 'od': 0.002703900280485838, 'mod': 0.0015646533204633603}",Mod,False
2,"Between Marcello’s pizzeria and Supermodel Pizza, the nearest restaurant is ->",Supermodel Pizza,Marcello’s pizzeria,"{'Mar': 0.9996459952744646, 'MAR': 1.447434190192347e-05, 'Mari': 1.74118943839031e-05, 'Super': 3.590363550674157e-05, 'ar': 0.0002595279899748941}",Mar,False
3,"Between Domino's Pizza and Falafel House, the nearest restaurant is ->",Falafel House,Domino's Pizza,"{'Nik': 0.005282990283515116, 'om': 0.057788198635900734, 'F': 0.004843445167520737, 'Fal': 0.39858179683335376, 'Dom': 0.5215628677674001}",Dom,False
4,"Between Carole's Cheesecake Cafe and Basha Middle Eastern Grill, the nearest restaurant is ->",Basha Middle Eastern Grill,Carole's Cheesecake Cafe,"{'Car': 4.862783107833852e-10, '': 1.0979290724407523e-08, 'B': 1.0, 'F': 7.024316604155265e-10, 'Bib': 2.173804453684831e-09}",B,True
5,"Between Helena's Magic Kitchen and It's All Grk, the nearest restaurant is ->",It's All Grk,Helena's Magic Kitchen,"{'Sakura': 1.5320113271164755e-05, 'Helen': 1.4326150277262076e-05, 'Helena': 0.9956336871824577, 'Asuka': 0.0005630371197148752, 'It': 0.003734037093227209}",Helena,False
6,"Between Big Al's Diner and Ardor Bistro, the nearest restaurant is ->",Ardor Bistro,Big Al's Diner,"{'ig': 1.4424996329849326e-05, 'Ard': 0.0001474963689168938, 'Big': 0.9998219474132437, 'Asuka': 3.2521410301963225e-06, 'Bulk': 2.9647925329095317e-06}",Big,False
7,"Between Capitol Trattoria Pizzeria and Daily Press Juicery, the nearest restaurant is ->",Daily Press Juicery,Capitol Trattoria Pizzeria,"{'Capitol': 0.0002945802783496212, 'aily': 1.6551662632646325e-05, 'The': 6.36378588360624e-05, 'Daily': 0.9981186231123942}",Daily,True
8,"Between Chick Fiesta and Madras Pantry, the nearest restaurant is ->",Madras Pantry,Chick Fiesta,"{'ad': 0.0005227503762000645, 'Chick': 0.0014933293330322312, 'MAD': 7.505788065508115e-05, 'Mad': 0.9971168413081881, 'nearby': 0.00018907571777207116}",Mad,True
9,"Between Basha Middle Eastern Grill and Domino's Pizza, the nearest restaurant is ->",Basha Middle Eastern Grill,Domino's Pizza,"{'': 5.302613137975246e-08, 'B': 1.0, 'F': 1.4775875794197015e-08, 'Bib': 1.9224698584252038e-08, 'nearby': 3.5736834298486563e-09}",B,True
10,"Between Tierra Azteca and Dangerous Dan's Diner, the nearest restaurant is ->",Dangerous Dan's Diner,Tierra Azteca,"{'Tier': 0.41147586988046836, 'Ace': 0.0035842787882305912, 'Dangerous': 0.5531197249936843, 'ier': 0.01632917326568426, 'anger': 0.00518897290620815}",Dangerous,True
11,"Between Ciao Europa wine bar and Hapa Toronto, the nearest restaurant is ->",Hapa Toronto,Ciao Europa wine bar,"{'C': 0.9605209110555956, '': 5.219046612616348e-08, 'H': 0.03947875104693326, 'F': 8.151840613914544e-08}",C,False
12,"Between Hina Sushi and Mamma's Pizza, the nearest restaurant is ->",Mamma's Pizza,Hina Sushi,"{'Mam': 2.7075131532599e-06, 'M': 3.94689322432552e-08, 'H': 0.9999942078467746, '': 2.9395766017345892e-06, 'L': 1.468727898486774e-07}",H,False
13,"Between Le Papillon Park and Topham Corner, the nearest restaurant is ->",Le Papillon Park,Topham Corner,"{'Le': 1.3791641826838828e-07, 'T': 0.9999999317236823, 'P': 1.4485901077953836e-08, 'F': 9.680986787462268e-09, '': 2.338317711134964e-08}",T,False
14,"Between Amaya Express and Banjara Indian Cuisine, the nearest restaurant is ->",Amaya Express,Banjara Indian Cuisine,"{'Ban': 0.29778959467224636, 'Am': 0.7002959833152809, 'Ace': 0.00012162390750324883, 'an': 0.0005149377697698872, 'm': 0.0009162704369673967}",Am,True
15,"Between Mysteriously Yours Dinner Theatre and St. Clair Shawarma and Falafel, the nearest restaurant is ->",Mysteriously Yours Dinner Theatre,St. Clair Shawarma and Falafel,"{'Myster': 0.034082275836862394, 't': 0.001929595275247829, 'myst': 0.00012310400386477506, 'F': 0.000148430607276998, 'St': 0.9627668042615763}",St,False
16,"Between Goldstone Noodle Restaurant and Hina Sushi, the nearest restaurant is ->",Goldstone Noodle Restaurant,Hina Sushi,"{'old': 0.001812927567037643, 'Gold': 0.9960561086483012, 'H': 0.0010442008739830492, 'gold': 9.744436092760562e-05, 'Golden': 0.0008557042019596214}",Gold,True
17,"Between Aroma Espresso Bar and Tik Talk Cafe, the nearest restaurant is ->",Tik Talk Cafe,Aroma Espresso Bar,"{'Ace': 4.640410522245602e-09, 'A': 0.9999998115819777, '': 2.2849762969317057e-07, 'Asuka': 1.0097005855436487e-09, 'nearby': 9.215583685698836e-10}",A,False
18,"Between Fit For Life and Cake Opera, the nearest restaurant is ->",Fit For Life,Cake Opera,"{'Garden': 0.001269877677601012, 'Fit': 0.02577857134991206, 'Cafe': 0.002255338965565648, 'Cake': 0.9599469178070611, 'Beach': 0.002448728178564879}",Cake,False
19,"Between Itamae Ayce Sushi and Smoke's Weinerie, the nearest restaurant is ->",Itamae Ayce Sushi,Smoke's Weinerie,"{'t': 0.0014481582533541538, 'Smoke': 0.0005715038146205877, 'it': 8.823913375385097e-05, 'It': 0.997269131823046, 'smoke': 0.00013148418233596018}",It,True
20,"Between Thompson Rooftop and Lahore Grill & Fast Food, the nearest restaurant is ->",Lahore Grill & Fast Food,Thompson Rooftop,"{'Thompson': 0.9738402530823475, 'Thomson': 4.2796368204502244e-07, 'R': 0.0007455771063999412, 'hompson': 0.025411552132131046, 'nearby': 2.482735933168114e-07}",Thompson,False
21,"Between Tian An Cuisine and Villa Madina, the nearest restaurant is ->",Tian An Cuisine,Villa Madina,"{'Tian': 0.133171687470096, 'Villa': 0.8660841276894952, 'Chinese': 0.00029475840596152985, 'vill': 0.00012949141143360997, 'Asuka': 5.560407878255137e-05}",Villa,False
22,"Between EJ Sushi and El Fogón, the nearest restaurant is ->",El Fogón,EJ Sushi,"{'El': 0.3453839783949034, '': 6.047200665037225e-05, 'F': 3.5112021263073176e-05, 'E': 0.6542332498258272, 'l': 0.0002211343771115402}",E,False
23,"Between Mysteriously Yours Dinner Theatre and Magic Oven, the nearest restaurant is ->",Mysteriously Yours Dinner Theatre,Magic Oven,"{'Myster': 5.5906622126511634e-08, 'agic': 1.926029361300943e-06, 'magician': 7.321027917133659e-08, 'magic': 4.948263683086371e-08, 'Magic': 0.999997903306798}",Magic,False
24,"Between Warung Indonesia D'Eglinton and Mövenpick Café, the nearest restaurant is ->",Warung Indonesia D'Eglinton,Mövenpick Café,"{'Brussels': 0.000467104853407311, 'War': 0.000580330957955049, 'M': 0.9981798373089206, 'P': 0.00012037399942861876, 'D': 0.00022588150733832837}",M,False
25,"Between Hawthorne Food and Drink and Cantine Bar & Grill, the nearest restaurant is ->",Cantine Bar & Grill,Hawthorne Food and Drink,"{'Garden': 6.893793161562986e-05, 'Cant': 0.9973138387049274, 'C': 0.0015871844795353983, 'Hawth': 0.0008135826812681969, 'Th': 3.415734208114875e-05}",Cant,True
26,"Between EJ Sushi and Juice & Java Cafe, the nearest restaurant is ->",Juice & Java Cafe,EJ Sushi,"{'Juice': 0.034281281590413826, '': 0.00030963790239048507, 'E': 0.964758329267219, 'Bulk': 0.00021750841903016746, 'nearby': 0.00010893000913595073}",E,False
27,"Between Bao Bao Plus Dim Sum and Kim PO Vietnamese, the nearest restaurant is ->",Kim PO Vietnamese,Bao Bao Plus Dim Sum,"{'Nik': 3.294995001501473e-07, 'im': 1.5020871254695576e-06, 'B': 0.9997733097881099, 'Bib': 2.740980357071239e-07, 'Kim': 0.0002241630206605418}",B,False
28,"Between To-ne Sushi and Anatolia Restaurant, the nearest restaurant is ->",Anatolia Restaurant,To-ne Sushi,"{'To': 0.9952883949991641, 'o': 0.0005469249324330556, 'Anat': 0.0017415077813149205, 'Asuka': 0.0013443616342125935, 'Beach': 9.97971432306445e-05}",To,False
29,"Between Pizza Pizza and Roncy's Bean, the nearest restaurant is ->",Pizza Pizza,Roncy's Bean,"{'Pizza': 0.9973168164890325, 'on': 4.377354143221051e-05, 'P': 9.637816299023931e-06, 'Ron': 0.0025907455177471652, 'Beach': 1.334701224550786e-05}",Pizza,True
30,"Between Bonne Journee and The Duke of Devon, the nearest restaurant is ->",The Duke of Devon,Bonne Journee,"{'Brussels': 3.172157418110437e-10, 'the': 1.0775057042469177e-09, 'THE': 2.7904529489225757e-10, 'The': 1.0, 'he': 1.2601172144178477e-08}",The,True
31,"Between Sweet Jesus and KFC, the nearest restaurant is ->",KFC,Sweet Jesus,"{'Sweet': 0.4582911170712401, 'weet': 2.631030403764671e-06, 'K': 0.5417051929335048, 'sweet': 2.1112024168004196e-07, 'nearby': 2.811574511945717e-07}",K,True
32,"Between Evoo Ristorante and Shawarma Twist, the nearest restaurant is ->",Evoo Ristorante,Shawarma Twist,"{'Nik': 4.894056281077685e-05, 'v': 0.007777920223396591, 'Ace': 4.3815452762734076e-05, 'Ev': 0.9919188980871493, 'EV': 5.836197460371793e-05}",Ev,True
33,"Between St. Louis Bar & Grill and Fitness Avenue, the nearest restaurant is ->",St. Louis Bar & Grill,Fitness Avenue,"{'t': 0.0013077911630122142, 'Athlet': 2.0961460931711437e-05, 'F': 1.6677517550788857e-05, 'St': 0.9986141180226243, 'nearby': 7.219116362607352e-06}",St,True
34,"Between Piper's Pub And Grill and Beryl's Pepper Pot, the nearest restaurant is ->",Piper's Pub And Grill,Beryl's Pepper Pot,"{'Casey': 7.974658583805505e-09, '': 2.260216813709444e-08, 'Piper': 1.615272314038395e-06, 'B': 0.9999982599891138, 'Bib': 9.811093585329705e-08}",B,False
35,"Between Farmacia Health Bar and Galata Cafe, the nearest restaurant is ->",Farmacia Health Bar,Galata Cafe,"{'Nik': 0.00016105204247917842, 'Garden': 0.0009474986934056896, 'al': 0.0012102065880757117, 'Gal': 0.9970812568373285, 'gal': 0.00019086465379137673}",Gal,False
36,"Between Evoo Ristorante and Ciao Europa wine bar, the nearest restaurant is ->",Evoo Ristorante,Ciao Europa wine bar,"{'v': 6.394297969393045e-07, 'Casey': 8.940278527955179e-08, 'C': 0.9999556997112867, '': 8.869777788269363e-08, 'Ev': 4.341815006579336e-05}",C,False
37,"Between Druxy's Famous Deli and Tortería San Cosme, the nearest restaurant is ->",Tortería San Cosme,Druxy's Famous Deli,"{'Gor': 0.0003182504202579185, 'Dru': 0.9904612720521573, 'T': 0.002765863766070731, 'dru': 0.0009992153869520565, 'Tor': 0.005093174341872693}",Dru,False
38,"Between Aris Place and Mysteriously Yours Dinner Theatre, the nearest restaurant is ->",Mysteriously Yours Dinner Theatre,Aris Place,"{'Myster': 0.18020672767776763, 'My': 4.855181401855654e-05, 'r': 0.0007633274175871187, 'myster': 0.00013813708448984525, 'Ar': 0.817969237544796}",Ar,False
39,"Between FreshCo and Fit For Life, the nearest restaurant is ->",Fit For Life,FreshCo,"{'Fresh': 0.9690424868249509, 'Fit': 0.02931248337324063, 'it': 0.001020337932686973, 'resh': 0.0005513305607118478, 'F': 1.4783704959616213e-05}",Fresh,False
40,"Between Falafel Hut Village and Freshii, the nearest restaurant is ->",Falafel Hut Village,Freshii,"{'Fresh': 0.9995040208883242, 'resh': 0.00017233522420640157, 'F': 7.803255082956512e-05, 'Water': 1.6218256594174717e-05, 'Fal': 0.000148326148903137}",Fresh,False
41,"Between Pisco 1641 and Helena's Magic Kitchen, the nearest restaurant is ->",Pisco 1641,Helena's Magic Kitchen,"{'Helen': 1.3765955590791832e-05, 'P': 0.3393726882851283, 'Helena': 0.6604415186297036, 'Asuka': 0.00015489687268444038, 'nearby': 5.268177924875111e-06}",Helena,False
42,"Between Oxygen Restaurant & Lounge and Nutella Cafe by Pusateri's, the nearest restaurant is ->",Oxygen Restaurant & Lounge,Nutella Cafe by Pusateri's,"{'oxy': 0.002029632371727066, 'xy': 0.0022735495280531257, 'P': 0.0020432444864363275, 'Oxy': 0.9931897682534213, 'Bib': 8.898613383294395e-05}",Oxy,True
43,"Between Dangerous Dan's Diner and Shawarma Twist, the nearest restaurant is ->",Dangerous Dan's Diner,Shawarma Twist,"{'Shaw': 1.1672271339147382e-05, 'Deadly': 2.4790030043444964e-05, 'Dangerous': 0.9998541341794535, 'anger': 5.552800888042674e-05, 'dangerous': 1.6252740780422284e-05}",Dangerous,True
44,"Between Assembly Chef's Hall and LCBO, the nearest restaurant is ->",LCBO,Assembly Chef's Hall,"{'Assembly': 0.35050325002894395, 'assembly': 0.00029793327676564015, 'LC': 0.6443631592096991, 'L': 0.0028906930382029726, 'C': 0.0017475586887743919}",LC,True
45,"Between Phil's Original BBQ and Milo's Pita, the nearest restaurant is ->",Milo's Pita,Phil's Original BBQ,"{'Nik': 0.0003271774086786531, 'hil': 0.00012199408475759082, 'Milo': 0.9958144103998104, 'Phil': 0.002845878134938192, 'ilo': 0.0006820845051173827}",Milo,True
46,"Between Daily Press Juicery and 9 Restaurant, the nearest restaurant is ->",Daily Press Juicery,9 Restaurant,"{'aily': 9.385016845449649e-05, 'The': 7.270706485123538e-05, 'Daily': 0.9804244370962972, '9': 0.01579283378103773}",Daily,True
47,"Between Pizzeria Via Mercanti and Madras Pantry, the nearest restaurant is ->",Madras Pantry,Pizzeria Via Mercanti,"{'Brussels': 8.310227814020626e-11, 'P': 1.0, 'F': 2.2209786452502177e-10, 'Mad': 1.508946808921003e-10, '': 6.6436322328569275e-09}",P,False
48,"Between Villa Madina and Banjara Indian Cuisine, the nearest restaurant is ->",Villa Madina,Banjara Indian Cuisine,"{'Ban': 0.9978614891794686, 'an': 1.568479164688867e-05, 'B': 0.0001209587475301622, 'ban': 1.6079377622997223e-05}",Ban,False
49,"Between Tian An Cuisine and Taste of Greek Cuisine, the nearest restaurant is ->",Tian An Cuisine,Taste of Greek Cuisine,"{'Nik': 0.00020910500832483576, 'Tian': 0.8766805728830559, 'Taste': 0.1111394344244675, 'T': 0.009646202156575176, 'Chinese': 0.0017211520772952658}",Tian,True
50,"Between Pasta Pantry and Magic Oven, the nearest restaurant is ->",Pasta Pantry,Magic Oven,"{'agic': 1.786750744779048e-08, 'magician': 2.3795674892244316e-08, 'magic': 4.727709066027607e-08, 'Magic': 0.9999987377612967}",Magic,False
