,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a big city to visit. Between Chicago and Mandalay, I should visit ->",Chicago,Mandalay,"{'Tokyo': 0.0009342285027798981, 'hicago': 0.001534000883641124, 'S': 0.0012403090457182363, 'Chicago': 0.9932803093743798, 'Detroit': 0.00220002710112623}",Chicago,True
1,"I'm looking for a big city to visit. Between Moscow and Minneapolis, I should visit ->",Moscow,Minneapolis,"{'Tokyo': 0.0002394475890321487, 'Tehran': 7.454586383872027e-05, 'Russia': 0.0004947477110353159, 'oscow': 0.0007950197506767392, 'Moscow': 0.9981601092779351}",Moscow,True
2,"I'm looking for a big city to visit. Between Manila and Hamilton, I should visit ->",Manila,Hamilton,"{'Tokyo': 0.0002929000890798624, 'Madrid': 7.768285354807077e-05, 'Man': 0.0002263706178209933, 'Manila': 0.9990562072028467, 'Kuala': 7.346944150758121e-05}",Manila,True
3,"I'm looking for a big city to visit. Between Kabul and Yinchuan, I should visit ->",Kabul,Yinchuan,"{'Tokyo': 0.0017438342467731459, 'Tehran': 0.5503798515253933, 'Istanbul': 0.0035047187648105387, 'Kabul': 0.44061848118447217, 'Kh': 0.0010056773343055832}",Tehran,True
4,"I'm looking for a big city to visit. Between Riyadh and Goiânia, I should visit ->",Riyadh,Goiânia,"{'Dh': 0.0020725894737351922, 'Tehran': 0.001673026528933608, 'Riy': 0.0005835908033042736, 'Riyadh': 0.9837588973216878, 'Saudi': 0.010641853596969357}",Riyadh,True
5,"I'm looking for a big city to visit. Between Lahore and Belgrade, I should visit ->",Lahore,Belgrade,"{'Dh': 0.003686350259381902, 'Lah': 0.9737289163957571, 'Islamabad': 0.00042453674300443547, 'Bel': 0.01740771117423225, 'Karachi': 0.003378459981810062}",Lah,True
6,"I'm looking for a big city to visit. Between Jakarta and Ushuaia, I should visit ->",Jakarta,Ushuaia,"{'Tokyo': 0.0006581715146781101, 'Indonesia': 0.0015604449094759497, 'Dh': 0.0005862499051469764, 'Istanbul': 0.0007716221274385434, 'Jakarta': 0.9954851517084709}",Jakarta,True
7,"I'm looking for a big city to visit. Between Bogotá and Piura, I should visit ->",Bogotá,Piura,"{'Barcelona': 0.00011643830453961674, 'Rio': 0.0004274228729568803, 'Med': 0.0008979286025549982, 'Bog': 0.997844501430721, 'Bel': 0.0001279317038643643}",Bog,True
8,"I'm looking for a big city to visit. Between Shanghai and Tauranga, I should visit ->",Shanghai,Tauranga,"{'Shanghai': 0.9402008418480358, 'h': 0.0001211714588617566, 'China': 0.00010581280665257362, 'S': 0.0033060445638027564, 'Chong': 0.055996180272107975}",Shanghai,True
9,"I'm looking for a big city to visit. Between Bangkok and Minneapolis, I should visit ->",Bangkok,Minneapolis,"{'Tokyo': 0.0004984820386519355, 'Dh': 0.00015210051085897983, 'Bangkok': 0.9989371190585183, 'ang': 0.00016132428922658373, 'Chong': 9.529787934167775e-05}",Bangkok,True
10,"I'm looking for a big city to visit. Between Berlin and Garoua, I should visit ->",Berlin,Garoua,"{'Berlin': 0.9935086534130143, 'Tokyo': 0.0029211447554257437, 'Tehran': 0.0001730854767891711, 'er': 0.0024596480706091887, 'Istanbul': 0.0006800423379779662}",Berlin,True
11,"I'm looking for a big city to visit. Between Johannesburg and Suwałki, I should visit ->",Johannesburg,Suwałki,"{'Rio': 0.0025763541489683193, 'Mog': 0.0009754919988853443, 'S': 0.06853538484558325, 'Johannes': 0.921212653722907, 'Kh': 0.0031978885982364325}",Johannes,True
12,"I'm looking for a big city to visit. Between Ankara and Toliara, I should visit ->",Ankara,Toliara,"{'Tokyo': 0.00019728306152295202, 'Tehran': 0.0010926696030250055, 'Istanbul': 0.6171607217118386, 'Ankara': 0.36812023817794337, 'ytes: \\xc4': 0.013232883142423447}",Istanbul,True
13,"I'm looking for a big city to visit. Between Johannesburg and Kampala, I should visit ->",Johannesburg,Kampala,"{'Rio': 0.00559529619157581, 'S': 0.023818952301651347, 'Johannes': 0.9511551744298554, 'Kuala': 0.002556003686947924, 'Kh': 0.010006664079392606}",Johannes,True
14,"I'm looking for a big city to visit. Between Baghdad and Gabès, I should visit ->",Baghdad,Gabès,"{'Tokyo': 1.67496700231114e-05, 'Baghdad': 0.9994806547064776, 'Tehran': 0.00015075071189699562, 'Saddam': 1.9448317412434624e-05, 'Iraq': 0.0002865852526800531}",Baghdad,True
15,"I'm looking for a big city to visit. Between Nairobi and Lake Havasu City, I should visit ->",Nairobi,Lake Havasu City,"{'Tokyo': 0.00029792344512972975, 'N': 0.9986625174281387, 'K': 0.00046051722406694184, 'Kh': 0.0003233313206332334, 'Acc': 5.22855246780965e-05}",N,True
16,"I'm looking for a big city to visit. Between Saint Petersburg and Algiers, I should visit ->",Saint Petersburg,Algiers,"{'Istanbul': 0.5500490075988659, 'S': 0.19885425689282396, 'St': 0.05186038370690165, 'Moscow': 0.08762718483633725, 'Saint': 0.032639877563876214}",Istanbul,True
17,"I'm looking for a big city to visit. Between Cairo and Makurdi, I should visit ->",Cairo,Makurdi,"{'Tehran': 0.0001880125203021442, 'Cairo': 0.998229370916519, 'Istanbul': 3.965803429576384e-05, 'C': 7.62943249921728e-05, 'Egypt': 0.001273190021405831}",Cairo,True
18,"I'm looking for a big city to visit. Between Bogotá and Denver, I should visit ->",Bogotá,Denver,"{'Madrid': 0.00017106259770466285, 'Barcelona': 0.00012890137253697363, 'Rio': 0.000633994676658497, 'Med': 0.00034933944034520143, 'Bog': 0.997988982810143}",Bog,True
19,"I'm looking for a big city to visit. Between Toronto and Sapporo, I should visit ->",Toronto,Sapporo,"{'Tokyo': 0.027076602510947085, 'Istanbul': 9.573180251771538e-05, 'T': 3.67864127396047e-05, 'oronto': 0.0017240960410958995, 'Toronto': 0.9709220305593446}",Toronto,True
20,"I'm looking for a big city to visit. Between Toronto and Tampa, I should visit ->",Toronto,Tampa,"{'Tokyo': 0.005709958061998195, 'Istanbul': 7.743102638525033e-05, 'T': 3.258105739422909e-05, 'oronto': 0.0011633188283275378, 'Toronto': 0.992905753517296}",Toronto,True
21,"I'm looking for a big city to visit. Between Buenos Aires and Toronto, I should visit ->",Buenos Aires,Toronto,"{'Tokyo': 0.0009369712117973742, 'Rio': 0.00034807033031592253, 'Argentina': 0.0005346488936828387, 'S': 0.0009068900853796971, 'Buenos': 0.9964130238243686}",Buenos,True
22,"I'm looking for a big city to visit. Between Riyadh and Omaha, I should visit ->",Riyadh,Omaha,"{'Dh': 0.001636358062729326, 'Tehran': 0.001576648953147003, 'Riy': 0.0006658637419648368, 'Riyadh': 0.9805879345413914, 'Saudi': 0.014390389371080153}",Riyadh,True
23,"I'm looking for a big city to visit. Between Alexandria and Makassar, I should visit ->",Alexandria,Makassar,"{'Tokyo': 0.028475041848282923, 'Mak': 0.4719985808853199, 'Tehran': 0.028588043728935923, 'Istanbul': 0.030962183693875853, 'Kuala': 0.32368945339458044}",Mak,False
24,"I'm looking for a big city to visit. Between Douala and Boise, I should visit ->",Douala,Boise,"{'Dak': 0.04450479690506654, 'Gu': 0.038962045461789115, 'Chong': 0.025868248214940905, 'Dou': 0.5500235959217291, 'Acc': 0.24150050857285207}",Dou,True
25,"I'm looking for a big city to visit. Between Mexico City and Tamanrasset, I should visit ->",Mexico City,Tamanrasset,"{'Mexican': 0.001861410025923254, 'Tokyo': 0.002550846536003359, 'S': 0.0015753082682237465, 'exico': 0.002386004665365663, 'Mexico': 0.9859362535909288}",Mexico,True
26,"I'm looking for a big city to visit. Between Lahore and Valencia, I should visit ->",Lahore,Valencia,"{'Dh': 0.0020172677140254066, 'Lah': 0.9960098540718947, 'Karachi': 0.001245022720293817, 'Chong': 0.00013617578092426754, 'Kuala': 9.860200124097944e-05}",Lah,True
27,"I'm looking for a big city to visit. Between Ho Chi Minh City and Napier, I should visit ->",Ho Chi Minh City,Napier,"{'Singapore': 0.02572986241404256, 'HC': 0.041517286346652395, 'ytes: \\xc4': 0.023633738272986624, 'Chong': 0.03537845712070515, 'Ho': 0.8352434247251189}",Ho,True
28,"I'm looking for a big city to visit. Between Moscow and Houston, I should visit ->",Moscow,Houston,"{'Tokyo': 0.00030076991124426347, 'Tehran': 0.00011303477988676208, 'Russia': 0.0006454077308710759, 'oscow': 0.0006830947375725721, 'Moscow': 0.9980163995408722}",Moscow,True
29,"I'm looking for a big city to visit. Between Perth and Palmerston North, I should visit ->",Perth,Palmerston North,"{'Singapore': 0.0414915370104729, 'Palmer': 0.0027956339006611954, 'Adelaide': 0.026461786647331165, 'Perth': 0.8861490097110811, 'Kuala': 0.038857817490667135}",Perth,True
30,"I'm looking for a big city to visit. Between Ankara and Tauranga, I should visit ->",Ankara,Tauranga,"{'Tokyo': 0.00017720328173776, 'Tehran': 0.001168904258720215, 'Istanbul': 0.5482538112740768, 'Ankara': 0.424497314294943, 'ytes: \\xc4': 0.025606004608008798}",Istanbul,True
31,"I'm looking for a big city to visit. Between Guangzhou and Piura, I should visit ->",Guangzhou,Piura,"{'Singapore': 2.9658227015402065e-05, 'Gu': 0.09554163097920271, 'S': 4.764971066360103e-05, 'Guang': 0.8361727152890497, 'Chong': 0.068016905119808}",Guang,True
32,"I'm looking for a big city to visit. Between Nairobi and Port-Gentil, I should visit ->",Nairobi,Port-Gentil,"{'Tokyo': 0.0007469633776028519, 'Rio': 0.0001022852580984748, 'N': 0.9971138615286719, 'K': 0.0008167768776290527, 'Kh': 0.0008526102769895733}",N,True
33,"I'm looking for a big city to visit. Between Nairobi and Río Gallegos, I should visit ->",Nairobi,Río Gallegos,"{'Tokyo': 0.0003737779699772216, 'Rio': 0.0007983312072047468, 'N': 0.9980686736155816, 'K': 0.0002827979140584499, 'Kh': 0.00024727882793029894}",N,True
34,"I'm looking for a big city to visit. Between Alexandria and Bangui, I should visit ->",Alexandria,Bangui,"{'Tehran': 0.01233240411341408, 'Alexandria': 0.6783229344094348, 'B': 0.25319290764124125, 'Kh': 0.0271372488104306, 'Acc': 0.007803184963314307}",Alexandria,True
35,"I'm looking for a big city to visit. Between Melbourne and Ségou, I should visit ->",Melbourne,Ségou,"{'Melbourne': 0.9929863984130602, 'el': 0.0007297978353886241, 'S': 0.004371672587356155, 'Australia': 0.00028074240984266437, 'Detroit': 0.0011579535649357173}",Melbourne,True
36,"I'm looking for a big city to visit. Between Denver and Garissa, I should visit ->",Denver,Garissa,"{'Denver': 0.014669162173681395, 'Dh': 0.13181260818425, 'Chong': 0.3188881068354767, 'Seattle': 0.0308538419474696, 'Detroit': 0.43145645023771867}",Detroit,True
