,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a city with cold weather. Between Chicago and Jakarta, I should visit -> Chicago. I'm looking for a city with cold weather. Between Jakarta and Oslo, I should visit -> Oslo. I'm looking for a city with cold weather. Between Zürich and Mexicali, I should visit -> Zürich. I'm looking for a city with cold weather. Between Omaha and Hamilton, I should visit -> Omaha. I'm looking for a city with cold weather. Between London and Monterrey, I should visit -> London. I'm looking for a city with cold weather. Between Irkutsk and Ankara, I should visit -> Irkutsk. I'm looking for a city with cold weather. Between Piura and London, I should visit -> London. I'm looking for a city with cold weather. Between Piura and Río Gallegos, I should visit -> Río Gallegos. I'm looking for a city with cold weather. Between Florianópolis and Copenhagen, I should visit ->",Copenhagen,Florianópolis,"{'': 0.0002458177869361202, 'Copenhagen': 0.9978934366255916, 'Flor': 0.0016610929328106712, 'Cop': 2.5888362876922375e-05}",Copenhagen,True
1,"I'm looking for a city with cold weather. Between Copenhagen and Florianópolis, I should visit -> Copenhagen. I'm looking for a city with cold weather. Between Mexicali and Zürich, I should visit -> Zürich. I'm looking for a city with cold weather. Between Omaha and Hamilton, I should visit -> Omaha. I'm looking for a city with cold weather. Between Monterrey and London, I should visit -> London. I'm looking for a city with cold weather. Between Ankara and Irkutsk, I should visit -> Irkutsk. I'm looking for a city with cold weather. Between London and Piura, I should visit -> London. I'm looking for a city with cold weather. Between Piura and Río Gallegos, I should visit -> Río Gallegos. I'm looking for a city with cold weather. Between Baltimore and Garissa, I should visit -> Baltimore. I'm looking for a city with cold weather. Between Jakarta and Chicago, I should visit ->",Chicago,Jakarta,"{'': 6.230916700860945e-05, 'hicago': 0.0009687567592797754, 'Omaha': 1.0187327622818295e-05, 'Chicago': 0.9985765686408097, 'Jakarta': 0.0003523516060823448}",Chicago,True
2,"I'm looking for a city with cold weather. Between Florianópolis and Copenhagen, I should visit -> Copenhagen. I'm looking for a city with cold weather. Between Zürich and Mexicali, I should visit -> Zürich. I'm looking for a city with cold weather. Between Omaha and Hamilton, I should visit -> Omaha. I'm looking for a city with cold weather. Between Monterrey and London, I should visit -> London. I'm looking for a city with cold weather. Between Ankara and Irkutsk, I should visit -> Irkutsk. I'm looking for a city with cold weather. Between Piura and London, I should visit -> London. I'm looking for a city with cold weather. Between Piura and Río Gallegos, I should visit -> Río Gallegos. I'm looking for a city with cold weather. Between Chicago and Goiânia, I should visit -> Chicago. I'm looking for a city with cold weather. Between Jakarta and Oslo, I should visit ->",Oslo,Jakarta,"{'s': 0.003808824757600271, 'os': 0.00021039117960688076, 'Oslo': 0.994291979010384, 'Jakarta': 0.0011836836094248192, 'Os': 0.0002207428739695254}",Oslo,True
3,"I'm looking for a city with cold weather. Between Copenhagen and Florianópolis, I should visit -> Copenhagen. I'm looking for a city with cold weather. Between Chicago and Jakarta, I should visit -> Chicago. I'm looking for a city with cold weather. Between Oslo and Jakarta, I should visit -> Oslo. I'm looking for a city with cold weather. Between Hamilton and Omaha, I should visit -> Omaha. I'm looking for a city with cold weather. Between Monterrey and London, I should visit -> London. I'm looking for a city with cold weather. Between Irkutsk and Ankara, I should visit -> Irkutsk. I'm looking for a city with cold weather. Between Piura and London, I should visit -> London. I'm looking for a city with cold weather. Between Río Gallegos and Piura, I should visit -> Río Gallegos. I'm looking for a city with cold weather. Between Mexicali and Zürich, I should visit ->",Zürich,Mexicali,"{'Z': 0.8395702711598763, 'Mex': 0.15685036771101485, 'ex': 0.0011157820832443151, '': 0.0009314151143378929, 'Zurich': 0.0005494819679701386}",Z,True
4,"I'm looking for a city with cold weather. Between Copenhagen and Florianópolis, I should visit -> Copenhagen. I'm looking for a city with cold weather. Between Jakarta and Chicago, I should visit -> Chicago. I'm looking for a city with cold weather. Between Oslo and Jakarta, I should visit -> Oslo. I'm looking for a city with cold weather. Between Zürich and Mexicali, I should visit -> Zürich. I'm looking for a city with cold weather. Between Monterrey and London, I should visit -> London. I'm looking for a city with cold weather. Between Irkutsk and Ankara, I should visit -> Irkutsk. I'm looking for a city with cold weather. Between Piura and London, I should visit -> London. I'm looking for a city with cold weather. Between Piura and Río Gallegos, I should visit -> Río Gallegos. I'm looking for a city with cold weather. Between Hamilton and Omaha, I should visit ->",Omaha,Hamilton,"{'Omaha': 0.9523229105015156, 'Hamilton': 0.04719430738094819, 'amilton': 0.000370520642326043, 'Nebraska': 3.491569906347617e-05, '': 1.2842019373358432e-05}",Omaha,True
5,"I'm looking for a city with cold weather. Between Florianópolis and Copenhagen, I should visit -> Copenhagen. I'm looking for a city with cold weather. Between Jakarta and Chicago, I should visit -> Chicago. I'm looking for a city with cold weather. Between Jakarta and Oslo, I should visit -> Oslo. I'm looking for a city with cold weather. Between Zürich and Mexicali, I should visit -> Zürich. I'm looking for a city with cold weather. Between Omaha and Hamilton, I should visit -> Omaha. I'm looking for a city with cold weather. Between Irkutsk and Ankara, I should visit -> Irkutsk. I'm looking for a city with cold weather. Between Piura and Río Gallegos, I should visit -> Río Gallegos. I'm looking for a city with cold weather. Between Goiânia and Chicago, I should visit -> Chicago. I'm looking for a city with cold weather. Between Monterrey and London, I should visit ->",London,Monterrey,"{'London': 0.9732944585805874, 'Mon': 0.02565212153165338, 'ondon': 0.0007340094902040739, '': 0.0001594117628163337, '|endoftext|>': 9.23594064483334e-05}",London,True
6,"I'm looking for a city with cold weather. Between Florianópolis and Copenhagen, I should visit -> Copenhagen. I'm looking for a city with cold weather. Between Chicago and Jakarta, I should visit -> Chicago. I'm looking for a city with cold weather. Between Jakarta and Oslo, I should visit -> Oslo. I'm looking for a city with cold weather. Between Mexicali and Zürich, I should visit -> Zürich. I'm looking for a city with cold weather. Between Hamilton and Omaha, I should visit -> Omaha. I'm looking for a city with cold weather. Between Monterrey and London, I should visit -> London. I'm looking for a city with cold weather. Between Piura and London, I should visit -> London. I'm looking for a city with cold weather. Between Piura and Río Gallegos, I should visit -> Río Gallegos. I'm looking for a city with cold weather. Between Ankara and Irkutsk, I should visit ->",Irkutsk,Ankara,"{'Ir': 0.9996951681306784, 'Ankara': 0.00015140094125081, 'r': 7.31907142172046e-05, '': 4.87507000803971e-05, 'I': 1.2899422694015048e-05}",Ir,True
7,"I'm looking for a city with cold weather. Between Copenhagen and Florianópolis, I should visit -> Copenhagen. I'm looking for a city with cold weather. Between Chicago and Jakarta, I should visit -> Chicago. I'm looking for a city with cold weather. Between Oslo and Jakarta, I should visit -> Oslo. I'm looking for a city with cold weather. Between Zürich and Mexicali, I should visit -> Zürich. I'm looking for a city with cold weather. Between Hamilton and Omaha, I should visit -> Omaha. I'm looking for a city with cold weather. Between Irkutsk and Ankara, I should visit -> Irkutsk. I'm looking for a city with cold weather. Between Goiânia and Chicago, I should visit -> Chicago. I'm looking for a city with cold weather. Between Garissa and Baltimore, I should visit -> Baltimore. I'm looking for a city with cold weather. Between Piura and London, I should visit ->",London,Piura,"{'London': 0.9584628075634388, 'Pi': 0.0394809698150889, 'ondon': 0.0012823004340576025, 'i': 0.00044865573567705915, '': 0.0001233204877249452}",London,True
8,"I'm looking for a city with cold weather. Between Copenhagen and Florianópolis, I should visit -> Copenhagen. I'm looking for a city with cold weather. Between Jakarta and Chicago, I should visit -> Chicago. I'm looking for a city with cold weather. Between Oslo and Jakarta, I should visit -> Oslo. I'm looking for a city with cold weather. Between Zürich and Mexicali, I should visit -> Zürich. I'm looking for a city with cold weather. Between Hamilton and Omaha, I should visit -> Omaha. I'm looking for a city with cold weather. Between London and Monterrey, I should visit -> London. I'm looking for a city with cold weather. Between Irkutsk and Ankara, I should visit -> Irkutsk. I'm looking for a city with cold weather. Between Chicago and Goiânia, I should visit -> Chicago. I'm looking for a city with cold weather. Between Río Gallegos and Piura, I should visit ->",Río Gallegos,Piura,"{'Pi': 0.07696373054360973, 'Rio': 0.0019965831189420516, 'Ri': 0.0002128670000909934, 'R': 0.91943636814712, 'i': 0.0004429521532322395}",R,True
9,"I'm looking for a city with cold weather. Between Florianópolis and Copenhagen, I should visit -> Copenhagen. I'm looking for a city with cold weather. Between Oslo and Jakarta, I should visit -> Oslo. I'm looking for a city with cold weather. Between Zürich and Mexicali, I should visit -> Zürich. I'm looking for a city with cold weather. Between Omaha and Hamilton, I should visit -> Omaha. I'm looking for a city with cold weather. Between Monterrey and London, I should visit -> London. I'm looking for a city with cold weather. Between Ankara and Irkutsk, I should visit -> Irkutsk. I'm looking for a city with cold weather. Between London and Piura, I should visit -> London. I'm looking for a city with cold weather. Between Río Gallegos and Piura, I should visit -> Río Gallegos. I'm looking for a city with cold weather. Between Chicago and Goiânia, I should visit ->",Chicago,Goiânia,"{'Go': 3.767849690907098e-05, '': 5.388642322486052e-05, 'hicago': 0.0009707719288616151, 'Chicago': 0.9989218598112098, '|endoftext|>': 5.057238371694413e-06}",Chicago,True
