,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like expensive restaurants. Between Domino's Pizza and Milo's Pita, this person should go to ->",Milo's Pita,Domino's Pizza,"{'Domin': 7.140933841778592e-06, 'Pizza': 6.957731344563912e-05, 'om': 0.006365345927881646, 'Milo': 0.01735913149658474, 'Dom': 0.9761682140095997}",Dom,False
1,"Someone doesn't like expensive restaurants. Between Bake Island and Aroma Espresso Bar, this person should go to ->",Bake Island,Aroma Espresso Bar,"{'baking': 5.619466052602646e-07, 'baked': 1.8542875606798466e-06, 'bake': 0.0007081497325345349, 'A': 0.5798009639151599, 'Bake': 0.4194870766939752}",A,False
2,"Someone doesn't like expensive restaurants. Between Shawarma Twist and Pisco 1641, this person should go to ->",Shawarma Twist,Pisco 1641,"{'No': 2.856668686378537e-07, 'Shaw': 0.9927733721622574, 'Lah': 3.968422461861201e-07, 'haw': 5.893526575500345e-06, 'P': 0.0072185007499618}",Shaw,True
3,"Someone doesn't like expensive restaurants. Between Hapa Toronto and Sky Dragon Chinese Restaurant, this person should go to ->",Sky Dragon Chinese Restaurant,Hapa Toronto,"{'ky': 2.2303768404946534e-06, 'S': 5.584840295998434e-09, 'H': 0.9998263601771394, '': 5.235072765068048e-08, 'Sky': 0.00017128426726875447}",H,False
4,"Someone doesn't like expensive restaurants. Between Top Sushi and Topham Corner, this person should go to ->",Top Sushi,Topham Corner,"{'Bottom': 1.0432318731469767e-05, 'T': 0.5635443184832513, 'S': 0.00012192871344923643, 'Top': 0.43148652380035174, 'op': 0.004829466369144904}",T,False
5,"Someone doesn't like expensive restaurants. Between Green Grotto and New Bilan Restaurant, this person should go to ->",New Bilan Restaurant,Green Grotto,"{'reen': 0.00045547077663334805, 'Bil': 7.663106615922433e-05, 'Green': 0.715151164323238, 'ew': 0.0007273915806929669, 'New': 0.2832255223304232}",Green,False
6,"Someone doesn't like expensive restaurants. Between Chipotle Mexican Grill and Supermodel Pizza, this person should go to ->",Supermodel Pizza,Chipotle Mexican Grill,"{'chip': 2.75254094472063e-05, 'Chip': 0.9958195953201991, 'Super': 0.00012420799730480432, 'hip': 0.0039855936766766764}",Chip,False
7,"Someone doesn't like expensive restaurants. Between Dinah's Cupboard and McDonald's, this person should go to ->",McDonald's,Dinah's Cupboard,"{'McDonald': 0.02913235694570103, 'din': 4.451643994726233e-05, 'Din': 0.9708129526259114, 'in': 3.933842005854504e-06, 'MacDonald': 2.704969286700432e-06}",Din,False
8,"Someone doesn't like expensive restaurants. Between Magic Oven and Falafel Hut Village, this person should go to ->",Falafel Hut Village,Magic Oven,"{'fal': 7.933954267541335e-06, 'al': 1.0296804022046633e-05, 'Magic': 0.0011382795763869862, 'Fal': 0.9979900552496802}",Fal,True
9,"Someone doesn't like expensive restaurants. Between Watson's and Lahore Grill & Fast Food, this person should go to ->",Lahore Grill & Fast Food,Watson's,"{'Watson': 1.596209629084217e-09, 'Chand': 1.8348064937239514e-11, 'Lah': 1.0, 'Punjab': 2.008841168916233e-11, 'ah': 1.6119891768362387e-10}",Lah,True
10,"Someone doesn't like expensive restaurants. Between Lebanese Bakery and Fit For Life, this person should go to ->",Fit For Life,Lebanese Bakery,"{'it': 0.0013050650404814986, 'Fit': 0.9974362083419475, 'Lebanese': 0.0010594111967029342, 'fit': 1.7114200508257952e-05}",Fit,True
11,"Someone doesn't like expensive restaurants. Between Buk Chang Dong Soon Tofu and JJ Bean, this person should go to ->",Buk Chang Dong Soon Tofu,JJ Bean,"{'No': 0.00017534887449825964, 'J': 0.002112901410455877, 'Buk': 0.9705717967256644, 'JJ': 0.026091909331717456, 'Bok': 0.0001618191830674788}",Buk,True
12,"Someone doesn't like expensive restaurants. Between Fitness Avenue and Tierra Azteca, this person should go to ->",Fitness Avenue,Tierra Azteca,"{'fitness': 0.0005860663204275522, 'Tier': 0.2856681947167415, 'Athlet': 0.0017203646582799068, 'Fitness': 0.7103744880789908, 'ier': 0.001131836210546215}",Fitness,True
13,"Someone doesn't like expensive restaurants. Between Edible Arrangements and Buk Chang Dong Soon Tofu, this person should go to ->",Buk Chang Dong Soon Tofu,Edible Arrangements,"{'Ed': 0.19489597973559863, 'Dong': 0.00021472938436680155, 'Buk': 0.8030053199210287, 'Bok': 0.00020649920406033218, 'd': 0.0011763218323281083}",Buk,True
14,"Someone doesn't like expensive restaurants. Between Aroma Espresso Bar and The Coffee Pocket, this person should go to ->",The Coffee Pocket,Aroma Espresso Bar,"{'Coffee': 8.381875121329751e-07, 'Starbucks': 7.800382289371168e-08, 'A': 0.9878258430387798, 'R': 5.2415944895916754e-08, 'The': 0.012172958545584677}",A,False
15,"Someone doesn't like expensive restaurants. Between Hapa Toronto and Falafel Hut Village, this person should go to ->",Falafel Hut Village,Hapa Toronto,"{'fal': 8.915074883133774e-07, 'H': 0.9772773226394871, 'al': 1.321989181503246e-06, 'Fal': 0.02266137829975839}",H,False
16,"Someone doesn't like expensive restaurants. Between Madras Pantry and Modo Mio Italian Bistro, this person should go to ->",Madras Pantry,Modo Mio Italian Bistro,"{'ad': 4.755336960591413e-06, 'MOD': 3.4972241644753533e-06, 'Mod': 0.9754741261020986, 'Mad': 0.02414927306897863, 'od': 0.00036370407563460856}",Mod,False
17,"Someone doesn't like expensive restaurants. Between Grappa Ristorante and Top Sushi, this person should go to ->",Top Sushi,Grappa Ristorante,"{'S': 8.957825949355861e-06, 'ra': 0.0008177055086969246, 'Top': 0.004797746262390685, 'Gra': 0.9942490032592443, 'op': 0.00010380499157474657}",Gra,False
