,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like the cold weather. Between Mahajanga and Bahía Blanca, I should visit ->",Mahajanga,Bahía Blanca,"{'15': 0.2194716965244428, '17': 0.0563697393958158, '2': 0.043763926361337316, '5': 0.06831360073128052, '0': 0.19580793963279589}",15,False
1,"I don't like the cold weather. Between Douala and Paris, I should visit ->",Douala,Paris,"{'18': 0.1204794234962124, '15': 0.12729398819816973, '16': 0.03621194290708117, '13': 0.0608505147657097, '17': 0.312216256958485}",17,False
2,"I don't like the cold weather. Between La Paz and Erzurum, I should visit ->",La Paz,Erzurum,"{'2': 0.040051185716535896, '3': 0.04240180274827835, '4': 0.08423715367590383, '5': 0.1901163168858469, '0': 0.5341828194994914}",0,False
3,"I don't like the cold weather. Between Kano and Cape Town, I should visit ->",Kano,Cape Town,"{'15': 0.11758264863785545, '16': 0.14561634352997474, '14': 0.050070032677709674, '17': 0.09184531276803608, '0': 0.1731357344360425}",0,False
4,"I don't like the cold weather. Between Ho Chi Minh City and Tirana, I should visit ->",Ho Chi Minh City,Tirana,"{'12': 0.08794919154959994, '15': 0.31126921443006095, '14': 0.12526593770082683, '13': 0.05368386436467742, '2': 0.033053252699271604}",15,False
5,"I don't like the cold weather. Between Kuwait City and Bergen, I should visit ->",Kuwait City,Bergen,"{'Norway': 0.021736232725513335, '1': 0.0027535012370424735, 'Ber': 0.01587182903471443, '0': 0.9491265560430602, '7': 0.001569262523868014}",0,False
6,"I don't like the cold weather. Between Rosario and Oslo, I should visit ->",Rosario,Oslo,"{'3': 0.032158753331195215, '5': 0.27079716689005995, '0': 0.49047197361930245, '6': 0.04462484108540711, '7': 0.035819548038613}",0,False
7,"I don't like the cold weather. Between Honolulu and Fairbanks, I should visit ->",Honolulu,Fairbanks,"{'N': 0.16855255141157413, 'has': 0.3315009843430483, 'there': 0.02647513204425059, '0': 0.07774397677931592, 'Fair': 0.17294703282589308}",has,False
8,"I don't like the cold weather. Between Hamilton and Calgary, I should visit ->",Hamilton,Calgary,"{'Ban': 0.06329712306974498, 'Calgary': 0.09108833764320223, '1': 0.39498915901077214, '4': 0.07489219496227091, '0': 0.1538458579851447}",1,False
9,"I don't like the cold weather. Between Kingston and Pittsburgh, I should visit ->",Kingston,Pittsburgh,"{'Pittsburgh': 0.25594691993633617, '15': 0.03875893767891112, '0': 0.06132253410004354, 'PA': 0.02458835800234639, '10': 0.30195698666884235}",10,False
10,"I don't like the cold weather. Between Djibouti and Podgorica, I should visit ->",Djibouti,Podgorica,"{'15': 0.04442068676142313, '13': 0.015655726787780135, 'Pod': 0.022728393980345436, 'Monteneg': 0.014671081025583892, '0': 0.8010925143651637}",0,False
11,"I don't like the cold weather. Between Surabaya and Indianapolis, I should visit ->",Surabaya,Indianapolis,"{'Indianapolis': 0.10629230348196099, '1': 0.12097889138106109, '500': 0.12676955098544865, '5': 0.09482439230713255, '0': 0.15836963756726516}",0,False
12,"I don't like the cold weather. Between Brasília and Calgary, I should visit ->",Brasília,Calgary,"{'1': 0.061218937564578454, '2': 0.2361257681537639, '3': 0.38063745064453686, '4': 0.2629768430290876, '5': 0.02012576185993016}",3,False
