,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like small cities. Between Guadalajara and Kansas City, you should visit ->",Guadalajara,Kansas City,"{'Tokyo': 1.5186373689130395e-05, 'Gu': 0.9998422132396405, 'S': 8.052603577936453e-05, 'Mexico': 8.447770479409044e-06, 'Detroit': 2.0500403276274757e-05}",Gu,True
1,"You don't like small cities. Between Guadalajara and Dodoma, you should visit ->",Guadalajara,Dodoma,"{'big': 1.2659889025993783e-06, 'Madrid': 4.250971554901144e-06, 'Gu': 0.9999733419753315, 'T': 1.3484186803054372e-06, 'S': 1.3164457152627888e-05}",Gu,True
2,"You don't like small cities. Between Toronto and Minneapolis, you should visit ->",Toronto,Minneapolis,"{'Tokyo': 0.06727912962562756, 'big': 0.0047822482398047934, 'oronto': 0.008172073564893807, 'Toronto': 0.8931573141132195, 'Detroit': 0.01838779775220186}",Toronto,True
3,"You don't like small cities. Between Bangkok and Garissa, you should visit ->",Bangkok,Garissa,"{'Tokyo': 0.04109566654089532, 'Dh': 0.003781998520277174, 'S': 0.0010855776905452244, 'Bangkok': 0.9450453965168912, 'Kuala': 0.005044020987519681}",Bangkok,True
4,"You don't like small cities. Between Mumbai and Mahajanga, you should visit ->",Mumbai,Mahajanga,"{'Tokyo': 0.00037864934206001383, 'Dh': 0.0003443363213031859, 'mbai': 0.00011635531361825937, 'Mumbai': 0.9950242856828009, 'Bombay': 0.0036728821431980365}",Mumbai,True
5,"You don't like small cities. Between Shanghai and Cape Town, you should visit ->",Shanghai,Cape Town,"{'Tokyo': 0.0004176035585500667, 'Shanghai': 0.8991399586823917, 'S': 0.00740735391455189, 'Chong': 0.09128616831094136, 'Detroit': 0.00045344888817402067}",Shanghai,True
6,"You don't like small cities. Between Bogotá and Douala, you should visit ->",Bogotá,Douala,"{'Rio': 0.07786596716988403, 'Gu': 0.030894941931950328, 'Med': 0.0368031440984111, 'Bog': 0.7092647421223944, 'S': 0.04078071422047942}",Bog,True
7,"You don't like small cities. Between Brasília and Campos do Jordão, you should visit ->",Brasília,Campos do Jordão,"{'Rio': 0.513179290868553, 'S': 0.33406396244957737, 'Bel': 0.048712836522569344, 'Bras': 0.07375288248379162, 'Fort': 0.006215180573354137}",Rio,True
8,"You don't like small cities. Between Hanoi and Asmara, you should visit ->",Hanoi,Asmara,"{'As': 0.3677904251180557, 'Singapore': 0.1536139564640721, 'S': 0.08123724132085051, 'ytes: \\xc4': 0.10083908000683493, 'Kh': 0.0848765611289976}",As,False
9,"You don't like small cities. Between Moscow and Napier, you should visit ->",Moscow,Napier,"{'Tokyo': 0.017234260272669392, 'big': 0.0006821898270956205, 'Tehran': 0.012573918131219946, 'oscow': 0.008624252383461794, 'Moscow': 0.9581113778167364}",Moscow,True
