,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Mumbai and Florianópolis, the city with a larger population is ->",Mumbai,Florianópolis,"{'Dh': 0.0019765191231797315, 'mbai': 0.00032718558821611353, 'Mumbai': 0.9946166474572304, 'M': 0.0005025263910035952, 'Bombay': 0.001600364281040911}",Mumbai,True
1,"Between Lagos and Auckland, the city with a larger population is ->",Lagos,Auckland,"{'Tokyo': 0.015275515905408424, 'Rio': 0.00317848376295333, 'Lag': 0.9756388732055861, 'Istanbul': 0.003419471062351074, 'Acc': 0.0006110886006856675}",Lag,True
2,"Between Cairo and Garoua, the city with a larger population is ->",Cairo,Garoua,"{'Tehran': 0.0059549528138083205, 'Cairo': 0.9919243814299739, 'S': 0.0001380462201858854, 'Kh': 7.254873609091183e-05, 'Egypt': 0.0015725644256850005}",Cairo,True
3,"Between Nairobi and Garissa, the city with a larger population is ->",Nairobi,Garissa,"{'Tokyo': 3.8975395326226296e-05, 'Mog': 1.988304896569237e-05, 'N': 0.9997100732368892, 'K': 3.0472192851437336e-05, 'Kh': 9.556671194072239e-05}",N,True
4,"Between Los Angeles and Denver, the city with a larger population is ->",Los Angeles,Denver,"{'Tokyo': 2.5265114178361464e-05, 'os': 0.0009534575062397624, 'L': 0.0012586437835179363, 'Los': 0.9895661254870429, 'LA': 0.008127081491552928}",Los,True
5,"Between Ankara and Mombasa, the city with a larger population is ->",Ankara,Mombasa,"{'Tehran': 0.004007374460939731, 'Istanbul': 0.7864585419122226, 'Ankara': 0.20818734657174798, 'ytes: \\xc4': 0.001018342167440495, 'Turkey': 7.705577867375398e-05}",Istanbul,True
6,"Between Guangzhou and Monterrey, the city with a larger population is ->",Guangzhou,Monterrey,"{'Gu': 0.12055712162384066, 'S': 0.00033819172147255385, 'Guang': 0.7061730204888932, 'Chong': 0.17096233669233288, 'Kuala': 0.0004257237058199368}",Guang,True
7,"Between Guadalajara and Florianópolis, the city with a larger population is ->",Guadalajara,Florianópolis,"{'Tokyo': 2.5036046614468267e-06, 'Madrid': 9.079940601967957e-07, 'Gu': 0.9999771565609153, 'Tehran': 1.28286204941727e-06, 'Mexico': 1.2998273721162613e-05}",Gu,True
8,"Between Tampa and La Ceiba, the city with a larger population is ->",Tampa,La Ceiba,"{'Tampa': 0.9922850938428243, 'T': 0.005737701984184292, 'Kuala': 0.0003363033425756415, 'bigger': 0.00011502397190225793, 'Fort': 0.0008692750235262523}",Tampa,True
9,"Between Guadalajara and Beirut, the city with a larger population is ->",Guadalajara,Beirut,"{'Tokyo': 0.00040887870937405467, 'Gu': 0.9249987618603122, 'Tehran': 0.07038897029770957, 'S': 0.0005110951916909476, 'Beirut': 0.002978006982585299}",Gu,True
10,"Between Paris and Baku, the city with a larger population is ->",Paris,Baku,"{'Tokyo': 0.02251814838512868, 'Tehran': 0.0015302675340616485, 'S': 0.0005810324213508482, 'aris': 0.004911941489278882, 'Paris': 0.9696419765090176}",Paris,True
11,"Between Tampa and Aden, the city with a larger population is ->",Tampa,Aden,"{'Tokyo': 0.010550190102796385, 'Tampa': 0.9041014241745355, 'Dh': 0.012194168906318272, 'T': 0.012068904623250278, 'Kuala': 0.015649395326918763}",Tampa,True
12,"Between Medellín and Saskatoon, the city with a larger population is ->",Medellín,Saskatoon,"{'Sant': 4.756859354277602e-07, 'Rio': 1.9985213017153978e-06, 'Gu': 1.2428567468320242e-06, 'Med': 0.9999926553342722, 'Ant': 6.697575873203802e-07}",Med,True
13,"Between Ankara and Albuquerque, the city with a larger population is ->",Ankara,Albuquerque,"{'Tehran': 0.006233626579853491, 'Istanbul': 0.834557787687823, 'Ankara': 0.15798923202786147, 'ytes: \\xc4': 0.0009637621752142461, 'Turkey': 7.267944141537714e-05}",Istanbul,True
14,"Between Tampa and Malabo, the city with a larger population is ->",Tampa,Malabo,"{'Tampa': 0.991822815557324, 'T': 0.0019414264356144705, 'Kuala': 0.002446597977522513, 'Fort': 0.0008238940635275327, 'Detroit': 0.0004643701902572472}",Tampa,True
15,"Between Beijing and Parakou, the city with a larger population is ->",Beijing,Parakou,"{'Beijing': 0.7248402305993151, 'Tehran': 0.004412364347374224, 'China': 0.0056369321866366765, 'e': 0.00188254310652488, 'Chong': 0.2517601576587035}",Beijing,True
16,"Between Yaoundé and Tamanrasset, the city with a larger population is ->",Yaoundé,Tamanrasset,"{'Gu': 0.0016227445444059374, 'Ya': 0.9915818963466657, 'Ou': 0.0007767002971178437, 'Kuala': 0.002023748892953256, 'Acc': 0.0008538867365176148}",Ya,True
17,"Between Paris and El Paso, the city with a larger population is ->",Paris,El Paso,"{'Tokyo': 0.0028683844990816565, 'Tehran': 8.240907447406123e-05, 'S': 0.00012311582241642736, 'aris': 0.0032229944440324873, 'Paris': 0.9934119751206458}",Paris,True
18,"Between Melbourne and Gabès, the city with a larger population is ->",Melbourne,Gabès,"{'Melbourne': 0.9979331917955719, 'el': 0.0002880112546344603, 'Adelaide': 2.7748077484767157e-05, 'Australia': 0.0016228435348423246, 'Australian': 3.64486185533041e-05}",Melbourne,True
19,"Between Addis Ababa and Ségou, the city with a larger population is ->",Addis Ababa,Ségou,"{'Tehran': 0.03571706832893858, 'Add': 0.9336075883407797, 'S': 0.019269566363510633, 'dd': 0.0021247757746179533, 'Acc': 0.005079913729082629}",Add,True
20,"Between Los Angeles and Honolulu, the city with a larger population is ->",Los Angeles,Honolulu,"{'Tokyo': 9.525376663642187e-05, 'os': 0.0011623374014568277, 'L': 0.0007918940106833171, 'Los': 0.9902568847173628, 'LA': 0.007565120524586933}",Los,True
21,"Between Lima and Fairbanks, the city with a larger population is ->",Lima,Fairbanks,"{'Gu': 0.000103681381582562, 'Tehran': 9.728760173152636e-05, 'Peru': 0.0012819905394949572, 'Lima': 0.9980754095039829, 'Chong': 0.00016485949372877312}",Lima,True
22,"Between Guadalajara and Ürümqi, the city with a larger population is ->",Guadalajara,Ürümqi,"{'Gu': 0.999050723188575, 'Dh': 2.200933228012271e-05, 'Tehran': 0.000668210710023239, 'S': 3.674306711625067e-05, 'Chong': 0.00014945443413284847}",Gu,True
23,"Between Mumbai and Erbil, the city with a larger population is ->",Mumbai,Erbil,"{'Dh': 0.0034952513110557294, 'mbai': 0.0005051834132871997, 'Mumbai': 0.9921429482701968, 'M': 0.0005508117272681063, 'Bombay': 0.0018195093539135363}",Mumbai,True
24,"Between Johannesburg and Hat Yai, the city with a larger population is ->",Johannesburg,Hat Yai,"{'Rio': 0.001168469624051723, 'Dh': 0.00018402020437457658, 'S': 0.005493245677840628, 'Johannes': 0.9922208405019575, 'G': 0.00023171068776255404}",Johannes,True
25,"Between Algiers and Mandalay, the city with a larger population is ->",Algiers,Mandalay,"{'Tehran': 0.1567285266377471, 'l': 0.00603648735470374, 'Istanbul': 0.006364949379182956, 'Algeria': 0.03302965119115065, 'Al': 0.7792189789357808}",Al,True
